Variable,All,Female,Male,p-value
<b>Chronic cardiac disease (not hypertension)</b> (†),308 (60.5) | 509,32 (50.0) | 64,276 (62.0) | 445,0.076
<b>Hypertension</b> (†),332 (60.3) | 551,31 (50.0) | 62,301 (61.6) | 489,0.098
<b>Chronic pulmonary disease (not asthma)</b> (†),203 (41.8) | 486,28 (46.7) | 60,175 (41.1) | 426,0.485
<b>Asthma</b> (†),255 (53.5) | 477,29 (51.8) | 56,226 (53.7) | 421,0.887
<b>Liver disease</b> (†),492 (87.9) | 560,61 (92.4) | 66,431 (87.2) | 494,0.315
<b>Type of liver disease</b> (†),,,,
   ↳ Mild,198 (95.7) | 207,24 (92.3) | 26,174 (96.1) | 181,0.315
   ↳ Moderate or severe,9 (4.3) | 207,2 (7.7) | 26,7 (3.9) | 181,0.315
<b>Chronic kidney disease</b> (†),493 (91.3) | 540,57 (93.4) | 61,436 (91.0) | 479,0.637
<b>Stage of chronic kidney disease</b> (†),,,,
   ↳ Stage 1,20 (4.6) | 438,3 (5.9) | 51,17 (4.4) | 387,0.717
   ↳ Stage 2,155 (35.4) | 438,14 (27.5) | 51,141 (36.4) | 387,0.275
   ↳ Stage 3a,18 (4.1) | 438,1 (2.0) | 51,17 (4.4) | 387,0.708
   ↳ Stage 3b,160 (36.5) | 438,29 (56.9) | 51,131 (33.9) | 387,0.002 (**)
   ↳ Stage 4,20 (4.6) | 438,2 (3.9) | 51,18 (4.7) | 387,1.000
   ↳ Stage 5,65 (14.8) | 438,2 (3.9) | 51,63 (16.3) | 387,0.019 (*)
<b>HIV</b> (†),321 (62.9) | 510,39 (60.9) | 64,282 (63.2) | 446,0.782
<b>Is the patient on anti-retroviral therapy (ART)?</b> (†),273 (94.1) | 290,33 (94.3) | 35,240 (94.1) | 255,1.000
<b> Most recent CD4 count (cells/µL)</b> (+),4955.2 (2463.8-7267.9) | 307,5280.6 (3015.4-6879.5) | 39,4930.9 (2359.3-7318.9) | 268,<0.001 (**)
<b>Tuberculosis</b> (†),201 (43.1) | 466,21 (36.8) | 57,180 (44.0) | 409,0.322
<b>Specify tuberculosis type</b> (†),,,,
   ↳ Active pulmonary,58 (47.5) | 122,8 (53.3) | 15,50 (46.7) | 107,0.784
   ↳ Active extra-pulmonary,47 (38.5) | 122,6 (40.0) | 15,41 (38.3) | 107,1.000
   ↳ Latent,17 (13.9) | 122,1 (6.7) | 15,16 (15.0) | 107,0.692
<b>Chronic hepatitis B/C infection</b> (†),215 (45.6) | 472,27 (44.3) | 61,188 (45.7) | 411,0.891
<b>Chronic haematologic disease</b> (†),302 (54.5) | 554,44 (65.7) | 67,258 (53.0) | 487,0.066
<b>Rheumatologic disorder</b> (†),133 (24.3) | 548,15 (23.1) | 65,118 (24.4) | 483,0.879
<b>Asplenia</b> (†),256 (45.6) | 561,34 (51.5) | 66,222 (44.8) | 495,0.357
<b>Malignant neoplasm</b> (†),368 (70.6) | 521,53 (80.3) | 66,315 (69.2) | 455,0.082
<b>Obesity</b> (†),311 (54.9) | 567,43 (65.2) | 66,268 (53.5) | 501,0.087
<b>Malnutrition</b> (†),327 (59.0) | 554,33 (49.3) | 67,294 (60.4) | 487,0.087
<b>Diabetes mellitus</b> (†),401 (80.8) | 496,49 (84.5) | 58,352 (80.4) | 438,0.594
<b>Diabetes mellitus type</b> (†),,,,
   ↳ Type 1,73 (28.2) | 259,8 (30.8) | 26,65 (27.9) | 233,0.819
   ↳ Type 2,92 (35.5) | 259,11 (42.3) | 26,81 (34.8) | 233,0.518
   ↳ Gestational diabetes,94 (36.3) | 259,7 (26.9) | 26,87 (37.3) | 233,0.391
<b>HbA1C result within last 6 months </b> (+),53.5 (30.0-75.9) | 380,55.5 (24.8-79.6) | 44,53.2 (30.6-75.9) | 336,<0.001 (**)
<b>Ever smoked</b> (†),243 (49.9) | 487,26 (43.3) | 60,217 (50.8) | 427,0.335
<b>Smoking status</b> (†),,,,
   ↳ Current smoker,201 (87.4) | 230,21 (91.3) | 23,180 (87.0) | 207,0.747
   ↳ Former Smoker,29 (12.6) | 230,2 (8.7) | 23,27 (13.0) | 207,0.747
<b>Other relevant comorbidity(s)</b> (†),,,,
   ↳ Hyperthyroidism,1 (100.0) | 1,N/A,1 (100.0) | 1,
   ↳ Essential hypertension,1 (100.0) | 1,N/A,1 (100.0) | 1,
   ↳ Leukemia,1 (100.0) | 1,N/A,1 (100.0) | 1,
   ↳ Chronic metabolic disorder,1 (100.0) | 1,N/A,1 (100.0) | 1,
   ↳ Moderate or Severe Renal Disease,1 (100.0) | 1,N/A,1 (100.0) | 1,
   ↳ Stroke,1 (100.0) | 1,N/A,1 (100.0) | 1,
   ↳ Transplant present,1 (100.0) | 1,N/A,1 (100.0) | 1,
   ↳ Chronic inflammatory disorder,1 (100.0) | 1,N/A,1 (100.0) | 1,
   ↳ Congenital Heart Disease,1 (100.0) | 1,N/A,1 (100.0) | 1,
   ↳ Moderate or Severe Liver Disease,1 (100.0) | 1,N/A,1 (100.0) | 1,
   ↳ Atrial Fibrillation,1 (100.0) | 1,N/A,1 (100.0) | 1,
   ↳ Hemiplegia,1 (100.0) | 1,N/A,1 (100.0) | 1,
