Variable,All,Discharged,Death,Censored
   ↳ Other,  82 (40.0) |  205, 14 (33.3) |  42, 37 (41.6) |  89, 31 (41.9) |  74
   ↳ Unknown,  96 (46.8) |  205, 20 (47.6) |  42, 41 (46.1) |  89, 35 (47.3) |  74
<b>Contact with rodents</b> (*), 182 (90.5) |  201, 36 (90.0) |  40, 81 (93.1) |  87, 65 (87.8) |  74
<b> Contact with rats</b> (*),  98 (59.4) |  165, 23 (67.6) |  34, 45 (61.6) |  73, 30 (51.7) |  58
<b> Contact with mice</b> (*),  95 (59.0) |  161, 15 (48.4) |  31, 44 (61.1) |  72, 36 (62.1) |  58
<b> Contact with squirrels</b> (*),  81 (50.0) |  162, 14 (50.0) |  28, 36 (48.6) |  74, 31 (51.7) |  60
<b> Specify type of contact</b>,,,,
   ↳ Hunting,  10 ( 5.0) |  201,  2 ( 5.0) |  40,  4 ( 4.6) |  87,  4 ( 5.4) |  74
   ↳ Preparing,   3 ( 1.5) |  201,  1 ( 2.5) |  40,  1 ( 1.1) |  87,  1 ( 1.4) |  74
   ↳ Handling,   3 ( 1.5) |  201,  0 ( 0.0) |  40,  2 ( 2.3) |  87,  1 ( 1.4) |  74
   ↳ Consumption (unprocessed / undercooked / raw),  11 ( 5.5) |  201,  2 ( 5.0) |  40,  5 ( 5.7) |  87,  4 ( 5.4) |  74
   ↳ Trading,   2 ( 1.0) |  201,  0 ( 0.0) |  40,  2 ( 2.3) |  87,  0 ( 0.0) |  74
   ↳ Animal faeces or nests,   5 ( 2.5) |  201,  1 ( 2.5) |  40,  2 ( 2.3) |  87,  2 ( 2.7) |  74
   ↳ Sick or dead animal,   2 ( 1.0) |  201,  0 ( 0.0) |  40,  1 ( 1.1) |  87,  1 ( 1.4) |  74
   ↳ Unknown,  11 ( 5.5) |  201,  2 ( 5.0) |  40,  4 ( 4.6) |  87,  5 ( 6.8) |  74
<b>Contact with pets</b> (*), 128 (66.0) |  194, 29 (69.0) |  42, 51 (62.2) |  82, 48 (68.6) |  70
<b> Contact with cats</b> (*),  60 (55.0) |  109, 12 (52.2) |  23, 25 (56.8) |  44, 23 (54.8) |  42
<b> Contact with dogs</b> (*), 108 (96.4) |  112, 24 (96.0) |  25, 44 (95.7) |  46, 40 (97.6) |  41
<b> Specify type of contact</b>,,,,
   ↳ Hunting,   1 ( 0.5) |  194,  0 ( 0.0) |  42,  0 ( 0.0) |  82,  1 ( 1.4) |  70
   ↳ Preparing,  63 (32.5) |  194, 12 (28.6) |  42, 27 (32.9) |  82, 24 (34.3) |  70
   ↳ Consumption (unprocessed / undercooked / raw),  44 (22.7) |  194,  9 (21.4) |  42, 20 (24.4) |  82, 15 (21.4) |  70
   ↳ Trading,  51 (26.3) |  194, 11 (26.2) |  42, 18 (22.0) |  82, 22 (31.4) |  70
   ↳ Animal faeces or nests,  63 (32.5) |  194, 18 (42.9) |  42, 22 (26.8) |  82, 23 (32.9) |  70
   ↳ Sick or dead animal,  20 (10.3) |  194,  0 ( 0.0) |  42, 10 (12.2) |  82, 10 (14.3) |  70
   ↳ Other,  33 (17.0) |  194,  6 (14.3) |  42, 12 (14.6) |  82, 15 (21.4) |  70
<b>Contact with or consumption of unpasteurised milk or dairy products</b> (*), 193 (88.1) |  219, 39 (84.8) |  46, 82 (89.1) |  92, 72 (88.9) |  81
"<b>Visit to live animal market, farm or zoo</b> (*)", 170 (82.5) |  206, 40 (88.9) |  45, 74 (85.1) |  87, 56 (75.7) |  74
<b>Participated in animal surgery or necropsy</b> (*),  43 (21.4) |  201, 12 (29.3) |  41, 23 (25.8) |  89,  8 (11.3) |  71
<b>Other animal contact not listed above </b> (*),  37 (20.7) |  179, 11 (28.2) |  39, 11 (15.3) |  72, 15 (22.1) |  68
<b> Specify type of contact</b>,,,,
   ↳ Hunting,   4 ( 2.2) |  179,  1 ( 2.6) |  39,  2 ( 2.8) |  72,  1 ( 1.5) |  68
   ↳ Preparing,  11 ( 6.1) |  179,  5 (12.8) |  39,  3 ( 4.2) |  72,  3 ( 4.4) |  68
   ↳ Handling,   4 ( 2.2) |  179,  1 ( 2.6) |  39,  0 ( 0.0) |  72,  3 ( 4.4) |  68
   ↳ Consumption (unprocessed / undercooked / raw),   1 ( 0.6) |  179,  0 ( 0.0) |  39,  0 ( 0.0) |  72,  1 ( 1.5) |  68
   ↳ Trading,   1 ( 0.6) |  179,  0 ( 0.0) |  39,  1 ( 1.4) |  72,  0 ( 0.0) |  68
   ↳ Animal faeces or nests,  14 ( 7.8) |  179,  3 ( 7.7) |  39,  6 ( 8.3) |  72,  5 ( 7.4) |  68
   ↳ Sick or dead animal,   4 ( 2.2) |  179,  0 ( 0.0) |  39,  3 ( 4.2) |  72,  1 ( 1.5) |  68
   ↳ Other,   7 ( 3.9) |  179,  0 ( 0.0) |  39,  4 ( 5.6) |  72,  3 ( 4.4) |  68
   ↳ Unknown,   3 ( 1.7) |  179,  1 ( 2.6) |  39,  1 ( 1.4) |  72,  1 ( 1.5) |  68
<b><i>MEDICATION PREVIOUS 14-DAYS</i></b>,,,,
<b>Antiviral</b> (*), 313 (37.2) |  842, 68 (38.6) | 176,133 (39.0) | 341,112 (34.5) | 325
<b>Antiviral</b> (*),,,,
   ↳ Baloxavir marboxil,  38 (12.9) |  295,  7 (10.8) |  65, 16 (13.1) | 122, 15 (13.9) | 108
   ↳ Favipiravir (Avigan),  39 (13.2) |  295, 10 (15.4) |  65, 17 (13.9) | 122, 12 (11.1) | 108
   ↳ Laninamivir,  71 (24.1) |  295, 20 (30.8) |  65, 26 (21.3) | 122, 25 (23.1) | 108
   ↳ Oseltamivir (Tamiflu),  66 (22.4) |  295, 13 (20.0) |  65, 24 (19.7) | 122, 29 (26.9) | 108
   ↳ Peramivir,   2 ( 0.7) |  295,  0 ( 0.0) |  65,  2 ( 1.6) | 122,  0 ( 0.0) | 108
   ↳ Umifenovir (Arbidol),  28 ( 9.5) |  295,  8 (12.3) |  65, 10 ( 8.2) | 122, 10 ( 9.3) | 108
   ↳ Zanamivir (Relenza),  51 (17.3) |  295,  7 (10.8) |  65, 27 (22.1) | 122, 17 (15.7) | 108
<b>Antiviral administration route</b> (*),,,,
   ↳ Oral,  71 (32.1) |  221, 12 (23.5) |  51, 27 (29.3) |  92, 32 (41.0) |  78
   ↳ Inhaled,  73 (33.0) |  221, 17 (33.3) |  51, 37 (40.2) |  92, 19 (24.4) |  78
   ↳ IV,  46 (20.8) |  221,  9 (17.6) |  51, 22 (23.9) |  92, 15 (19.2) |  78
   ↳ Topical,  31 (14.0) |  221, 13 (25.5) |  51,  6 ( 6.5) |  92, 12 (15.4) |  78
<b>Number of days antivirals taken</b> (+),53.0 (27.8-75.5) |  301,63.6 (43.0-80.0) |  65,50.9 (26.8-75.8) | 128,47.0 (20.6-71.6) | 108
<b>Corticosteroid</b> (*), 324 (38.3) |  845, 66 (36.1) | 183,130 (37.8) | 344,128 (40.3) | 318
<b>Corticosteroid</b> (*),,,,
   ↳ Cortisone (Cortone),  68 (22.9) |  297, 12 (19.4) |  62, 25 (21.4) | 117, 31 (26.3) | 118
   ↳ Other, 229 (77.1) |  297, 50 (80.6) |  62, 92 (78.6) | 117, 87 (73.7) | 118
<b>Select Corticosteroid</b> (*),,,,
"   ↳ Beclomethasone (Beclometasone, Beconase)",  25 (11.7) |  213,  9 (18.8) |  48,  8 ( 9.8) |  82,  8 ( 9.6) |  83
"   ↳ Betamethasone (Celestone, Betnelan)",  39 (18.3) |  213,  9 (18.8) |  48, 15 (18.3) |  82, 15 (18.1) |  83
   ↳ Cortisone (Cortone),   3 ( 1.4) |  213,  1 ( 2.1) |  48,  1 ( 1.2) |  82,  1 ( 1.2) |  83
"   ↳ Fludrocortisone (Astonin, Florinef)",  27 (12.7) |  213,  9 (18.8) |  48,  6 ( 7.3) |  82, 12 (14.5) |  83
"   ↳ Fluticasone (Flovent, Flonase)",  15 ( 7.0) |  213,  4 ( 8.3) |  48,  6 ( 7.3) |  82,  5 ( 6.0) |  83
"   ↳ Mometasone (Asmanex, Elocon, Nasonex)",  46 (21.6) |  213,  8 (16.7) |  48, 21 (25.6) |  82, 17 (20.5) |  83
"   ↳ Triamcinolone (Kenalog, Aristocort)",  29 (13.6) |  213,  4 ( 8.3) |  48, 15 (18.3) |  82, 10 (12.0) |  83
   ↳ Other,  29 (13.6) |  213,  4 ( 8.3) |  48, 10 (12.2) |  82, 15 (18.1) |  83
<b>Immunosuppressant agents (not corticosteroids)</b> (*), 373 (43.7) |  853, 80 (43.0) | 186,148 (43.9) | 337,145 (43.9) | 330
<b>Immunosuppressant agents (not corticosteroids)</b> (*),,,,
   ↳ Other, 359 (100.) |  359, 74 (100.) |  74,146 (100.) | 146,139 (100.) | 139
<b>Select Immunosuppressant agents (not corticosteroids)</b> (*),,,,
   ↳ Abatacept (Orencia),   9 ( 2.6) |  340,  0 ( 0.0) |  70,  3 ( 2.2) | 139,  6 ( 4.6) | 131
"   ↳ Alemtuzumab (Campath, Lemtrada)",  18 ( 5.3) |  340,  4 ( 5.7) |  70,  8 ( 5.8) | 139,  6 ( 4.6) | 131
   ↳ Anakinra,   7 ( 2.1) |  340,  1 ( 1.4) |  70,  3 ( 2.2) | 139,  3 ( 2.3) | 131
   ↳ Basiliximab (Simulect),  21 ( 6.2) |  340,  5 ( 7.1) |  70,  5 ( 3.6) | 139, 11 ( 8.4) | 131
   ↳ Belatacept (Nulojix),  37 (10.9) |  340,  8 (11.4) |  70, 14 (10.1) | 139, 15 (11.5) | 131
"   ↳ Everolimus (Afinitor, Zortress)",  34 (10.0) |  340,  7 (10.0) |  70, 18 (12.9) | 139,  9 ( 6.9) | 131
   ↳ Leflunomide (Arava),  18 ( 5.3) |  340,  6 ( 8.6) |  70,  8 ( 5.8) | 139,  4 ( 3.1) | 131
   ↳ Mercaptopurine (Purixan),  13 ( 3.8) |  340,  2 ( 2.9) |  70,  7 ( 5.0) | 139,  4 ( 3.1) | 131
   ↳ Natalizumab (Tysabri),  16 ( 4.7) |  340,  1 ( 1.4) |  70,  6 ( 4.3) | 139,  9 ( 6.9) | 131
   ↳ Nivolumab (Opdivo),  15 ( 4.4) |  340,  4 ( 5.7) |  70,  5 ( 3.6) | 139,  6 ( 4.6) | 131
   ↳ Secukinumab (Cosentyx),  25 ( 7.4) |  340,  4 ( 5.7) |  70,  8 ( 5.8) | 139, 13 ( 9.9) | 131
   ↳ Sirolimus (Rapamune),  24 ( 7.1) |  340,  3 ( 4.3) |  70, 13 ( 9.4) | 139,  8 ( 6.1) | 131
   ↳ Thalidomide (Thalomid),  20 ( 5.9) |  340,  2 ( 2.9) |  70,  7 ( 5.0) | 139, 11 ( 8.4) | 131
   ↳ Ustekinumab (Stelara),  17 ( 5.0) |  340,  4 ( 5.7) |  70,  9 ( 6.5) | 139,  4 ( 3.1) | 131
   ↳ Vedolizumab (Entyvio),  37 (10.9) |  340, 11 (15.7) |  70, 14 (10.1) | 139, 12 ( 9.2) | 131
   ↳ Other,  29 ( 8.5) |  340,  8 (11.4) |  70, 11 ( 7.9) | 139, 10 ( 7.6) | 131
<b>Antibiotics</b> (*), 901 (96.3) |  936,199 (96.6) | 206,361 (96.5) | 374,341 (95.8) | 356
<b>Antibiotics</b> (*),,,,
"   ↳ Azithromycin (Sumamed, Zithromax, Zmax)", 522 (60.8) |  859,114 (59.4) | 192,207 (60.5) | 342,201 (61.8) | 325
"   ↳ Ceftriaxone (Rocephin, Wintriaxone)",  32 ( 3.7) |  859,  8 ( 4.2) | 192, 15 ( 4.4) | 342,  9 ( 2.8) | 325
"   ↳ Levofloxacin (Levaquin, Levxin, Tavanic)", 136 (15.8) |  859, 34 (17.7) | 192, 56 (16.4) | 342, 46 (14.2) | 325
   ↳ Other, 169 (19.7) |  859, 36 (18.8) | 192, 64 (18.7) | 342, 69 (21.2) | 325
<b>Select Antibiotics</b> (*),,,,
"   ↳ Amphotericin (Amphotericin B, Amphocin, Fungizone, Fungilin)",   3 ( 1.8) |  163,  0 ( 0.0) |  36,  1 ( 1.7) |  59,  2 ( 2.9) |  68
"   ↳ Atovaquone (Mepron, Wellvone)",   1 ( 0.6) |  163,  0 ( 0.0) |  36,  1 ( 1.7) |  59,  0 ( 0.0) |  68
"   ↳ Aztreonam (Azactam, Cayston, Primbactam)",   2 ( 1.2) |  163,  1 ( 2.8) |  36,  0 ( 0.0) |  59,  1 ( 1.5) |  68
"   ↳ Bacampicillin (Penglobe, Spectrobid)",   2 ( 1.2) |  163,  0 ( 0.0) |  36,  0 ( 0.0) |  59,  2 ( 2.9) |  68
   ↳ Bacitracin (Baciguent),   5 ( 3.1) |  163,  2 ( 5.6) |  36,  2 ( 3.4) |  59,  1 ( 1.5) |  68
   ↳ Benzathine phenoxymethylpenicillin (Penicillin V),   7 ( 4.3) |  163,  1 ( 2.8) |  36,  2 ( 3.4) |  59,  4 ( 5.9) |  68
   ↳ Capreomycin (Capastat),   1 ( 0.6) |  163,  1 ( 2.8) |  36,  0 ( 0.0) |  59,  0 ( 0.0) |  68
"   ↳ Carbenicillin indanyl sodium (Anabactyl, Carbapen, Carindacillin, Pyopen)",   1 ( 0.6) |  163,  1 ( 2.8) |  36,  0 ( 0.0) |  59,  0 ( 0.0) |  68
   ↳ Caspofungin (Cancidas),   7 ( 4.3) |  163,  3 ( 8.3) |  36,  1 ( 1.7) |  59,  3 ( 4.4) |  68
"   ↳ Cefaclor (Biocef, Ceclor, Raniclor)",   1 ( 0.6) |  163,  0 ( 0.0) |  36,  0 ( 0.0) |  59,  1 ( 1.5) |  68
   ↳ Cefadroxil (Duricef),   5 ( 3.1) |  163,  1 ( 2.8) |  36,  0 ( 0.0) |  59,  4 ( 5.9) |  68
   ↳ Cefamandole (Mandol),   4 ( 2.5) |  163,  1 ( 2.8) |  36,  0 ( 0.0) |  59,  3 ( 4.4) |  68
   ↳ Cefditoren (Spectracef),   3 ( 1.8) |  163,  0 ( 0.0) |  36,  3 ( 5.1) |  59,  0 ( 0.0) |  68
   ↳ Cefmetazole (Zefazone),   5 ( 3.1) |  163,  1 ( 2.8) |  36,  2 ( 3.4) |  59,  2 ( 2.9) |  68
   ↳ Cefoperazone (Cefobid),   2 ( 1.2) |  163,  0 ( 0.0) |  36,  1 ( 1.7) |  59,  1 ( 1.5) |  68
   ↳ Cefotetan (Cefotan),   2 ( 1.2) |  163,  0 ( 0.0) |  36,  2 ( 3.4) |  59,  0 ( 0.0) |  68
"   ↳ Cefoxitin (Mefoxin, Renoxitin)",   4 ( 2.5) |  163,  2 ( 5.6) |  36,  0 ( 0.0) |  59,  2 ( 2.9) |  68
   ↳ Cefpodoxime Proxetil (Vantin),   1 ( 0.6) |  163,  0 ( 0.0) |  36,  0 ( 0.0) |  59,  1 ( 1.5) |  68
"   ↳ Ceftazidime/beta-lactamase inhibitor (ceftazidime/avibactam, Avycaz, Zavicefta)",   2 ( 1.2) |  163,  0 ( 0.0) |  36,  2 ( 3.4) |  59,  0 ( 0.0) |  68
   ↳ Ceftibuten (Cedax),   1 ( 0.6) |  163,  0 ( 0.0) |  36,  0 ( 0.0) |  59,  1 ( 1.5) |  68
   ↳ Ceftizoxime (Cefizox),   5 ( 3.1) |  163,  2 ( 5.6) |  36,  0 ( 0.0) |  59,  3 ( 4.4) |  68
"   ↳ Cephalexin (Cefalexin, Keflex, Daxbia)",   3 ( 1.8) |  163,  0 ( 0.0) |  36,  3 ( 5.1) |  59,  0 ( 0.0) |  68
"   ↳ Cephalothin (Cefalotin,",   3 ( 1.8) |  163,  0 ( 0.0) |  36,  2 ( 3.4) |  59,  1 ( 1.5) |  68
"   ↳ Cephapirin (Cefapirin,",   2 ( 1.2) |  163,  0 ( 0.0) |  36,  2 ( 3.4) |  59,  0 ( 0.0) |  68
"   ↳ Cloxacillin (Tegopen, Cloxapen)",   1 ( 0.6) |  163,  0 ( 0.0) |  36,  0 ( 0.0) |  59,  1 ( 1.5) |  68
   ↳ Cycloserine (Seromycin),   2 ( 1.2) |  163,  1 ( 2.8) |  36,  0 ( 0.0) |  59,  1 ( 1.5) |  68
"   ↳ Daptomycin (Dapzura, Cubicin)",   3 ( 1.8) |  163,  1 ( 2.8) |  36,  2 ( 3.4) |  59,  0 ( 0.0) |  68
"   ↳ Doripenem (Doribax, Finibax)",   3 ( 1.8) |  163,  0 ( 0.0) |  36,  0 ( 0.0) |  59,  3 ( 4.4) |  68
   ↳ Ethambutol,   2 ( 1.2) |  163,  1 ( 2.8) |  36,  0 ( 0.0) |  59,  1 ( 1.5) |  68
   ↳ Gatifloxacin (Tequin),   3 ( 1.8) |  163,  1 ( 2.8) |  36,  0 ( 0.0) |  59,  2 ( 2.9) |  68
   ↳ Gemifloxacin (Factive),   1 ( 0.6) |  163,  0 ( 0.0) |  36,  0 ( 0.0) |  59,  1 ( 1.5) |  68
   ↳ Kanamycin (Kantrex),   5 ( 3.1) |  163,  1 ( 2.8) |  36,  3 ( 5.1) |  59,  1 ( 1.5) |  68
"   ↳ Lincomycin (Linobac, Lincomed)",   1 ( 0.6) |  163,  0 ( 0.0) |  36,  0 ( 0.0) |  59,  1 ( 1.5) |  68
   ↳ Lomefloxacin,   4 ( 2.5) |  163,  1 ( 2.8) |  36,  1 ( 1.7) |  59,  2 ( 2.9) |  68
"   ↳ Methenamine hippurate (Hiprex, Urex)",   1 ( 0.6) |  163,  0 ( 0.0) |  36,  1 ( 1.7) |  59,  0 ( 0.0) |  68
"   ↳ Methicillin (Meticillin, Staphcillin)",   2 ( 1.2) |  163,  0 ( 0.0) |  36,  2 ( 3.4) |  59,  0 ( 0.0) |  68
"   ↳ Mezlocillin (Baypen, Melocin, Bezlin, Optocillin)",   2 ( 1.2) |  163,  1 ( 2.8) |  36,  0 ( 0.0) |  59,  1 ( 1.5) |  68
"   ↳ Minocycline (Minocin, Ximino)",   1 ( 0.6) |  163,  1 ( 2.8) |  36,  0 ( 0.0) |  59,  0 ( 0.0) |  68
   ↳ Nafcillin,   6 ( 3.7) |  163,  0 ( 0.0) |  36,  2 ( 3.4) |  59,  4 ( 5.9) |  68
   ↳ Neomycin (Neovet),   2 ( 1.2) |  163,  0 ( 0.0) |  36,  1 ( 1.7) |  59,  1 ( 1.5) |  68
   ↳ Netilmicin (Netromycin),   6 ( 3.7) |  163,  1 ( 2.8) |  36,  2 ( 3.4) |  59,  3 ( 4.4) |  68
"   ↳ Nitrofural (Aldomycin, Furacin, NFZ)",   2 ( 1.2) |  163,  0 ( 0.0) |  36,  1 ( 1.7) |  59,  1 ( 1.5) |  68
"   ↳ Norfloxacin (Trizolin, Noroxin)",   2 ( 1.2) |  163,  0 ( 0.0) |  36,  1 ( 1.7) |  59,  1 ( 1.5) |  68
   ↳ Novobiocin (Albadry),   1 ( 0.6) |  163,  0 ( 0.0) |  36,  1 ( 1.7) |  59,  0 ( 0.0) |  68
   ↳ Oxacillin (Bactocill),   1 ( 0.6) |  163,  1 ( 2.8) |  36,  0 ( 0.0) |  59,  0 ( 0.0) |  68
"   ↳ Oxytetracycline (Agrimycin, Noromycin)",   2 ( 1.2) |  163,  0 ( 0.0) |  36,  1 ( 1.7) |  59,  1 ( 1.5) |  68
   ↳ Plazomicin (Zemdri),   1 ( 0.6) |  163,  1 ( 2.8) |  36,  0 ( 0.0) |  59,  0 ( 0.0) |  68
"   ↳ Polymyxin B (Poly-Rx, Polysporin)",   4 ( 2.5) |  163,  0 ( 0.0) |  36,  3 ( 5.1) |  59,  1 ( 1.5) |  68
"   ↳ Procaine benzylpenicillin (Penicillin G, Bactracillin G, Norocillin)",   3 ( 1.8) |  163,  1 ( 2.8) |  36,  1 ( 1.7) |  59,  1 ( 1.5) |  68
   ↳ Pyrazinamide,   4 ( 2.5) |  163,  2 ( 5.6) |  36,  0 ( 0.0) |  59,  2 ( 2.9) |  68
   ↳ Quinupristin/Dalfopristin (Synercid),   1 ( 0.6) |  163,  0 ( 0.0) |  36,  1 ( 1.7) |  59,  0 ( 0.0) |  68
   ↳ Retapamulin (Altabax),   3 ( 1.8) |  163,  1 ( 2.8) |  36,  1 ( 1.7) |  59,  1 ( 1.5) |  68
   ↳ Sparfloxacin (Spacin),   1 ( 0.6) |  163,  0 ( 0.0) |  36,  0 ( 0.0) |  59,  1 ( 1.5) |  68
   ↳ Spectinomycin (SpectoGard),   1 ( 0.6) |  163,  0 ( 0.0) |  36,  1 ( 1.7) |  59,  0 ( 0.0) |  68
   ↳ Sulfadiazine,   4 ( 2.5) |  163,  1 ( 2.8) |  36,  2 ( 3.4) |  59,  1 ( 1.5) |  68
"   ↳ Sulfisoxazole (Sulfafurazole, Truxazole)",   3 ( 1.8) |  163,  0 ( 0.0) |  36,  2 ( 3.4) |  59,  1 ( 1.5) |  68
   ↳ Teicoplanin (Targocid),   1 ( 0.6) |  163,  0 ( 0.0) |  36,  1 ( 1.7) |  59,  0 ( 0.0) |  68
"   ↳ Telavancin (Televancin, Vibativ)",   4 ( 2.5) |  163,  2 ( 5.6) |  36,  1 ( 1.7) |  59,  1 ( 1.5) |  68
   ↳ Telithromycin (Levviax),   1 ( 0.6) |  163,  0 ( 0.0) |  36,  1 ( 1.7) |  59,  0 ( 0.0) |  68
   ↳ Ticarcillin/Beta-lactamase inhibitor (Ticacillin/Clavulanate),   2 ( 1.2) |  163,  0 ( 0.0) |  36,  2 ( 3.4) |  59,  0 ( 0.0) |  68
   ↳ Trovafloxacin (Trovan),   2 ( 1.2) |  163,  0 ( 0.0) |  36,  1 ( 1.7) |  59,  1 ( 1.5) |  68
   ↳ Other,   3 ( 1.8) |  163,  2 ( 5.6) |  36,  0 ( 0.0) |  59,  1 ( 1.5) |  68
<b>NSAIDs</b> (*), 260 (28.0) |  927, 53 (26.6) | 199,119 (31.9) | 373, 88 (24.8) | 355
<b>NSAIDs</b> (*),,,,
   ↳ Other, 248 (100.) |  248, 50 (100.) |  50,114 (100.) | 114, 84 (100.) |  84
<b>Select NSAIDs</b> (*),,,,
   ↳ Etoricoxib (Arcoxia),  34 (14.7) |  231,  4 ( 8.2) |  49, 17 (16.0) | 106, 13 (17.1) |  76
"   ↳ Flurbiprofen (Ansaid, Ocufen)",  27 (11.7) |  231,  6 (12.2) |  49, 13 (12.3) | 106,  8 (10.5) |  76
   ↳ Indomethacin (Indocin),  15 ( 6.5) |  231,  5 (10.2) |  49,  6 ( 5.7) | 106,  4 ( 5.3) |  76
"   ↳ Ketoprofen (Orudis, Oruvail)",  11 ( 4.8) |  231,  0 ( 0.0) |  49,  5 ( 4.7) | 106,  6 ( 7.9) |  76
   ↳ Ketorolac (Toradol),  30 (13.0) |  231,  8 (16.3) |  49, 13 (12.3) | 106,  9 (11.8) |  76
   ↳ Mefenamic Acid (Ponstel),   1 ( 0.4) |  231,  0 ( 0.0) |  49,  1 ( 0.9) | 106,  0 ( 0.0) |  76
   ↳ Meloxicam (Mobic),  30 (13.0) |  231, 11 (22.4) |  49, 10 ( 9.4) | 106,  9 (11.8) |  76
   ↳ Nabumetone (Relafen),  19 ( 8.2) |  231,  1 ( 2.0) |  49, 15 (14.2) | 106,  3 ( 3.9) |  76
   ↳ Piroxicam (Feldene),  20 ( 8.7) |  231,  7 (14.3) |  49,  5 ( 4.7) | 106,  8 (10.5) |  76
   ↳ Sulindac (Clinoril),  19 ( 8.2) |  231,  4 ( 8.2) |  49,  7 ( 6.6) | 106,  8 (10.5) |  76
   ↳ Other,  25 (10.8) |  231,  3 ( 6.1) |  49, 14 (13.2) | 106,  8 (10.5) |  76
<b><i>SIGNS AND SYMPTOMS ON ADMISSION</i></b>,,,,
