Variable,All,Discharged,Death,Censored
   ↳ Pain, 1 ( 2.7) | 37, 0 ( 0.0) | 24, 1 ( 7.7) | 13,N/A
   ↳ Unresponsive, 2 ( 5.4) | 37, 0 ( 0.0) | 24, 2 (15.4) | 13,N/A
<b>Glasgow Coma Score (GCS / 15) </b> (+),15.0 (15.0-15.0) | 35,15.0 (15.0-15.0) | 23,15.0 ( 7.5-15.0) | 12,N/A
<b>Urine flow rate (mL/24 hours)</b> (+), 900.0 ( 550.0-1000.0) |  3,550.0 (375.0-725.0) |  2,1100.0 (1100.0-1100.0) |  1,N/A
<b>MELD Score</b> (+),16.0 ( 9.0-28.0) | 31,12.0 ( 7.5-15.5) | 19,34.0 (23.2-40.0) | 12,N/A
<b>Restlessness</b> (*),10 (29.4) | 34, 7 (31.8) | 22, 3 (25.0) | 12,N/A
<b>Bleeding / haemorrhage</b> (*), 1 ( 2.9) | 34, 0 ( 0.0) | 22, 1 ( 8.3) | 12,N/A
<b>Severe bleeding / haemorrhage (requires intervention)</b> (*), 0 ( 0.0) |  1,N/A, 0 ( 0.0) |  1,N/A
<b> Specify bleeding / haemorrhage site(s)</b>,,,,
   ↳ Skin, 0 ( 0.0) | 34, 0 ( 0.0) | 22, 0 ( 0.0) | 12,N/A
   ↳ Petechiae, 0 ( 0.0) | 34, 0 ( 0.0) | 22, 0 ( 0.0) | 12,N/A
   ↳ Nose, 0 ( 0.0) | 34, 0 ( 0.0) | 22, 0 ( 0.0) | 12,N/A
   ↳ Gums, 0 ( 0.0) | 34, 0 ( 0.0) | 22, 0 ( 0.0) | 12,N/A
   ↳ GI tract, 1 ( 2.9) | 34, 0 ( 0.0) | 22, 1 ( 8.3) | 12,N/A
   ↳ Urinary tract, 0 ( 0.0) | 34, 0 ( 0.0) | 22, 0 ( 0.0) | 12,N/A
   ↳ Other(s), 0 ( 0.0) | 34, 0 ( 0.0) | 22, 0 ( 0.0) | 12,N/A
<b>Retro-orbital pain</b> (*), 2 ( 5.9) | 34, 2 ( 9.1) | 22, 0 ( 0.0) | 12,N/A
<b>Jaundice</b> (*),19 (52.8) | 36,12 (52.2) | 23, 7 (53.8) | 13,N/A
