index,BRA,CAN,COL,GBR
12-2024,1.0,2.0,1.0,0.0
12-2024,0.0,1.0,0.0,1.0
12-2024,0.0,0.0,0.0,1.0
12-2024,0.0,1.0,1.0,1.0
12-2024,0.0,0.0,1.0,2.0
12-2024,0.0,0.0,0.0,3.0
12-2024,0.0,1.0,1.0,0.0
12-2024,0.0,0.0,2.0,1.0
12-2024,1.0,0.0,0.0,1.0
12-2024,0.0,0.0,0.0,1.0
12-2024,1.0,0.0,0.0,2.0
12-2024,1.0,0.0,1.0,0.0
12-2024,1.0,0.0,2.0,0.0
12-2024,0.0,0.0,1.0,2.0
12-2024,0.0,0.0,0.0,2.0
12-2024,1.0,0.0,1.0,3.0
12-2024,0.0,0.0,2.0,2.0
12-2024,0.0,0.0,0.0,1.0
12-2024,0.0,1.0,0.0,2.0
01-2025,1.0,1.0,2.0,1.0
01-2025,0.0,0.0,0.0,1.0
01-2025,1.0,0.0,1.0,0.0
01-2025,0.0,0.0,0.0,1.0
01-2025,2.0,1.0,1.0,1.0
01-2025,1.0,0.0,2.0,2.0
01-2025,0.0,0.0,0.0,2.0
01-2025,2.0,0.0,0.0,1.0
01-2025,2.0,0.0,1.0,4.0
01-2025,3.0,2.0,1.0,2.0
01-2025,0.0,2.0,0.0,1.0
01-2025,0.0,0.0,2.0,0.0
01-2025,0.0,0.0,0.0,2.0
01-2025,0.0,0.0,2.0,0.0
01-2025,0.0,1.0,1.0,4.0
01-2025,2.0,2.0,1.0,2.0
01-2025,1.0,0.0,1.0,1.0
01-2025,0.0,0.0,1.0,2.0
01-2025,1.0,0.0,1.0,4.0
01-2025,2.0,0.0,2.0,0.0
01-2025,0.0,2.0,4.0,1.0
01-2025,1.0,0.0,4.0,3.0
01-2025,0.0,0.0,2.0,0.0
01-2025,0.0,0.0,4.0,1.0
01-2025,1.0,1.0,3.0,3.0
01-2025,1.0,1.0,0.0,2.0
01-2025,0.0,3.0,3.0,5.0
01-2025,1.0,1.0,0.0,1.0
01-2025,0.0,3.0,0.0,4.0
01-2025,1.0,0.0,2.0,3.0
01-2025,1.0,1.0,3.0,1.0
02-2025,3.0,1.0,3.0,4.0
02-2025,1.0,2.0,1.0,0.0
02-2025,0.0,1.0,1.0,2.0
02-2025,0.0,1.0,3.0,2.0
02-2025,1.0,0.0,2.0,4.0
02-2025,2.0,2.0,0.0,6.0
02-2025,2.0,1.0,2.0,3.0
02-2025,1.0,1.0,1.0,1.0
02-2025,0.0,0.0,2.0,3.0
02-2025,4.0,2.0,1.0,3.0
02-2025,1.0,0.0,4.0,1.0
02-2025,2.0,0.0,3.0,5.0
02-2025,3.0,2.0,3.0,4.0
02-2025,2.0,1.0,4.0,7.0
02-2025,1.0,0.0,1.0,4.0
02-2025,0.0,2.0,0.0,2.0
02-2025,3.0,1.0,0.0,5.0
02-2025,2.0,1.0,2.0,2.0
02-2025,1.0,2.0,4.0,4.0
02-2025,1.0,1.0,3.0,5.0
02-2025,6.0,1.0,1.0,6.0
02-2025,2.0,1.0,3.0,4.0
02-2025,3.0,1.0,2.0,3.0
02-2025,3.0,2.0,2.0,7.0
02-2025,2.0,2.0,4.0,8.0
02-2025,3.0,3.0,5.0,4.0
02-2025,3.0,1.0,1.0,4.0
02-2025,2.0,0.0,2.0,3.0
03-2025,2.0,3.0,3.0,4.0
03-2025,2.0,3.0,2.0,3.0
03-2025,3.0,1.0,4.0,8.0
03-2025,3.0,4.0,6.0,3.0
03-2025,6.0,2.0,5.0,3.0
03-2025,3.0,4.0,4.0,5.0
03-2025,2.0,0.0,1.0,4.0
03-2025,3.0,5.0,4.0,3.0
03-2025,1.0,3.0,2.0,6.0
03-2025,0.0,5.0,4.0,14.0
03-2025,8.0,1.0,1.0,5.0
03-2025,5.0,3.0,5.0,6.0
03-2025,4.0,4.0,2.0,7.0
03-2025,3.0,2.0,4.0,10.0
03-2025,8.0,4.0,3.0,11.0
03-2025,4.0,0.0,4.0,9.0
03-2025,4.0,5.0,4.0,8.0
03-2025,4.0,4.0,5.0,12.0
03-2025,6.0,0.0,1.0,7.0
03-2025,4.0,3.0,4.0,6.0
03-2025,2.0,5.0,6.0,10.0
03-2025,1.0,3.0,11.0,12.0
03-2025,3.0,3.0,3.0,9.0
03-2025,3.0,2.0,6.0,8.0
03-2025,5.0,3.0,8.0,5.0
03-2025,3.0,2.0,4.0,6.0
03-2025,1.0,0.0,1.0,2.0
03-2025,0.0,3.0,1.0,2.0
03-2025,2.0,1.0,0.0,1.0
03-2025,1.0,3.0,0.0,1.0
03-2025,0.0,0.0,2.0,0.0
04-2025,0.0,0.0,3.0,1.0
04-2025,1.0,2.0,0.0,1.0
