Variable,All,Discharged,Death,Censored
<b>Acute renal injury / acute renal failure</b> (*),199 (24.4) | 816,58 (25.4) | 228,14 (20.9) | 67,127 (24.4) | 521
<b>Rhabdomyolysis</b> (*),76 (9.1) | 835,22 (9.3) | 236,7 (10.9) | 64,47 (8.8) | 535
<b>Myositis</b> (*),68 (7.8) | 873,18 (7.6) | 236,3 (4.1) | 74,47 (8.3) | 563
<b>Cellulitis</b> (*),370 (42.0) | 880,107 (43.7) | 245,29 (38.7) | 75,234 (41.8) | 560
<b>Site(s) of cellulitis</b>,,,,
   ↳ Skin,186 (21.5) | 864,46 (19.2) | 239,20 (27.0) | 74,120 (21.8) | 551
   ↳ Nose,172 (19.9) | 864,48 (20.1) | 239,9 (12.2) | 74,115 (20.9) | 551
   ↳ Gums,179 (20.7) | 864,56 (23.4) | 239,14 (18.9) | 74,109 (19.8) | 551
   ↳ GI tract,180 (20.8) | 864,52 (21.8) | 239,12 (16.2) | 74,116 (21.1) | 551
   ↳ Urinary tract,178 (20.6) | 864,53 (22.2) | 239,14 (18.9) | 74,111 (20.1) | 551
   ↳ Vagina,177 (20.5) | 864,47 (19.7) | 239,15 (20.3) | 74,115 (20.9) | 551
   ↳ Unknown,173 (20.0) | 864,54 (22.6) | 239,12 (16.2) | 74,107 (19.4) | 551
   ↳ Other,181 (20.9) | 864,52 (21.8) | 239,19 (25.7) | 74,110 (20.0) | 551
<b>Skin tissue loss or eschar</b> (*),567 (70.2) | 808,162 (70.1) | 231,46 (75.4) | 61,359 (69.6) | 516
<b>Bacteraemia</b> (*),806 (96.5) | 835,219 (96.9) | 226,71 (95.9) | 74,516 (96.4) | 535
<b>Hypoglycaemia</b> (*),528 (65.2) | 810,155 (67.1) | 231,41 (66.1) | 62,332 (64.2) | 517
<b>Sepsis</b> (*),459 (49.9) | 920,143 (55.9) | 256,39 (54.2) | 72,277 (46.8) | 592
<b>Other complication(s)</b> (*),,,,
   ↳ Acute Respiratory Distress Syndrome (ARDS),11 (100.0) | 11,1 (100.0) | 1,2 (100.0) | 2,8 (100.0) | 8
   ↳ Pneumothorax,11 (100.0) | 11,3 (100.0) | 3,N/A,8 (100.0) | 8
   ↳ Multisystem inflammatory syndrome in adults,9 (100.0) | 9,3 (100.0) | 3,N/A,6 (100.0) | 6
   ↳ Acute renal failure syndrome,3 (100.0) | 3,1 (100.0) | 1,1 (100.0) | 1,1 (100.0) | 1
   ↳ Neurological finding,8 (100.0) | 8,1 (100.0) | 1,N/A,7 (100.0) | 7
   ↳ Bleeding,6 (100.0) | 6,2 (100.0) | 2,N/A,4 (100.0) | 4
   ↳ Acquired coagulation disorder,17 (100.0) | 17,5 (100.0) | 5,2 (100.0) | 2,10 (100.0) | 10
   ↳ Multisystem inflammatory syndrome in children,5 (100.0) | 5,N/A,1 (100.0) | 1,4 (100.0) | 4
   ↳ Cerebellar stroke,11 (100.0) | 11,5 (100.0) | 5,1 (100.0) | 1,5 (100.0) | 5
   ↳ Myocardial Infarction,8 (100.0) | 8,3 (100.0) | 3,N/A,5 (100.0) | 5
   ↳ Recurrent gastrointestinal bleeding,6 (100.0) | 6,2 (100.0) | 2,N/A,4 (100.0) | 4
   ↳ Meningitis,13 (100.0) | 13,3 (100.0) | 3,2 (100.0) | 2,8 (100.0) | 8
   ↳ Cardiac Arrest,5 (100.0) | 5,1 (100.0) | 1,N/A,4 (100.0) | 4
   ↳ Encephalitis,3 (100.0) | 3,1 (100.0) | 1,N/A,2 (100.0) | 2
   ↳ Empyema,8 (100.0) | 8,4 (100.0) | 4,1 (100.0) | 1,3 (100.0) | 3
   ↳ Ventilator-Associated Pneumonia,9 (100.0) | 9,1 (100.0) | 1,2 (100.0) | 2,6 (100.0) | 6
   ↳ Sepsis,10 (100.0) | 10,3 (100.0) | 3,1 (100.0) | 1,6 (100.0) | 6
   ↳ Thrombotic stroke,11 (100.0) | 11,5 (100.0) | 5,N/A,6 (100.0) | 6
   ↳ Cardioembolic stroke,7 (100.0) | 7,1 (100.0) | 1,N/A,6 (100.0) | 6
   ↳ Ischemic stroke,3 (100.0) | 3,2 (100.0) | 2,N/A,1 (100.0) | 1
   ↳ Pneumonia,3 (100.0) | 3,1 (100.0) | 1,N/A,2 (100.0) | 2
   ↳ Deep venous thrombosis,5 (100.0) | 5,1 (100.0) | 1,N/A,4 (100.0) | 4
   ↳ Decompensation,9 (100.0) | 9,3 (100.0) | 3,N/A,6 (100.0) | 6
   ↳ Haemorrhagic stroke,6 (100.0) | 6,4 (100.0) | 4,N/A,2 (100.0) | 2
   ↳ Ischemic encephalopathy,3 (100.0) | 3,1 (100.0) | 1,N/A,2 (100.0) | 2
   ↳ Hospital acquired pneumonia,5 (100.0) | 5,N/A,N/A,5 (100.0) | 5
   ↳ Large liver,3 (100.0) | 3,N/A,1 (100.0) | 1,2 (100.0) | 2
   ↳ Cardiogenic Shock,9 (100.0) | 9,2 (100.0) | 2,1 (100.0) | 1,6 (100.0) | 6
   ↳ Bacteremia,1 (100.0) | 1,1 (100.0) | 1,N/A,N/A
   ↳ Pulmonary Embolism,3 (100.0) | 3,1 (100.0) | 1,N/A,2 (100.0) | 2
   ↳ Recurrent urinary tract infection,3 (100.0) | 3,1 (100.0) | 1,N/A,2 (100.0) | 2
   ↳ Septic Shock,2 (100.0) | 2,1 (100.0) | 1,N/A,1 (100.0) | 1
   ↳ Transient hypotension,1 (100.0) | 1,1 (100.0) | 1,N/A,N/A
<b><i>OUTCOME</i></b>,,,,
<b>Outcome</b> (*),,,,
   ↳ Discharged alive,205 (21.7) | 943,205 (73.7) | 278,0 (0.0) | 82,0 (0.0) | 583
   ↳ Still hospitalised,192 (20.4) | 943,0 (0.0) | 278,0 (0.0) | 82,192 (32.9) | 583
   ↳ Transfer to other facility,201 (21.3) | 943,0 (0.0) | 278,0 (0.0) | 82,201 (34.5) | 583
   ↳ Palliative care,82 (8.7) | 943,0 (0.0) | 278,82 (100.0) | 82,0 (0.0) | 583
   ↳ Discharged against medical advice,73 (7.7) | 943,73 (26.3) | 278,0 (0.0) | 82,0 (0.0) | 583
"   ↳ Alive, not admitted",190 (20.1) | 943,0 (0.0) | 278,0 (0.0) | 82,190 (32.6) | 583
<b>Ability to self-care at discharge versus before illness</b> (*),,,,
   ↳ Same as before illness,68 (36.4) | 187,68 (36.4) | 187,N/A,N/A
   ↳ Worse,76 (40.6) | 187,76 (40.6) | 187,N/A,N/A
   ↳ Better,43 (23.0) | 187,43 (23.0) | 187,N/A,N/A
<b> Ongoing health care needs relating to this admission for pathogen of interest</b> (*),97 (29.1) | 333,48 (28.1) | 171,N/A,49 (30.2) | 162
<b>  Medically fit for discharge (pathogen resolved) but remains in hospital for other reason (e.g. ...</b> (*),69 (18.4) | 374,N/A,N/A,69 (18.4) | 374
