Variable,All,Female,Male,p-value
   ↳ Stage 5,90 (23.6) | 381,33 (23.6) | 140,57 (23.7) | 241,1.000
<b>HIV</b> (†),478 (89.7) | 533,175 (90.7) | 193,303 (89.1) | 340,0.657
<b>Is the patient on anti-retroviral therapy (ART)?</b> (†),263 (63.5) | 414,90 (57.7) | 156,173 (67.1) | 258,0.059
<b> Most recent CD4 count (cells/µL)</b> (+),5504.2 (2861.9-7912.9) | 457,5886.7 (2867.2-8418.6) | 167,5127.8 (2869.7-7436.2) | 290,<0.001 (**)
<b> Is HIV viral load detectable</b> (†),89 (19.8) | 449,35 (21.2) | 165,54 (19.0) | 284,0.624
<b>Most recent HIV viral load (copies/mL)</b> (+),2457227.1 (1460411.4-3759161.5) | 83,2169210.9 (1233625.0-3104846.7) | 31,2833358.4 (1568572.4-3830616.8) | 52,<0.001 (**)
<b>Tuberculosis</b> (†),75 (14.4) | 522,30 (15.4) | 195,45 (13.8) | 327,0.608
<b>Specify tuberculosis type</b> (†),,,,
   ↳ Active pulmonary,17 (34.0) | 50,5 (26.3) | 19,12 (38.7) | 31,0.540
   ↳ Active extra-pulmonary,17 (34.0) | 50,6 (31.6) | 19,11 (35.5) | 31,1.000
   ↳ Latent,16 (32.0) | 50,8 (42.1) | 19,8 (25.8) | 31,0.349
<b>Chronic haematologic disease</b> (†),364 (70.4) | 517,131 (69.7) | 188,233 (70.8) | 329,0.841
<b>Rheumatologic disorder</b> (†),432 (82.8) | 522,159 (83.7) | 190,273 (82.2) | 332,0.719
<b>Asplenia</b> (†),60 (13.2) | 456,22 (12.9) | 170,38 (13.3) | 286,1.000
<b>Malignant neoplasm</b> (†),292 (65.2) | 448,112 (65.1) | 172,180 (65.2) | 276,1.000
<b>Obesity</b> (†),144 (28.6) | 504,50 (26.3) | 190,94 (29.9) | 314,0.416
<b>Malnutrition</b> (†),80 (19.0) | 421,29 (18.7) | 155,51 (19.2) | 266,1.000
<b>Diabetes mellitus</b> (†),78 (16.5) | 472,30 (16.6) | 181,48 (16.5) | 291,1.000
<b>Diabetes mellitus type</b> (†),,,,
   ↳ Type 1,1 (2.8) | 36,0 (0.0) | 11,1 (4.0) | 25,
   ↳ Type 2,25 (69.4) | 36,5 (45.5) | 11,20 (80.0) | 25,0.056
   ↳ Gestational diabetes,10 (27.8) | 36,6 (54.5) | 11,4 (16.0) | 25,0.039 (*)
<b>Ever smoked</b> (†),329 (75.3) | 437,116 (71.6) | 162,213 (77.5) | 275,0.206
<b>Smoking status</b> (†),,,,
   ↳ Current smoker,83 (26.5) | 313,29 (26.9) | 108,54 (26.3) | 205,1.000
   ↳ Former Smoker,230 (73.5) | 313,79 (73.1) | 108,151 (73.7) | 205,1.000
<b>Transplant recipient </b> (†),479 (91.1) | 526,173 (89.2) | 194,306 (92.2) | 332,0.269
<b>Specify transplanted organ(s)</b>,,,,
   ↳ Lung,221 (43.9) | 503,87 (47.0) | 185,134 (42.1) | 318,0.306
   ↳ Heart,231 (45.9) | 503,83 (44.9) | 185,148 (46.5) | 318,0.781
   ↳ Kidney,254 (50.5) | 503,98 (53.0) | 185,156 (49.1) | 318,0.407
   ↳ Liver,240 (47.7) | 503,87 (47.0) | 185,153 (48.1) | 318,0.853
   ↳ Bone,247 (49.1) | 503,84 (45.4) | 185,163 (51.3) | 318,0.229
   ↳ Hematopoietic stem cell,207 (41.2) | 503,72 (38.9) | 185,135 (42.5) | 318,0.454
<b>Other relevant comorbidity(s)</b> (†),,,,
   ↳ Multiple Myeloma,18 (100.0) | 18,6 (100.0) | 6,12 (100.0) | 12,
   ↳ Ischaemic Heart Disease,16 (100.0) | 16,5 (100.0) | 5,11 (100.0) | 11,
   ↳ Hemiplegia,20 (100.0) | 20,6 (100.0) | 6,14 (100.0) | 14,
   ↳ Acute-on-chronic renal failure,27 (100.0) | 27,8 (100.0) | 8,19 (100.0) | 19,
   ↳ Moderate or Severe Liver Disease,15 (100.0) | 15,6 (100.0) | 6,9 (100.0) | 9,
   ↳ Blood coagulation disorder,23 (100.0) | 23,8 (100.0) | 8,15 (100.0) | 15,
   ↳ Chronic lung disease,22 (100.0) | 22,6 (100.0) | 6,16 (100.0) | 16,
   ↳ Congestive Heart Failure,23 (100.0) | 23,9 (100.0) | 9,14 (100.0) | 14,
   ↳ Essential hypertension,12 (100.0) | 12,2 (100.0) | 2,10 (100.0) | 10,
   ↳ Cardiomyopathy,5 (100.0) | 5,2 (100.0) | 2,3 (100.0) | 3,
   ↳ Disorder of pulmonary circulation,19 (100.0) | 19,6 (100.0) | 6,13 (100.0) | 13,
   ↳ Primary malignant neoplasm,26 (100.0) | 26,9 (100.0) | 9,17 (100.0) | 17,
   ↳ Diabetes Mellitus (all types),23 (100.0) | 23,5 (100.0) | 5,18 (100.0) | 18,
   ↳ Immunosuppression,24 (100.0) | 24,10 (100.0) | 10,14 (100.0) | 14,
   ↳ Chronic inflammatory disorder,26 (100.0) | 26,11 (100.0) | 11,15 (100.0) | 15,
   ↳ Rare Diseases and Inborn Errors of Metabolism,13 (100.0) | 13,4 (100.0) | 4,9 (100.0) | 9,
   ↳ Neurological disorder confirmed,20 (100.0) | 20,11 (100.0) | 11,9 (100.0) | 9,
   ↳ Chronic heart disease,16 (100.0) | 16,7 (100.0) | 7,9 (100.0) | 9,
   ↳ Malignant lymphoma,15 (100.0) | 15,7 (100.0) | 7,8 (100.0) | 8,
   ↳ Cerebrovascular Disease,18 (100.0) | 18,2 (100.0) | 2,16 (100.0) | 16,
   ↳ Undifferentiated connective tissue disease,19 (100.0) | 19,9 (100.0) | 9,10 (100.0) | 10,
   ↳ Paraplegia,17 (100.0) | 17,5 (100.0) | 5,12 (100.0) | 12,
   ↳ Leukemia,25 (100.0) | 25,6 (100.0) | 6,19 (100.0) | 19,
   ↳ Reactive psychoses,12 (100.0) | 12,5 (100.0) | 5,7 (100.0) | 7,
   ↳ Myocardial Infarction,21 (100.0) | 21,6 (100.0) | 6,15 (100.0) | 15,
   ↳ Chronic Kidney Disease,10 (100.0) | 10,3 (100.0) | 3,7 (100.0) | 7,
   ↳ Solid tumor configuration,23 (100.0) | 23,11 (100.0) | 11,12 (100.0) | 12,
   ↳ Neurodegenerative Disorders,11 (100.0) | 11,3 (100.0) | 3,8 (100.0) | 8,
   ↳ Chronic Haematological Disease,14 (100.0) | 14,2 (100.0) | 2,12 (100.0) | 12,
   ↳ Chronic metabolic disorder,18 (100.0) | 18,5 (100.0) | 5,13 (100.0) | 13,
   ↳ Rheumatoid Disorders,15 (100.0) | 15,5 (100.0) | 5,10 (100.0) | 10,
   ↳ Moderate or Severe Renal Disease,18 (100.0) | 18,4 (100.0) | 4,14 (100.0) | 14,
   ↳ Heart valve disorder,13 (100.0) | 13,4 (100.0) | 4,9 (100.0) | 9,
   ↳ Hyperthyroidism,17 (100.0) | 17,9 (100.0) | 9,8 (100.0) | 8,
   ↳ Peripheral Vascular Disease,26 (100.0) | 26,7 (100.0) | 7,19 (100.0) | 19,
   ↳ Atrial Fibrillation,19 (100.0) | 19,11 (100.0) | 11,8 (100.0) | 8,
   ↳ Obesity,32 (100.0) | 32,8 (100.0) | 8,24 (100.0) | 24,
   ↳ Congenital Heart Disease,15 (100.0) | 15,9 (100.0) | 9,6 (100.0) | 6,
   ↳ Smoking,26 (100.0) | 26,8 (100.0) | 8,18 (100.0) | 18,
   ↳ Chronic Viral Hepatitis,9 (100.0) | 9,4 (100.0) | 4,5 (100.0) | 5,
   ↳ Dementia,16 (100.0) | 16,6 (100.0) | 6,10 (100.0) | 10,
   ↳ Hypothyroidism,11 (100.0) | 11,6 (100.0) | 6,5 (100.0) | 5,
   ↳ Metastatic carcinoid tumor Cancer,20 (100.0) | 20,6 (100.0) | 6,14 (100.0) | 14,
   ↳ Psychoactive substance use disorder,9 (100.0) | 9,4 (100.0) | 4,5 (100.0) | 5,
   ↳ Recurrent deep vein thrombosis,14 (100.0) | 14,5 (100.0) | 5,9 (100.0) | 9,
   ↳ Asplenia,17 (100.0) | 17,5 (100.0) | 5,12 (100.0) | 12,
   ↳ Transplant present,11 (100.0) | 11,5 (100.0) | 5,6 (100.0) | 6,
   ↳ Disorder of lipid metabolism,17 (100.0) | 17,4 (100.0) | 4,13 (100.0) | 13,
   ↳ Disease of liver,31 (100.0) | 31,15 (100.0) | 15,16 (100.0) | 16,
   ↳ Chronic Infection,12 (100.0) | 12,7 (100.0) | 7,5 (100.0) | 5,
   ↳ Tuberculosis,21 (100.0) | 21,6 (100.0) | 6,15 (100.0) | 15,
   ↳ Stroke,13 (100.0) | 13,2 (100.0) | 2,11 (100.0) | 11,
   ↳ Autoimmune Disease,6 (100.0) | 6,1 (100.0) | 1,5 (100.0) | 5,
   ↳ Human immunodeficiency virus [HIV] disease,11 (100.0) | 11,6 (100.0) | 6,5 (100.0) | 5,
