Variable,All,Discharged,Death,Censored
   ↳ Trading,10 (7.2) | 139,4 (8.9) | 45,1 (7.7) | 13,5 (6.2) | 81
   ↳ Animal faeces or nests,7 (5.0) | 139,4 (8.9) | 45,0 (0.0) | 13,3 (3.7) | 81
   ↳ Sick or dead animal,7 (5.0) | 139,2 (4.4) | 45,2 (15.4) | 13,3 (3.7) | 81
   ↳ Unknown,6 (4.3) | 139,2 (4.4) | 45,1 (7.7) | 13,3 (3.7) | 81
   ↳ Other,8 (5.8) | 139,5 (11.1) | 45,1 (7.7) | 13,2 (2.5) | 81
<b><i>MEDICATION PRIOR TO THIS ADMISSION / PRESENTATION</i></b>,,,,
<b>Antiviral</b> (*),51 (6.6) | 775,12 (5.8) | 208,1 (1.8) | 57,38 (7.5) | 510
<b>Antiviral</b>,,,,
   ↳ Brincidofovir,25 (3.2) | 773,4 (1.9) | 208,0 (0.0) | 56,21 (4.1) | 509
   ↳ Cidofovir (Vistide),28 (3.6) | 773,7 (3.4) | 208,0 (0.0) | 56,21 (4.1) | 509
   ↳ Tecovirimat,17 (2.2) | 773,5 (2.4) | 208,0 (0.0) | 56,12 (2.4) | 509
   ↳ Other,20 (2.6) | 773,3 (1.4) | 208,0 (0.0) | 56,17 (3.3) | 509
<b>Antiviral administration route</b>,,,,
   ↳ Oral,17 (2.2) | 774,2 (1.0) | 207,1 (1.8) | 57,14 (2.7) | 510
   ↳ Inhaled,25 (3.2) | 774,8 (3.9) | 207,0 (0.0) | 57,17 (3.3) | 510
   ↳ IV,22 (2.8) | 774,5 (2.4) | 207,0 (0.0) | 57,17 (3.3) | 510
   ↳ Topical,24 (3.1) | 774,4 (1.9) | 207,0 (0.0) | 57,20 (3.9) | 510
   ↳ Unknown,20 (2.6) | 774,2 (1.0) | 207,1 (1.8) | 57,17 (3.3) | 510
<b>Number of days antivirals taken</b> (+),46.7 (29.5-68.8) | 47,47.1 (34.1-57.5) | 12,N/A,47.2 (30.1-72.7) | 34
<b>Corticosteroid</b> (*),784 (83.0) | 945,207 (78.7) | 263,61 (80.3) | 76,516 (85.1) | 606
<b>Corticosteroid</b>,,,,
"   ↳ Dexamethasone (Decadron, Dexasone, Diodex)",364 (40.7) | 895,99 (40.1) | 247,31 (42.5) | 73,234 (40.7) | 575
"   ↳ Hydrocortisone (Cortef, Solu-Cortef)",374 (41.8) | 895,102 (41.3) | 247,31 (42.5) | 73,241 (41.9) | 575
"   ↳ Methylprednisolone (Medrol, Solu-Medrol)",361 (40.3) | 895,88 (35.6) | 247,30 (41.1) | 73,243 (42.3) | 575
   ↳ Prednisone (Deltasone),397 (44.4) | 895,108 (43.7) | 247,28 (38.4) | 73,261 (45.4) | 575
   ↳ Other,354 (39.6) | 895,89 (36.0) | 247,32 (43.8) | 73,233 (40.5) | 575
<b>Corticosteroid administration route</b>,,,,
   ↳ Oral,391 (43.4) | 900,100 (40.0) | 250,32 (43.8) | 73,259 (44.9) | 577
   ↳ Inhaled,324 (36.0) | 900,77 (30.8) | 250,25 (34.2) | 73,222 (38.5) | 577
   ↳ IV,346 (38.4) | 900,87 (34.8) | 250,22 (30.1) | 73,237 (41.1) | 577
   ↳ Unknown,359 (39.9) | 900,103 (41.2) | 250,39 (53.4) | 73,217 (37.6) | 577
<b>Number of days corticosteroid taken</b> (+),50.8 (25.5-76.7) | 737,51.1 (23.2-80.2) | 199,50.2 (23.9-72.7) | 54,50.8 (27.3-74.8) | 484
<b>Immunosuppressant agents (not corticosteroids)</b> (*),1 (0.1) | 805,1 (0.4) | 229,0 (0.0) | 66,0 (0.0) | 510
<b>Antibiotics</b> (*),639 (78.5) | 814,173 (79.0) | 219,57 (81.4) | 70,409 (77.9) | 525
<b>Antibiotics</b>,,,,
"   ↳ Azithromycin (Sumamed, Zithromax, Zmax)",313 (39.7) | 789,86 (40.4) | 213,22 (31.9) | 69,205 (40.4) | 507
"   ↳ Doxycycline (Vibramycin, Oracea, Monodox)",298 (37.8) | 789,82 (38.5) | 213,27 (39.1) | 69,189 (37.3) | 507
   ↳ Other,292 (37.0) | 789,93 (43.7) | 213,30 (43.5) | 69,169 (33.3) | 507
<b>Herbal or traditional treatment</b> (*),476 (55.3) | 861,134 (54.5) | 246,34 (53.1) | 64,308 (55.9) | 551
<b>HIV PrEP / PEP</b> (*),268 (28.8) | 930,79 (30.7) | 257,25 (33.8) | 74,164 (27.4) | 599
<b>Specify other pathogen-targeted medications</b> (*),,,,
   ↳ Other,95 (100.0) | 95,27 (100.0) | 27,6 (100.0) | 6,62 (100.0) | 62
<b><i>SYMPTOMS ON ADMISSION</i></b>,,,,
<b>Fever</b> (*),41 (4.5) | 909,18 (6.9) | 260,2 (2.7) | 73,21 (3.6) | 576
<b>Chills or rigors</b> (*),713 (88.1) | 809,195 (86.3) | 226,61 (88.4) | 69,457 (88.9) | 514
<b>Fatigue / malaise / lethargy</b> (*),660 (78.0) | 846,195 (80.6) | 242,53 (76.8) | 69,412 (77.0) | 535
<b>Weight loss</b> (*),605 (78.0) | 776,177 (79.0) | 224,45 (71.4) | 63,383 (78.3) | 489
<b>Muscle aches / myalgia</b> (*),264 (30.7) | 859,80 (34.5) | 232,20 (28.6) | 70,164 (29.4) | 557
<b>Joint pain / arthralgia</b> (*),430 (55.9) | 769,111 (54.7) | 203,40 (64.5) | 62,279 (55.4) | 504
<b>Skin rash</b> (*),12 (1.3) | 916,2 (0.8) | 253,0 (0.0) | 76,10 (1.7) | 587
<b>Site where rash first occurred</b>,,,,
"   ↳ Skin, genital",7 (0.8) | 913,1 (0.4) | 252,0 (0.0) | 76,6 (1.0) | 585
"   ↳ Skin, non-genital",6 (0.7) | 913,1 (0.4) | 252,0 (0.0) | 76,5 (0.9) | 585
"   ↳ Mucosa, genital",4 (0.4) | 913,0 (0.0) | 252,0 (0.0) | 76,4 (0.7) | 585
"   ↳ Mucosa, non-genital",4 (0.4) | 913,0 (0.0) | 252,0 (0.0) | 76,4 (0.7) | 585
   ↳ Mouth,6 (0.7) | 913,1 (0.4) | 252,0 (0.0) | 76,5 (0.9) | 585
   ↳ Perianal skin,7 (0.8) | 913,1 (0.4) | 252,0 (0.0) | 76,6 (1.0) | 585
   ↳ Rectum,2 (0.2) | 913,0 (0.0) | 252,0 (0.0) | 76,2 (0.3) | 585
   ↳ Unknown,5 (0.5) | 913,1 (0.4) | 252,0 (0.0) | 76,4 (0.7) | 585
   ↳ Other,4 (0.4) | 913,1 (0.4) | 252,0 (0.0) | 76,3 (0.5) | 585
<b>Itch / pruritus</b> (*),391 (48.8) | 802,99 (45.0) | 220,34 (50.0) | 68,258 (50.2) | 514
<b>Change in mobility from baseline</b> (*),208 (22.9) | 910,53 (20.4) | 260,21 (28.0) | 75,134 (23.3) | 575
<b>Mobility status</b> (*),,,,
   ↳ Fully ambulant,257 (26.8) | 959,69 (25.7) | 269,21 (26.9) | 78,167 (27.3) | 612
"   ↳ Ambulant, but with some assistance",317 (33.1) | 959,91 (33.8) | 269,30 (38.5) | 78,196 (32.0) | 612
   ↳ Bedridden,385 (40.1) | 959,109 (40.5) | 269,27 (34.6) | 78,249 (40.7) | 612
<b>Cough</b> (*),136 (16.5) | 822,43 (18.3) | 235,9 (13.0) | 69,84 (16.2) | 518
<b>Cough type</b> (*),,,,
   ↳ Non Productive,8 (6.6) | 122,4 (10.8) | 37,1 (12.5) | 8,3 (3.9) | 77
   ↳ Productive,97 (79.5) | 122,29 (78.4) | 37,7 (87.5) | 8,61 (79.2) | 77
   ↳ Haemoptysis,17 (13.9) | 122,4 (10.8) | 37,0 (0.0) | 8,13 (16.9) | 77
<b>Sore throat</b> (*),409 (46.7) | 876,114 (46.7) | 244,35 (47.9) | 73,260 (46.5) | 559
<b>Shortness of breath </b> (*),97 (11.4) | 850,24 (10.1) | 237,6 (8.2) | 73,67 (12.4) | 540
<b>Chest pain</b> (*),124 (15.7) | 792,33 (15.6) | 211,4 (6.3) | 63,87 (16.8) | 518
<b>Abdominal pain</b> (*),235 (28.2) | 834,69 (30.8) | 224,17 (23.6) | 72,149 (27.7) | 538
<b>Diarrhoea</b> (*),97 (11.1) | 875,38 (15.4) | 246,8 (11.3) | 71,51 (9.1) | 558
<b>Constipation</b> (*),208 (21.9) | 949,64 (23.7) | 270,15 (19.2) | 78,129 (21.5) | 601
<b>Vomiting</b> (*),762 (83.2) | 916,203 (79.6) | 255,64 (81.0) | 79,495 (85.1) | 582
<b>Persistent vomiting? (>=2/day)</b> (*),590 (90.9) | 649,157 (92.4) | 170,49 (92.5) | 53,384 (90.1) | 426
<b>Nausea</b> (*),633 (83.5) | 758,174 (83.3) | 209,55 (85.9) | 64,404 (83.3) | 485
<b>Excessive salivation</b> (*),509 (60.2) | 846,132 (56.7) | 233,44 (66.7) | 66,333 (60.9) | 547
<b>Difficulty swallowing (dysphagia)</b> (*),154 (16.6) | 927,49 (19.0) | 258,9 (11.8) | 76,96 (16.2) | 593
<b>Urinary retention</b> (*),103 (11.5) | 894,38 (15.1) | 251,6 (8.1) | 74,59 (10.4) | 569
<b>Painful intercourse (dyspareunia)</b> (*),920 (98.1) | 938,257 (97.7) | 263,74 (97.4) | 76,589 (98.3) | 599
<b>Bleeding / haemorrhage</b> (*),631 (69.2) | 912,186 (72.1) | 258,44 (65.7) | 67,401 (68.3) | 587
<b>Severe bleeding / haemorrhage (requires intervention)</b> (*),528 (89.8) | 588,151 (87.8) | 172,38 (88.4) | 43,339 (90.9) | 373
<b>Specify bleeding / haemorrhage site(s)</b>,,,,
   ↳ Skin,313 (35.9) | 872,93 (38.1) | 244,20 (31.7) | 63,200 (35.4) | 565
   ↳ Petechiae,290 (33.3) | 872,85 (34.8) | 244,25 (39.7) | 63,180 (31.9) | 565
   ↳ Nose,296 (33.9) | 872,86 (35.2) | 244,23 (36.5) | 63,187 (33.1) | 565
   ↳ Gums,312 (35.8) | 872,82 (33.6) | 244,20 (31.7) | 63,210 (37.2) | 565
   ↳ GI tract,286 (32.8) | 872,83 (34.0) | 244,22 (34.9) | 63,181 (32.0) | 565
   ↳ Urinary tract,290 (33.3) | 872,94 (38.5) | 244,19 (30.2) | 63,177 (31.3) | 565
   ↳ Vagina,327 (37.5) | 872,95 (38.9) | 244,24 (38.1) | 63,208 (36.8) | 565
   ↳ Unknown,314 (36.0) | 872,91 (37.3) | 244,24 (38.1) | 63,199 (35.2) | 565
   ↳ Other(s),320 (36.7) | 872,95 (38.9) | 244,22 (34.9) | 63,203 (35.9) | 565
<b>Headache</b> (*),588 (73.4) | 801,168 (76.7) | 219,53 (79.1) | 67,367 (71.3) | 515
<b>Seizures / convulsions</b> (*),541 (64.8) | 835,153 (65.9) | 232,46 (71.9) | 64,342 (63.5) | 539
<b>Altered consciousness / confusion</b> (*),320 (34.7) | 921,89 (34.1) | 261,21 (30.0) | 70,210 (35.6) | 590
<b>Itching of eye(s)</b> (*),841 (91.8) | 916,231 (92.4) | 250,72 (92.3) | 78,538 (91.5) | 588
<b>Red / Pink eye(s)</b> (*),51 (5.8) | 879,13 (5.4) | 239,2 (2.7) | 75,36 (6.4) | 565
<b>Pain in eye(s)</b> (*),746 (86.5) | 862,206 (86.6) | 238,63 (85.1) | 74,477 (86.7) | 550
<b>Visual disturbance</b> (*),697 (92.7) | 752,200 (93.5) | 214,58 (90.6) | 64,439 (92.6) | 474
<b>Other opthalmological symptoms</b> (*),62 (8.1) | 766,16 (7.3) | 220,5 (7.8) | 64,41 (8.5) | 482
<b>Other  symptom(s)</b> (*),,,,
   ↳ Rapid heart beat/Pulse (Tachycardia),2 (100.0) | 2,N/A,N/A,2 (100.0) | 2
   ↳ Limb weakness / paralysis (Monoplegia),1 (100.0) | 1,1 (100.0) | 1,N/A,N/A
   ↳ Can't fully move or control movement (Paralytic syndrome),1 (100.0) | 1,1 (100.0) | 1,N/A,N/A
   ↳ Visual disturbances,1 (100.0) | 1,N/A,N/A,1 (100.0) | 1
   ↳ Sneezing,2 (100.0) | 2,1 (100.0) | 1,N/A,1 (100.0) | 1
   ↳ Lymphadenitis,3 (100.0) | 3,3 (100.0) | 3,N/A,N/A
   ↳ Mucosal lesion,3 (100.0) | 3,2 (100.0) | 2,1 (100.0) | 1,N/A
   ↳ Keratitis,1 (100.0) | 1,1 (100.0) | 1,N/A,N/A
   ↳ Swollen lymph nodes (Enlarged lymph nodes),1 (100.0) | 1,1 (100.0) | 1,N/A,N/A
   ↳ Spontaneous bruising (Spontaneous ecchymoses),3 (100.0) | 3,N/A,N/A,3 (100.0) | 3
   ↳ Cognitive impairment (Unspecified intellectual disabilities),1 (100.0) | 1,N/A,1 (100.0) | 1,N/A
   ↳ Conjunctivitis,1 (100.0) | 1,N/A,N/A,1 (100.0) | 1
   ↳ Abdominal pain,2 (100.0) | 2,N/A,N/A,2 (100.0) | 2
   ↳ Skin rash,3 (100.0) | 3,N/A,N/A,3 (100.0) | 3
   ↳ Disorders of nose and nasal sinuses,2 (100.0) | 2,N/A,N/A,2 (100.0) | 2
   ↳ Loss of smell (Anosmia),2 (100.0) | 2,2 (100.0) | 2,N/A,N/A
   ↳ Difficulty eating or drinking (Dysphagia),1 (100.0) | 1,N/A,N/A,1 (100.0) | 1
   ↳ Jaundice,1 (100.0) | 1,N/A,1 (100.0) | 1,N/A
   ↳ Wheezing,1 (100.0) | 1,1 (100.0) | 1,N/A,N/A
   ↳ Abnormal weight loss,2 (100.0) | 2,N/A,N/A,2 (100.0) | 2
   ↳ Itchy eye,3 (100.0) | 3,N/A,N/A,3 (100.0) | 3
   ↳ Chest pain on breathing,2 (100.0) | 2,2 (100.0) | 2,N/A,N/A
   ↳ Fainting / blackouts (Syncope and collapse),2 (100.0) | 2,N/A,N/A,2 (100.0) | 2
   ↳ Nausea or vomiting,1 (100.0) | 1,N/A,N/A,1 (100.0) | 1
   ↳ Bleeding (Haemorrhage),2 (100.0) | 2,2 (100.0) | 2,N/A,N/A
   ↳ Increased thirst (Polydipsia),1 (100.0) | 1,1 (100.0) | 1,N/A,N/A
   ↳ Fever,1 (100.0) | 1,1 (100.0) | 1,N/A,N/A
   ↳ Altered consciousness / Confusion (Disorientation),1 (100.0) | 1,1 (100.0) | 1,N/A,N/A
   ↳ Pallor,1 (100.0) | 1,N/A,N/A,1 (100.0) | 1
   ↳ Constipation,2 (100.0) | 2,N/A,1 (100.0) | 1,1 (100.0) | 1
   ↳ Can't feel one side of the body or face (Hemiplegia),1 (100.0) | 1,N/A,1 (100.0) | 1,N/A
   ↳ Pain during urination (Dysuria),1 (100.0) | 1,N/A,N/A,1 (100.0) | 1
   ↳ Loss of appetite (Anorexia),1 (100.0) | 1,N/A,N/A,1 (100.0) | 1
   ↳ Paresthesia of skin,1 (100.0) | 1,N/A,N/A,1 (100.0) | 1
   ↳ Localized edema,2 (100.0) | 2,N/A,N/A,2 (100.0) | 2
   ↳ Difficulty in walking,2 (100.0) | 2,N/A,N/A,2 (100.0) | 2
   ↳ Chills (without fever),1 (100.0) | 1,N/A,N/A,1 (100.0) | 1
   ↳ Joint pain (Arthralgia),1 (100.0) | 1,N/A,N/A,1 (100.0) | 1
<b><i>VITAL SIGNS & ASSESSMENTS</i></b>,,,,
<b>Enter Vital Signs data for this date?</b> (*),426 (44.7) | 954,106 (40.6) | 261,37 (46.8) | 79,283 (46.1) | 614
<b>Highest temperature </b> (+),51.7 (27.7-77.9) | 396,50.0 (22.0-77.8) | 101,59.0 (42.4-82.9) | 34,51.2 (27.8-77.6) | 261
<b>HR (bpm)</b> (+),47.5 (21.8-77.9) | 403,49.9 (24.9-82.5) | 101,48.9 (32.6-62.2) | 34,47.1 (19.1-77.5) | 268
<b>RR (breaths/min)</b> (+),50.5 (25.3-75.8) | 398,49.0 (25.3-75.5) | 98,64.7 (34.2-88.1) | 36,50.2 (24.1-74.9) | 264
<b>Systolic BP (mmHg)</b> (+),44.3 (21.7-72.0) | 405,43.0 (21.9-72.8) | 103,51.1 (31.5-69.6) | 33,44.3 (20.7-71.6) | 269
<b>Diastolic BP (mmHg)</b> (+),48.2 (22.3-74.4) | 410,50.8 (22.4-72.5) | 102,40.0 (20.8-68.6) | 35,48.7 (22.4-75.4) | 273
<b>Oxygen saturation at room air (no oxygen support) (%)</b> (+),49.2 (24.0-75.9) | 394,41.7 (21.3-74.5) | 99,51.3 (25.4-75.1) | 37,50.7 (24.9-76.4) | 258
<b>Supplemental oxygen?</b> (*),325 (85.5) | 380,87 (88.8) | 98,28 (84.8) | 33,210 (84.3) | 249
<b>Type of supplemental oxygen?</b> (*),,,,
   ↳ Nasal Prongs,71 (26.1) | 272,18 (27.3) | 66,6 (25.0) | 24,47 (25.8) | 182
   ↳ Face mask,33 (12.1) | 272,3 (4.5) | 66,5 (20.8) | 24,25 (13.7) | 182
   ↳ High flow nasal oxygen,33 (12.1) | 272,10 (15.2) | 66,1 (4.2) | 24,22 (12.1) | 182
   ↳ Non-invasive ventilation,60 (22.1) | 272,18 (27.3) | 66,6 (25.0) | 24,36 (19.8) | 182
   ↳ Invasive ventilation,53 (19.5) | 272,13 (19.7) | 66,4 (16.7) | 24,36 (19.8) | 182
   ↳ ECMO / ECLS,22 (8.1) | 272,4 (6.1) | 66,2 (8.3) | 24,16 (8.8) | 182
<b>Oxygen saturation with supplemental oxygen (%)</b> (+),48.9 (23.6-75.7) | 303,48.5 (29.7-66.9) | 81,47.2 (21.1-81.8) | 27,49.6 (21.3-75.8) | 195
<b>FiO2 at time of lowest SpO2 </b> (+),61.8 (32.2-87.1) | 318,53.5 (31.9-74.8) | 84,62.5 (37.4-80.7) | 28,64.2 (31.6-90.9) | 206
<b>Capillary refill time >2 seconds</b> (*),55 (15.1) | 365,20 (24.4) | 82,6 (19.4) | 31,29 (11.5) | 252
<b>ACVPU</b> (*),,,,
   ↳ Alert,95 (23.2) | 409,26 (25.5) | 102,9 (26.5) | 34,60 (22.0) | 273
   ↳ Confusion,18 (4.4) | 409,5 (4.9) | 102,2 (5.9) | 34,11 (4.0) | 273
   ↳ Verbal,48 (11.7) | 409,13 (12.7) | 102,2 (5.9) | 34,33 (12.1) | 273
   ↳ Pain,95 (23.2) | 409,20 (19.6) | 102,8 (23.5) | 34,67 (24.5) | 273
   ↳ Unresponsive,153 (37.4) | 409,38 (37.3) | 102,13 (38.2) | 34,102 (37.4) | 273
<b>Glasgow Coma Score (GCS / 15) </b> (+),8.5 (6.1-11.9) | 401,8.2 (5.7-12.0) | 102,8.1 (6.5-11.2) | 36,8.6 (6.2-11.9) | 263
<b><i>SYMPTOMS</i></b>,,,,
<b>Enter patient reported symptoms data for this date?</b> (*),743 (77.7) | 956,202 (76.5) | 264,65 (82.3) | 79,476 (77.7) | 613
<b>Fever</b> (*),396 (63.4) | 625,107 (64.1) | 167,31 (64.6) | 48,258 (62.9) | 410
<b>Chills or rigors</b> (*),348 (59.3) | 587,89 (57.4) | 155,36 (61.0) | 59,223 (59.8) | 373
<b>Fatigue / malaise / lethargy</b> (*),400 (66.3) | 603,107 (64.5) | 166,40 (67.8) | 59,253 (66.9) | 378
<b>Weight loss</b> (*),251 (36.2) | 693,77 (40.5) | 190,25 (41.7) | 60,149 (33.6) | 443
<b>Muscle aches / myalgia</b> (*),87 (12.9) | 676,28 (15.4) | 182,8 (14.3) | 56,51 (11.6) | 438
<b>Joint pain / arthralgia</b> (*),615 (95.8) | 642,165 (97.6) | 169,49 (92.5) | 53,401 (95.5) | 420
<b>Itch / pruritus</b> (*),314 (50.2) | 625,90 (52.9) | 170,27 (47.4) | 57,197 (49.5) | 398
<b>Change in mobility from baseline</b> (*),220 (36.0) | 611,64 (37.0) | 173,18 (34.0) | 53,138 (35.8) | 385
<b>Mobility status</b> (*),,,,
   ↳ Fully ambulant,79 (37.4) | 211,17 (26.6) | 64,8 (44.4) | 18,54 (41.9) | 129
"   ↳ Ambulant, but with some assistance",38 (18.0) | 211,15 (23.4) | 64,2 (11.1) | 18,21 (16.3) | 129
   ↳ Bedridden,94 (44.5) | 211,32 (50.0) | 64,8 (44.4) | 18,54 (41.9) | 129
<b>Cough</b> (*),305 (45.7) | 667,90 (48.9) | 184,27 (45.0) | 60,188 (44.4) | 423
<b>Cough type</b> (*),,,,
   ↳ Non Productive,121 (50.4) | 240,39 (54.9) | 71,10 (50.0) | 20,72 (48.3) | 149
   ↳ Productive,90 (37.5) | 240,23 (32.4) | 71,8 (40.0) | 20,59 (39.6) | 149
   ↳ Haemoptysis,29 (12.1) | 240,9 (12.7) | 71,2 (10.0) | 20,18 (12.1) | 149
<b>Sore throat</b> (*),212 (37.5) | 565,53 (33.5) | 158,21 (42.9) | 49,138 (38.5) | 358
<b>Shortness of breath </b> (*),564 (91.7) | 615,147 (88.6) | 166,52 (96.3) | 54,365 (92.4) | 395
<b>Chest pain</b> (*),330 (51.2) | 645,95 (54.9) | 173,20 (35.7) | 56,215 (51.7) | 416
<b>Abdominal pain</b> (*),429 (60.9) | 704,123 (63.4) | 194,43 (67.2) | 64,263 (59.0) | 446
<b>Diarrhoea</b> (*),200 (33.3) | 601,57 (36.1) | 158,11 (23.4) | 47,132 (33.3) | 396
<b>Constipation</b> (*),394 (65.8) | 599,101 (61.2) | 165,39 (66.1) | 59,254 (67.7) | 375
<b>Vomiting</b> (*),218 (33.4) | 653,58 (32.4) | 179,18 (31.0) | 58,142 (34.1) | 416
<b>Persistent vomiting? (>=2/day)</b> (*),22 (11.9) | 185,6 (12.8) | 47,1 (5.9) | 17,15 (12.4) | 121
<b>Nausea</b> (*),358 (50.1) | 714,112 (57.1) | 196,32 (51.6) | 62,214 (46.9) | 456
<b>Excessive salivation</b> (*),296 (48.5) | 610,89 (55.3) | 161,29 (55.8) | 52,178 (44.8) | 397
<b>Difficulty swallowing (dysphagia)</b> (*),644 (91.0) | 708,177 (91.7) | 193,55 (91.7) | 60,412 (90.5) | 455
<b>Urinary retention</b> (*),531 (77.5) | 685,145 (77.5) | 187,48 (78.7) | 61,338 (77.3) | 437
<b>Painful intercourse (dyspareunia)</b> (*),204 (36.0) | 567,47 (30.5) | 154,26 (50.0) | 52,131 (36.3) | 361
<b>Bleeding / haemorrhage</b> (*),502 (82.2) | 611,139 (82.2) | 169,45 (84.9) | 53,318 (81.7) | 389
<b>Severe bleeding / haemorrhage (requires intervention)</b> (*),110 (26.2) | 420,27 (23.9) | 113,10 (31.2) | 32,73 (26.5) | 275
<b>Specify bleeding / haemorrhage site(s)</b>,,,,
   ↳ Skin,238 (40.7) | 585,73 (45.1) | 162,25 (48.1) | 52,140 (37.7) | 371
   ↳ Petechiae,224 (38.3) | 585,63 (38.9) | 162,22 (42.3) | 52,139 (37.5) | 371
   ↳ Nose,235 (40.2) | 585,66 (40.7) | 162,20 (38.5) | 52,149 (40.2) | 371
   ↳ Gums,233 (39.8) | 585,66 (40.7) | 162,21 (40.4) | 52,146 (39.4) | 371
   ↳ GI tract,246 (42.1) | 585,61 (37.7) | 162,20 (38.5) | 52,165 (44.5) | 371
   ↳ Urinary tract,236 (40.3) | 585,67 (41.4) | 162,23 (44.2) | 52,146 (39.4) | 371
   ↳ Vagina,254 (43.4) | 585,68 (42.0) | 162,21 (40.4) | 52,165 (44.5) | 371
   ↳ Unknown,221 (37.8) | 585,61 (37.7) | 162,22 (42.3) | 52,138 (37.2) | 371
   ↳ Other(s),229 (39.1) | 585,62 (38.3) | 162,21 (40.4) | 52,146 (39.4) | 371
<b>Headache</b> (*),62 (10.1) | 615,17 (10.4) | 164,4 (8.2) | 49,41 (10.2) | 402
<b>Seizures / convulsions</b> (*),133 (21.6) | 617,33 (19.6) | 168,18 (34.6) | 52,82 (20.7) | 397
<b>Altered consciousness / confusion</b> (*),317 (55.6) | 570,83 (54.6) | 152,32 (66.7) | 48,202 (54.6) | 370
<b>Itching of eye(s)</b> (*),609 (97.0) | 628,161 (98.8) | 163,56 (94.9) | 59,392 (96.6) | 406
<b>Red / Pink eye(s)</b> (*),394 (66.3) | 594,113 (71.5) | 158,27 (50.0) | 54,254 (66.5) | 382
<b>Pain in eye(s)</b> (*),233 (39.8) | 586,68 (44.7) | 152,24 (45.3) | 53,141 (37.0) | 381
<b>Visual disturbance</b> (*),218 (32.0) | 681,58 (31.5) | 184,23 (36.5) | 63,137 (31.6) | 434
<b>Other opthalmological symptoms</b> (*),88 (13.9) | 631,21 (12.4) | 169,7 (12.1) | 58,60 (14.9) | 404
<b>Other symptom(s)</b> (*),,,,
   ↳ Chills (without fever),7 (100.0) | 7,1 (100.0) | 1,1 (100.0) | 1,5 (100.0) | 5
   ↳ Localized edema,3 (100.0) | 3,1 (100.0) | 1,1 (100.0) | 1,1 (100.0) | 1
   ↳ Mouth ulcers (Recurrent oral aphthae),3 (100.0) | 3,N/A,1 (100.0) | 1,2 (100.0) | 2
