Variable,All,Discharged,Death,Censored
   ↳ Vagina, 143 (23.0) |  623, 40 (23.4) | 171, 42 (24.4) | 172, 61 (21.8) | 280
   ↳ Other(s), 158 (25.4) |  623, 43 (25.1) | 171, 42 (24.4) | 172, 73 (26.1) | 280
   ↳ Unknown, 168 (27.0) |  623, 57 (33.3) | 171, 41 (23.8) | 172, 70 (25.0) | 280
<b>Coagulation disorder / DIC</b> (*), 317 (48.0) |  660, 82 (45.8) | 179, 87 (44.8) | 194,148 (51.6) | 287
<b>Acute renal injury / acute renal failure</b> (*), 315 (49.5) |  637, 97 (55.4) | 175, 86 (46.7) | 184,132 (47.5) | 278
<b>Shock </b> (*), 302 (48.7) |  620, 87 (49.4) | 176, 86 (52.4) | 164,129 (46.1) | 280
<b>Re-shock episodes</b> (*), 315 (48.6) |  648, 79 (46.2) | 171, 88 (46.1) | 191,148 (51.7) | 286
<b>Number of re-shock episodes</b> (*),,,,
   ↳ 1,  53 (21.7) |  244, 13 (20.6) |  63, 20 (27.8) |  72, 20 (18.3) | 109
   ↳ 2,  62 (25.4) |  244, 15 (23.8) |  63, 20 (27.8) |  72, 27 (24.8) | 109
   ↳ 3,  55 (22.5) |  244, 19 (30.2) |  63, 11 (15.3) |  72, 25 (22.9) | 109
   ↳ 4+,  74 (30.3) |  244, 16 (25.4) |  63, 21 (29.2) |  72, 37 (33.9) | 109
<b>Sepsis</b> (*), 313 (52.1) |  601, 95 (60.1) | 158, 86 (49.7) | 173,132 (48.9) | 270
<b>Other complication(s)</b> (*), 312 (48.2) |  647, 77 (44.5) | 173, 88 (47.3) | 186,147 (51.0) | 288
<b>Select other complication(s)</b> (*),,,,
   ↳ Acute Respiratory Distress Syndrome (ARDS),  10 ( 3.4) |  297,  6 ( 8.7) |  69,  0 ( 0.0) |  85,  4 ( 2.8) | 143
   ↳ Bacteremia,   9 ( 3.0) |  297,  3 ( 4.3) |  69,  1 ( 1.2) |  85,  5 ( 3.5) | 143
   ↳ Myocardial Infarction,   9 ( 3.0) |  297,  4 ( 5.8) |  69,  2 ( 2.4) |  85,  3 ( 2.1) | 143
   ↳ Neurological finding,  11 ( 3.7) |  297,  2 ( 2.9) |  69,  5 ( 5.9) |  85,  4 ( 2.8) | 143
   ↳ Pneumonia,   8 ( 2.7) |  297,  2 ( 2.9) |  69,  2 ( 2.4) |  85,  4 ( 2.8) | 143
   ↳ Pulmonary Embolism,  10 ( 3.4) |  297,  1 ( 1.4) |  69,  6 ( 7.1) |  85,  3 ( 2.1) | 143
   ↳ Septic Shock,   5 ( 1.7) |  297,  2 ( 2.9) |  69,  1 ( 1.2) |  85,  2 ( 1.4) | 143
   ↳ Acquired coagulation disorder,   7 ( 2.4) |  297,  0 ( 0.0) |  69,  1 ( 1.2) |  85,  6 ( 4.2) | 143
   ↳ Acute renal failure syndrome,   4 ( 1.3) |  297,  1 ( 1.4) |  69,  2 ( 2.4) |  85,  1 ( 0.7) | 143
   ↳ Bleeding,  10 ( 3.4) |  297,  1 ( 1.4) |  69,  4 ( 4.7) |  85,  5 ( 3.5) | 143
   ↳ Cardiac Arrest,   6 ( 2.0) |  297,  1 ( 1.4) |  69,  2 ( 2.4) |  85,  3 ( 2.1) | 143
   ↳ Cardioembolic stroke,   8 ( 2.7) |  297,  3 ( 4.3) |  69,  3 ( 3.5) |  85,  2 ( 1.4) | 143
   ↳ Cardiogenic Shock,   8 ( 2.7) |  297,  1 ( 1.4) |  69,  3 ( 3.5) |  85,  4 ( 2.8) | 143
   ↳ Cerebellar stroke,  10 ( 3.4) |  297,  3 ( 4.3) |  69,  1 ( 1.2) |  85,  6 ( 4.2) | 143
   ↳ Decompensation,   9 ( 3.0) |  297,  2 ( 2.9) |  69,  3 ( 3.5) |  85,  4 ( 2.8) | 143
   ↳ Deep venous thrombosis,   8 ( 2.7) |  297,  1 ( 1.4) |  69,  4 ( 4.7) |  85,  3 ( 2.1) | 143
   ↳ Disseminated Intravascular Coagulation (DIC),   9 ( 3.0) |  297,  0 ( 0.0) |  69,  6 ( 7.1) |  85,  3 ( 2.1) | 143
   ↳ Empyema,   8 ( 2.7) |  297,  3 ( 4.3) |  69,  1 ( 1.2) |  85,  4 ( 2.8) | 143
   ↳ Encephalitis,  13 ( 4.4) |  297,  3 ( 4.3) |  69,  3 ( 3.5) |  85,  7 ( 4.9) | 143
   ↳ Haemorrhagic stroke,   7 ( 2.4) |  297,  1 ( 1.4) |  69,  2 ( 2.4) |  85,  4 ( 2.8) | 143
   ↳ Hospital acquired pneumonia,   6 ( 2.0) |  297,  1 ( 1.4) |  69,  1 ( 1.2) |  85,  4 ( 2.8) | 143
   ↳ Ischemic encephalopathy,   5 ( 1.7) |  297,  1 ( 1.4) |  69,  3 ( 3.5) |  85,  1 ( 0.7) | 143
   ↳ Ischemic stroke,   9 ( 3.0) |  297,  1 ( 1.4) |  69,  3 ( 3.5) |  85,  5 ( 3.5) | 143
   ↳ Large liver,   2 ( 0.7) |  297,  0 ( 0.0) |  69,  1 ( 1.2) |  85,  1 ( 0.7) | 143
   ↳ Meningitis,   9 ( 3.0) |  297,  3 ( 4.3) |  69,  1 ( 1.2) |  85,  5 ( 3.5) | 143
   ↳ Multisystem inflammatory syndrome in adults,   5 ( 1.7) |  297,  2 ( 2.9) |  69,  1 ( 1.2) |  85,  2 ( 1.4) | 143
   ↳ Multisystem inflammatory syndrome in children,   7 ( 2.4) |  297,  2 ( 2.9) |  69,  4 ( 4.7) |  85,  1 ( 0.7) | 143
   ↳ Pneumothorax,  19 ( 6.4) |  297,  5 ( 7.2) |  69,  5 ( 5.9) |  85,  9 ( 6.3) | 143
   ↳ Recurrent gastrointestinal bleeding,   9 ( 3.0) |  297,  1 ( 1.4) |  69,  1 ( 1.2) |  85,  7 ( 4.9) | 143
   ↳ Recurrent urinary tract infection,   6 ( 2.0) |  297,  1 ( 1.4) |  69,  2 ( 2.4) |  85,  3 ( 2.1) | 143
   ↳ Sepsis,   6 ( 2.0) |  297,  1 ( 1.4) |  69,  1 ( 1.2) |  85,  4 ( 2.8) | 143
   ↳ Thrombotic stroke,  10 ( 3.4) |  297,  4 ( 5.8) |  69,  1 ( 1.2) |  85,  5 ( 3.5) | 143
   ↳ Transient cerebral ischemia,  11 ( 3.7) |  297,  1 ( 1.4) |  69,  2 ( 2.4) |  85,  8 ( 5.6) | 143
   ↳ Transient hypotension,   7 ( 2.4) |  297,  0 ( 0.0) |  69,  3 ( 3.5) |  85,  4 ( 2.8) | 143
   ↳ Ventilator-Associated Pneumonia,   7 ( 2.4) |  297,  5 ( 7.2) |  69,  1 ( 1.2) |  85,  1 ( 0.7) | 143
   ↳ Other,  10 ( 3.4) |  297,  1 ( 1.4) |  69,  3 ( 3.5) |  85,  6 ( 4.2) | 143
<b>Any additional other complication(s) ?</b> (*),  96 (50.5) |  190, 21 (45.7) |  46, 26 (50.0) |  52, 49 (53.3) |  92
<b>>Select additional other complication(s) 2</b> (*),,,,
   ↳ Acute Respiratory Distress Syndrome (ARDS),   2 ( 2.2) |   92,  1 ( 4.8) |  21,  1 ( 4.2) |  24,  0 ( 0.0) |  47
   ↳ Bacteremia,   2 ( 2.2) |   92,  0 ( 0.0) |  21,  1 ( 4.2) |  24,  1 ( 2.1) |  47
   ↳ Myocardial Infarction,   2 ( 2.2) |   92,  1 ( 4.8) |  21,  0 ( 0.0) |  24,  1 ( 2.1) |  47
   ↳ Neurological finding,   3 ( 3.3) |   92,  2 ( 9.5) |  21,  0 ( 0.0) |  24,  1 ( 2.1) |  47
   ↳ Pulmonary Embolism,   2 ( 2.2) |   92,  1 ( 4.8) |  21,  0 ( 0.0) |  24,  1 ( 2.1) |  47
   ↳ Septic Shock,   7 ( 7.6) |   92,  2 ( 9.5) |  21,  1 ( 4.2) |  24,  4 ( 8.5) |  47
   ↳ Acquired coagulation disorder,   2 ( 2.2) |   92,  0 ( 0.0) |  21,  1 ( 4.2) |  24,  1 ( 2.1) |  47
   ↳ Bleeding,   3 ( 3.3) |   92,  1 ( 4.8) |  21,  0 ( 0.0) |  24,  2 ( 4.3) |  47
   ↳ Cardiac Arrest,   1 ( 1.1) |   92,  0 ( 0.0) |  21,  0 ( 0.0) |  24,  1 ( 2.1) |  47
   ↳ Cardioembolic stroke,   2 ( 2.2) |   92,  0 ( 0.0) |  21,  2 ( 8.3) |  24,  0 ( 0.0) |  47
   ↳ Cardiogenic Shock,   3 ( 3.3) |   92,  0 ( 0.0) |  21,  1 ( 4.2) |  24,  2 ( 4.3) |  47
   ↳ Cerebellar stroke,   3 ( 3.3) |   92,  1 ( 4.8) |  21,  0 ( 0.0) |  24,  2 ( 4.3) |  47
   ↳ Decompensation,   1 ( 1.1) |   92,  0 ( 0.0) |  21,  0 ( 0.0) |  24,  1 ( 2.1) |  47
   ↳ Deep venous thrombosis,   4 ( 4.3) |   92,  0 ( 0.0) |  21,  2 ( 8.3) |  24,  2 ( 4.3) |  47
   ↳ Disseminated Intravascular Coagulation (DIC),   1 ( 1.1) |   92,  1 ( 4.8) |  21,  0 ( 0.0) |  24,  0 ( 0.0) |  47
   ↳ Empyema,   2 ( 2.2) |   92,  2 ( 9.5) |  21,  0 ( 0.0) |  24,  0 ( 0.0) |  47
   ↳ Encephalitis,   3 ( 3.3) |   92,  1 ( 4.8) |  21,  1 ( 4.2) |  24,  1 ( 2.1) |  47
   ↳ Haemorrhagic stroke,   1 ( 1.1) |   92,  0 ( 0.0) |  21,  0 ( 0.0) |  24,  1 ( 2.1) |  47
   ↳ Hospital acquired pneumonia,   3 ( 3.3) |   92,  1 ( 4.8) |  21,  0 ( 0.0) |  24,  2 ( 4.3) |  47
   ↳ Ischemic encephalopathy,   4 ( 4.3) |   92,  1 ( 4.8) |  21,  1 ( 4.2) |  24,  2 ( 4.3) |  47
   ↳ Large liver,   4 ( 4.3) |   92,  1 ( 4.8) |  21,  1 ( 4.2) |  24,  2 ( 4.3) |  47
   ↳ Meningitis,   3 ( 3.3) |   92,  0 ( 0.0) |  21,  2 ( 8.3) |  24,  1 ( 2.1) |  47
   ↳ Multisystem inflammatory syndrome in children,   5 ( 5.4) |   92,  1 ( 4.8) |  21,  1 ( 4.2) |  24,  3 ( 6.4) |  47
   ↳ Pneumothorax,   1 ( 1.1) |   92,  1 ( 4.8) |  21,  0 ( 0.0) |  24,  0 ( 0.0) |  47
   ↳ Recurrent gastrointestinal bleeding,   4 ( 4.3) |   92,  2 ( 9.5) |  21,  0 ( 0.0) |  24,  2 ( 4.3) |  47
   ↳ Recurrent urinary tract infection,   3 ( 3.3) |   92,  1 ( 4.8) |  21,  0 ( 0.0) |  24,  2 ( 4.3) |  47
   ↳ Sepsis,   3 ( 3.3) |   92,  0 ( 0.0) |  21,  1 ( 4.2) |  24,  2 ( 4.3) |  47
   ↳ Thrombotic stroke,   1 ( 1.1) |   92,  0 ( 0.0) |  21,  1 ( 4.2) |  24,  0 ( 0.0) |  47
   ↳ Transient cerebral ischemia,   4 ( 4.3) |   92,  0 ( 0.0) |  21,  1 ( 4.2) |  24,  3 ( 6.4) |  47
   ↳ Transient hypotension,   7 ( 7.6) |   92,  0 ( 0.0) |  21,  3 (12.5) |  24,  4 ( 8.5) |  47
   ↳ Ventilator-Associated Pneumonia,   2 ( 2.2) |   92,  0 ( 0.0) |  21,  0 ( 0.0) |  24,  2 ( 4.3) |  47
   ↳ Other,   4 ( 4.3) |   92,  0 ( 0.0) |  21,  3 (12.5) |  24,  1 ( 2.1) |  47
<b>>Any additional other complication(s) ?</b> (*),  28 (43.8) |   64,  6 (50.0) |  12,  5 (31.2) |  16, 17 (47.2) |  36
<b>->Select additional other complication(s) 3</b> (*),,,,
   ↳ Acute renal failure syndrome,   2 ( 7.7) |   26,  2 (33.3) |   6,  0 ( 0.0) |   5,  0 ( 0.0) |  15
   ↳ Cardioembolic stroke,   1 ( 3.8) |   26,  0 ( 0.0) |   6,  0 ( 0.0) |   5,  1 ( 6.7) |  15
   ↳ Disseminated Intravascular Coagulation (DIC),   3 (11.5) |   26,  0 ( 0.0) |   6,  1 (20.0) |   5,  2 (13.3) |  15
   ↳ Empyema,   1 ( 3.8) |   26,  0 ( 0.0) |   6,  0 ( 0.0) |   5,  1 ( 6.7) |  15
   ↳ Hospital acquired pneumonia,   1 ( 3.8) |   26,  0 ( 0.0) |   6,  0 ( 0.0) |   5,  1 ( 6.7) |  15
   ↳ Ischemic encephalopathy,   1 ( 3.8) |   26,  0 ( 0.0) |   6,  0 ( 0.0) |   5,  1 ( 6.7) |  15
   ↳ Ischemic stroke,   1 ( 3.8) |   26,  1 (16.7) |   6,  0 ( 0.0) |   5,  0 ( 0.0) |  15
   ↳ Large liver,   1 ( 3.8) |   26,  0 ( 0.0) |   6,  1 (20.0) |   5,  0 ( 0.0) |  15
   ↳ Meningitis,   2 ( 7.7) |   26,  2 (33.3) |   6,  0 ( 0.0) |   5,  0 ( 0.0) |  15
   ↳ Multisystem inflammatory syndrome in children,   1 ( 3.8) |   26,  0 ( 0.0) |   6,  0 ( 0.0) |   5,  1 ( 6.7) |  15
   ↳ Pneumothorax,   2 ( 7.7) |   26,  0 ( 0.0) |   6,  1 (20.0) |   5,  1 ( 6.7) |  15
   ↳ Recurrent urinary tract infection,   3 (11.5) |   26,  0 ( 0.0) |   6,  1 (20.0) |   5,  2 (13.3) |  15
   ↳ Sepsis,   2 ( 7.7) |   26,  0 ( 0.0) |   6,  0 ( 0.0) |   5,  2 (13.3) |  15
   ↳ Thrombotic stroke,   1 ( 3.8) |   26,  1 (16.7) |   6,  0 ( 0.0) |   5,  0 ( 0.0) |  15
   ↳ Transient cerebral ischemia,   1 ( 3.8) |   26,  0 ( 0.0) |   6,  1 (20.0) |   5,  0 ( 0.0) |  15
   ↳ Transient hypotension,   2 ( 7.7) |   26,  0 ( 0.0) |   6,  0 ( 0.0) |   5,  2 (13.3) |  15
   ↳ Ventilator-Associated Pneumonia,   1 ( 3.8) |   26,  0 ( 0.0) |   6,  0 ( 0.0) |   5,  1 ( 6.7) |  15
<b>->Any additional other complication(s) ?</b> (*),   7 (41.2) |   17,  3 (100.) |   3,  1 (25.0) |   4,  3 (30.0) |  10
<b>>->Select additional other complication(s) 4</b> (*),,,,
   ↳ Pulmonary Embolism,   1 (14.3) |    7,  1 (33.3) |   3,  0 ( 0.0) |   1,  0 ( 0.0) |   3
   ↳ Cerebellar stroke,   1 (14.3) |    7,  1 (33.3) |   3,  0 ( 0.0) |   1,  0 ( 0.0) |   3
   ↳ Encephalitis,   1 (14.3) |    7,  0 ( 0.0) |   3,  0 ( 0.0) |   1,  1 (33.3) |   3
   ↳ Haemorrhagic stroke,   1 (14.3) |    7,  1 (33.3) |   3,  0 ( 0.0) |   1,  0 ( 0.0) |   3
   ↳ Ischemic stroke,   1 (14.3) |    7,  0 ( 0.0) |   3,  0 ( 0.0) |   1,  1 (33.3) |   3
   ↳ Meningitis,   1 (14.3) |    7,  0 ( 0.0) |   3,  1 (100.) |   1,  0 ( 0.0) |   3
   ↳ Thrombotic stroke,   1 (14.3) |    7,  0 ( 0.0) |   3,  0 ( 0.0) |   1,  1 (33.3) |   3
<b>>->Any additional other complication(s) ?</b> (*),   6 (100.) |    6,  3 (100.) |   3,  1 (100.) |   1,  2 (100.) |   2
<b>->->Select additional other complication(s) 5</b> (*),,,,
   ↳ Bacteremia,   1 (20.0) |    5,  0 ( 0.0) |   3,  1 (100.) |   1,  0 ( 0.0) |   1
   ↳ Septic Shock,   1 (20.0) |    5,  1 (33.3) |   3,  0 ( 0.0) |   1,  0 ( 0.0) |   1
   ↳ Cardioembolic stroke,   1 (20.0) |    5,  1 (33.3) |   3,  0 ( 0.0) |   1,  0 ( 0.0) |   1
   ↳ Haemorrhagic stroke,   1 (20.0) |    5,  1 (33.3) |   3,  0 ( 0.0) |   1,  0 ( 0.0) |   1
   ↳ Large liver,   1 (20.0) |    5,  0 ( 0.0) |   3,  0 ( 0.0) |   1,  1 (100.) |   1
<b><i>OUTCOME</i></b>,,,,
<b>Was the patient's main diagnosis dengue?</b> (*), 316 (48.4) |  653, 94 (51.1) | 184, 85 (48.9) | 174,137 (46.4) | 295
<b> What was the final classification of dengue?</b> (*),,,,
   ↳ Uncomplicated dengue,  90 (29.9) |  301, 23 (26.1) |  88, 23 (28.0) |  82, 44 (33.6) | 131
   ↳ Dengue with warning signs, 103 (34.2) |  301, 31 (35.2) |  88, 33 (40.2) |  82, 39 (29.8) | 131
   ↳ Severe dengue, 108 (35.9) |  301, 34 (38.6) |  88, 26 (31.7) |  82, 48 (36.6) | 131
<b>Dengue shock syndrome</b> (*),  29 (48.3) |   60,  7 (35.0) |  20,  7 (43.8) |  16, 15 (62.5) |  24
<b>Severe bleeding</b> (*),  37 (50.7) |   73, 10 (41.7) |  24, 12 (60.0) |  20, 15 (51.7) |  29
<b>Severe organ impairment</b> (*),  30 (43.5) |   69,  5 (23.8) |  21,  7 (43.8) |  16, 18 (56.2) |  32
<b>Was there any secondary diagnosis?</b> (*), 308 (48.3) |  638, 80 (45.7) | 175, 86 (48.9) | 176,142 (49.5) | 287
<b>Outcome</b> (*),,,,
   ↳ Discharged alive, 142 (14.9) |  953,142 (52.0) | 273,  0 ( 0.0) | 286,  0 ( 0.0) | 394
   ↳ Still hospitalised, 126 (13.2) |  953,  0 ( 0.0) | 273,  0 ( 0.0) | 286,126 (32.0) | 394
   ↳ Transfer to other facility, 135 (14.2) |  953,  0 ( 0.0) | 273,  0 ( 0.0) | 286,135 (34.3) | 394
   ↳ Death, 129 (13.5) |  953,  0 ( 0.0) | 273,129 (45.1) | 286,  0 ( 0.0) | 394
   ↳ Palliative care, 157 (16.5) |  953,  0 ( 0.0) | 273,157 (54.9) | 286,  0 ( 0.0) | 394
   ↳ Discharged against medical advice, 131 (13.7) |  953,131 (48.0) | 273,  0 ( 0.0) | 286,  0 ( 0.0) | 394
"   ↳ Alive, not admitted", 133 (14.0) |  953,  0 ( 0.0) | 273,  0 ( 0.0) | 286,133 (33.8) | 394
<b>Ongoing health care needs relating to this admission for pathogen of interest</b> (*),  79 (46.7) |  169, 40 (44.0) |  91,N/A, 39 (50.0) |  78
<b>Ongoing health care needs NOT related to pathogen episode</b> (*),  98 (56.6) |  173, 51 (60.0) |  85,N/A, 47 (53.4) |  88
<b>Medically fit for discharge (pathogen resolved) but remains in hospital for other reason (e.g. ...</b> (*),  88 (52.4) |  168,N/A,N/A, 88 (52.4) | 168
