Variable,All,Discharged,Death,Censored
"   ↳ Azithromycin (Sumamed, Zithromax, Zmax)",  81 (28.5) |  284, 20 (26.0) |  77, 23 (27.4) |  84, 38 (30.9) | 123
"   ↳ Ceftriaxone (Rocephin, Wintriaxone)", 101 (35.6) |  284, 32 (41.6) |  77, 33 (39.3) |  84, 36 (29.3) | 123
   ↳ Other, 102 (35.9) |  284, 25 (32.5) |  77, 28 (33.3) |  84, 49 (39.8) | 123
<b>Select Antibiotics</b> (*),,,,
"   ↳ Atovaquone (Mepron, Wellvone)",   1 ( 1.0) |   98,  1 ( 4.0) |  25,  0 ( 0.0) |  27,  0 ( 0.0) |  46
"   ↳ Aztreonam (Azactam, Cayston, Primbactam)",   1 ( 1.0) |   98,  1 ( 4.0) |  25,  0 ( 0.0) |  27,  0 ( 0.0) |  46
"   ↳ Bacampicillin (Penglobe, Spectrobid)",   1 ( 1.0) |   98,  0 ( 0.0) |  25,  0 ( 0.0) |  27,  1 ( 2.2) |  46
   ↳ Bacitracin (Baciguent),   1 ( 1.0) |   98,  0 ( 0.0) |  25,  1 ( 3.7) |  27,  0 ( 0.0) |  46
   ↳ Benzathine phenoxymethylpenicillin (Penicillin V),   1 ( 1.0) |   98,  1 ( 4.0) |  25,  0 ( 0.0) |  27,  0 ( 0.0) |  46
   ↳ Capreomycin (Capastat),   1 ( 1.0) |   98,  0 ( 0.0) |  25,  0 ( 0.0) |  27,  1 ( 2.2) |  46
"   ↳ Carbenicillin indanyl sodium (Anabactyl, Carbapen, Carindacillin, Pyopen)",   3 ( 3.1) |   98,  1 ( 4.0) |  25,  1 ( 3.7) |  27,  1 ( 2.2) |  46
   ↳ Caspofungin (Cancidas),   2 ( 2.0) |   98,  1 ( 4.0) |  25,  0 ( 0.0) |  27,  1 ( 2.2) |  46
"   ↳ Cefaclor (Biocef, Ceclor, Raniclor)",   3 ( 3.1) |   98,  1 ( 4.0) |  25,  0 ( 0.0) |  27,  2 ( 4.3) |  46
   ↳ Cefamandole (Mandol),   2 ( 2.0) |   98,  1 ( 4.0) |  25,  0 ( 0.0) |  27,  1 ( 2.2) |  46
"   ↳ Cefdinir (Cefzon, Omnicef)",   2 ( 2.0) |   98,  0 ( 0.0) |  25,  1 ( 3.7) |  27,  1 ( 2.2) |  46
   ↳ Cefoperazone (Cefobid),   1 ( 1.0) |   98,  0 ( 0.0) |  25,  1 ( 3.7) |  27,  0 ( 0.0) |  46
"   ↳ Cefoxitin (Mefoxin, Renoxitin)",   3 ( 3.1) |   98,  0 ( 0.0) |  25,  0 ( 0.0) |  27,  3 ( 6.5) |  46
   ↳ Cefpodoxime Proxetil (Vantin),   1 ( 1.0) |   98,  0 ( 0.0) |  25,  1 ( 3.7) |  27,  0 ( 0.0) |  46
   ↳ Ceftibuten (Cedax),   1 ( 1.0) |   98,  1 ( 4.0) |  25,  0 ( 0.0) |  27,  0 ( 0.0) |  46
   ↳ Ceftizoxime (Cefizox),   2 ( 2.0) |   98,  0 ( 0.0) |  25,  0 ( 0.0) |  27,  2 ( 4.3) |  46
"   ↳ Cephalexin (Cefalexin, Keflex, Daxbia)",   4 ( 4.1) |   98,  1 ( 4.0) |  25,  2 ( 7.4) |  27,  1 ( 2.2) |  46
"   ↳ Cephalothin (Cefalotin,",   2 ( 2.0) |   98,  2 ( 8.0) |  25,  0 ( 0.0) |  27,  0 ( 0.0) |  46
"   ↳ Cephapirin (Cefapirin,",   2 ( 2.0) |   98,  0 ( 0.0) |  25,  0 ( 0.0) |  27,  2 ( 4.3) |  46
"   ↳ Cephradine (Cefradine, Velosef)",   1 ( 1.0) |   98,  0 ( 0.0) |  25,  0 ( 0.0) |  27,  1 ( 2.2) |  46
"   ↳ Chloramphenicol (Chloromycetin, Viceton)",   2 ( 2.0) |   98,  0 ( 0.0) |  25,  1 ( 3.7) |  27,  1 ( 2.2) |  46
   ↳ Cinoxacin (Cinobac),   3 ( 3.1) |   98,  0 ( 0.0) |  25,  0 ( 0.0) |  27,  3 ( 6.5) |  46
"   ↳ Cloxacillin (Tegopen, Cloxapen)",   1 ( 1.0) |   98,  0 ( 0.0) |  25,  0 ( 0.0) |  27,  1 ( 2.2) |  46
"   ↳ Colistin (Colistimethate, Coly Mycin M, Colobreathe, Xylistin)",   2 ( 2.0) |   98,  1 ( 4.0) |  25,  0 ( 0.0) |  27,  1 ( 2.2) |  46
   ↳ Cycloserine (Seromycin),   2 ( 2.0) |   98,  1 ( 4.0) |  25,  1 ( 3.7) |  27,  0 ( 0.0) |  46
"   ↳ Daptomycin (Dapzura, Cubicin)",   1 ( 1.0) |   98,  0 ( 0.0) |  25,  0 ( 0.0) |  27,  1 ( 2.2) |  46
"   ↳ Doripenem (Doribax, Finibax)",   1 ( 1.0) |   98,  0 ( 0.0) |  25,  0 ( 0.0) |  27,  1 ( 2.2) |  46
   ↳ Enoxacin,   5 ( 5.1) |   98,  1 ( 4.0) |  25,  2 ( 7.4) |  27,  2 ( 4.3) |  46
   ↳ Fusidic acid,   2 ( 2.0) |   98,  1 ( 4.0) |  25,  0 ( 0.0) |  27,  1 ( 2.2) |  46
   ↳ Grepafloxacin,   1 ( 1.0) |   98,  0 ( 0.0) |  25,  1 ( 3.7) |  27,  0 ( 0.0) |  46
   ↳ Kanamycin (Kantrex),   2 ( 2.0) |   98,  0 ( 0.0) |  25,  1 ( 3.7) |  27,  1 ( 2.2) |  46
"   ↳ Lincomycin (Linobac, Lincomed)",   2 ( 2.0) |   98,  1 ( 4.0) |  25,  0 ( 0.0) |  27,  1 ( 2.2) |  46
"   ↳ Methicillin (Meticillin, Staphcillin)",   1 ( 1.0) |   98,  0 ( 0.0) |  25,  1 ( 3.7) |  27,  0 ( 0.0) |  46
"   ↳ Minocycline (Minocin, Ximino)",   1 ( 1.0) |   98,  0 ( 0.0) |  25,  0 ( 0.0) |  27,  1 ( 2.2) |  46
   ↳ Nafcillin,   2 ( 2.0) |   98,  0 ( 0.0) |  25,  2 ( 7.4) |  27,  0 ( 0.0) |  46
   ↳ Neomycin (Neovet),   1 ( 1.0) |   98,  0 ( 0.0) |  25,  1 ( 3.7) |  27,  0 ( 0.0) |  46
   ↳ Netilmicin (Netromycin),   1 ( 1.0) |   98,  0 ( 0.0) |  25,  1 ( 3.7) |  27,  0 ( 0.0) |  46
"   ↳ Nitrofural (Aldomycin, Furacin, NFZ)",   1 ( 1.0) |   98,  0 ( 0.0) |  25,  0 ( 0.0) |  27,  1 ( 2.2) |  46
   ↳ Novobiocin (Albadry),   1 ( 1.0) |   98,  0 ( 0.0) |  25,  0 ( 0.0) |  27,  1 ( 2.2) |  46
"   ↳ Ofloxacin (Floxin, Ocuflox)",   2 ( 2.0) |   98,  0 ( 0.0) |  25,  1 ( 3.7) |  27,  1 ( 2.2) |  46
   ↳ Piperacillin,   1 ( 1.0) |   98,  0 ( 0.0) |  25,  0 ( 0.0) |  27,  1 ( 2.2) |  46
   ↳ Plazomicin (Zemdri),   1 ( 1.0) |   98,  1 ( 4.0) |  25,  0 ( 0.0) |  27,  0 ( 0.0) |  46
"   ↳ Polymyxin B (Poly-Rx, Polysporin)",   1 ( 1.0) |   98,  1 ( 4.0) |  25,  0 ( 0.0) |  27,  0 ( 0.0) |  46
"   ↳ Procaine benzylpenicillin (Penicillin G, Bactracillin G, Norocillin)",   5 ( 5.1) |   98,  2 ( 8.0) |  25,  3 (11.1) |  27,  0 ( 0.0) |  46
   ↳ Pyrazinamide,   3 ( 3.1) |   98,  1 ( 4.0) |  25,  1 ( 3.7) |  27,  1 ( 2.2) |  46
   ↳ Retapamulin (Altabax),   1 ( 1.0) |   98,  0 ( 0.0) |  25,  0 ( 0.0) |  27,  1 ( 2.2) |  46
   ↳ Rifapentine (Priftin),   3 ( 3.1) |   98,  1 ( 4.0) |  25,  0 ( 0.0) |  27,  2 ( 4.3) |  46
   ↳ Sulfadiazine,   2 ( 2.0) |   98,  1 ( 4.0) |  25,  0 ( 0.0) |  27,  1 ( 2.2) |  46
"   ↳ Sulfisoxazole (Sulfafurazole, Truxazole)",   3 ( 3.1) |   98,  2 ( 8.0) |  25,  1 ( 3.7) |  27,  0 ( 0.0) |  46
   ↳ Teicoplanin (Targocid),   1 ( 1.0) |   98,  0 ( 0.0) |  25,  0 ( 0.0) |  27,  1 ( 2.2) |  46
"   ↳ Telavancin (Televancin, Vibativ)",   2 ( 2.0) |   98,  0 ( 0.0) |  25,  1 ( 3.7) |  27,  1 ( 2.2) |  46
"   ↳ Tetracycline (Viabecline, Vitastem)",   1 ( 1.0) |   98,  0 ( 0.0) |  25,  0 ( 0.0) |  27,  1 ( 2.2) |  46
   ↳ Ticarcillin,   1 ( 1.0) |   98,  0 ( 0.0) |  25,  0 ( 0.0) |  27,  1 ( 2.2) |  46
   ↳ Trovafloxacin (Trovan),   2 ( 2.0) |   98,  0 ( 0.0) |  25,  1 ( 3.7) |  27,  1 ( 2.2) |  46
   ↳ Xibornol,   1 ( 1.0) |   98,  0 ( 0.0) |  25,  0 ( 0.0) |  27,  1 ( 2.2) |  46
   ↳ Other,   1 ( 1.0) |   98,  0 ( 0.0) |  25,  1 ( 3.7) |  27,  0 ( 0.0) |  46
<b>NSAIDs</b> (*), 329 (50.7) |  649, 97 (55.1) | 176, 90 (47.4) | 190,142 (50.2) | 283
<b>NSAIDs</b> (*),,,,
   ↳ Other, 309 (100.) |  309, 93 (100.) |  93, 81 (100.) |  81,135 (100.) | 135
<b>Select NSAIDs</b> (*),,,,
   ↳ Etoricoxib (Arcoxia),  35 (11.9) |  293, 10 (11.1) |  90, 10 (13.0) |  77, 15 (11.9) | 126
"   ↳ Flurbiprofen (Ansaid, Ocufen)",  22 ( 7.5) |  293,  5 ( 5.6) |  90,  5 ( 6.5) |  77, 12 ( 9.5) | 126
   ↳ Indomethacin (Indocin),  23 ( 7.8) |  293, 12 (13.3) |  90,  4 ( 5.2) |  77,  7 ( 5.6) | 126
"   ↳ Ketoprofen (Orudis, Oruvail)",  23 ( 7.8) |  293,  8 ( 8.9) |  90,  8 (10.4) |  77,  7 ( 5.6) | 126
   ↳ Ketorolac (Toradol),  26 ( 8.9) |  293,  9 (10.0) |  90,  6 ( 7.8) |  77, 11 ( 8.7) | 126
   ↳ Mefenamic Acid (Ponstel),  21 ( 7.2) |  293,  6 ( 6.7) |  90,  3 ( 3.9) |  77, 12 ( 9.5) | 126
   ↳ Meloxicam (Mobic),  31 (10.6) |  293, 12 (13.3) |  90,  8 (10.4) |  77, 11 ( 8.7) | 126
   ↳ Nabumetone (Relafen),  28 ( 9.6) |  293,  5 ( 5.6) |  90, 10 (13.0) |  77, 13 (10.3) | 126
   ↳ Piroxicam (Feldene),  34 (11.6) |  293,  9 (10.0) |  90, 11 (14.3) |  77, 14 (11.1) | 126
   ↳ Sulindac (Clinoril),  25 ( 8.5) |  293,  8 ( 8.9) |  90,  5 ( 6.5) |  77, 12 ( 9.5) | 126
   ↳ Other,  25 ( 8.5) |  293,  6 ( 6.7) |  90,  7 ( 9.1) |  77, 12 ( 9.5) | 126
<b>Anticoagulant</b> (*), 307 (48.5) |  633, 77 (45.3) | 170, 98 (52.1) | 188,132 (48.0) | 275
<b>Intravenous fluid</b> (*), 305 (47.3) |  645,101 (54.3) | 186, 82 (45.8) | 179,122 (43.6) | 280
<b>Intravenous fluid type</b> (*),,,,
   ↳ Crystalloid,  49 (17.1) |  286, 18 (19.4) |  93, 11 (14.3) |  77, 20 (17.2) | 116
   ↳ Albumin,  45 (15.7) |  286, 15 (16.1) |  93, 11 (14.3) |  77, 19 (16.4) | 116
   ↳ Gelatin,  46 (16.1) |  286, 19 (20.4) |  93,  9 (11.7) |  77, 18 (15.5) | 116
   ↳ Starches,  59 (20.6) |  286, 16 (17.2) |  93, 20 (26.0) |  77, 23 (19.8) | 116
   ↳ Fibrinogen concentrate,  43 (15.0) |  286, 12 (12.9) |  93, 13 (16.9) |  77, 18 (15.5) | 116
   ↳ Other fluid,  44 (15.4) |  286, 13 (14.0) |  93, 13 (16.9) |  77, 18 (15.5) | 116
<b>Total intravenous fluid volume in the previous 24 hours (mL)</b> (+),52.3 (26.4-75.5) |  289,54.4 (29.3-74.0) |  98,51.7 (22.1-77.8) |  79,51.8 (27.6-74.4) | 112
<b>Indication / reason</b>,,,,
   ↳ Shock, 142 (22.4) |  634, 55 (30.2) | 182, 39 (22.0) | 177, 48 (17.5) | 275
   ↳ Other, 156 (24.6) |  634, 51 (28.0) | 182, 40 (22.6) | 177, 65 (23.6) | 275
   ↳ Unknown, 149 (23.5) |  634, 53 (29.1) | 182, 40 (22.6) | 177, 56 (20.4) | 275
<b>Additional intravenous fluid</b> (*),  95 (48.5) |  196, 31 (47.0) |  66, 25 (51.0) |  49, 39 (48.1) |  81
<b>Intravenous fluid type</b> (*),,,,
   ↳ Crystalloid,  17 (18.1) |   94,  9 (29.0) |  31,  5 (20.0) |  25,  3 ( 7.9) |  38
   ↳ Albumin,  14 (14.9) |   94,  4 (12.9) |  31,  4 (16.0) |  25,  6 (15.8) |  38
   ↳ Gelatin,  18 (19.1) |   94,  5 (16.1) |  31,  4 (16.0) |  25,  9 (23.7) |  38
   ↳ Starches,  20 (21.3) |   94,  6 (19.4) |  31,  4 (16.0) |  25, 10 (26.3) |  38
   ↳ Fibrinogen concentrate,  17 (18.1) |   94,  5 (16.1) |  31,  5 (20.0) |  25,  7 (18.4) |  38
   ↳ Other fluid,   8 ( 8.5) |   94,  2 ( 6.5) |  31,  3 (12.0) |  25,  3 ( 7.9) |  38
<b>Total intravenous fluid volume in the previous 24 hours (mL)</b> (+),46.5 (22.5-71.7) |   92,47.1 (24.4-73.2) |  31,36.6 (24.8-58.2) |  24,51.5 (18.5-72.3) |  37
<b>Other pathogen-targeted medications</b> (*), 343 (51.9) |  661, 88 (49.7) | 177, 90 (50.3) | 179,165 (54.1) | 305
<b> Specify other pathogen-targeted medications</b> (*),,,,
   ↳ Other, 326 (100.) |  326, 87 (100.) |  87, 86 (100.) |  86,153 (100.) | 153
<b>Select If yes: Specify other pathogen-targeted medications</b> (*),,,,
   ↳ Aminophylline (Truphylline),   8 ( 2.6) |  310,  3 ( 3.6) |  84,  1 ( 1.2) |  80,  4 ( 2.7) | 146
"   ↳ Beclometasone (Qvar, Beconase AQ)",   9 ( 2.9) |  310,  2 ( 2.4) |  84,  2 ( 2.5) |  80,  5 ( 3.4) | 146
   ↳ Caspofungin (Cancidas),   8 ( 2.6) |  310,  4 ( 4.8) |  84,  1 ( 1.2) |  80,  3 ( 2.1) | 146
   ↳ Chloroquine (Aralen),   7 ( 2.3) |  310,  5 ( 6.0) |  84,  0 ( 0.0) |  80,  2 ( 1.4) | 146
"   ↳ Clobetasol (Temovate, Olux, Impoyz)",   5 ( 1.6) |  310,  3 ( 3.6) |  84,  0 ( 0.0) |  80,  2 ( 1.4) | 146
   ↳ Fluconazole (Diflucan),  11 ( 3.5) |  310,  1 ( 1.2) |  84,  2 ( 2.5) |  80,  8 ( 5.5) | 146
"   ↳ Fluticasone (Flovent, Flonase)",   7 ( 2.3) |  310,  1 ( 1.2) |  84,  1 ( 1.2) |  80,  5 ( 3.4) | 146
   ↳ Fluticasone furoate,   7 ( 2.3) |  310,  3 ( 3.6) |  84,  2 ( 2.5) |  80,  2 ( 1.4) | 146
"   ↳ Formoterol (Foradil, Perforomist)",   8 ( 2.6) |  310,  2 ( 2.4) |  84,  3 ( 3.8) |  80,  3 ( 2.1) | 146
   ↳ Formoterol and Beclometasone (Fostair),  11 ( 3.5) |  310,  3 ( 3.6) |  84,  3 ( 3.8) |  80,  5 ( 3.4) | 146
   ↳ Formoterol and Budesonide (Symbicort),   9 ( 2.9) |  310,  0 ( 0.0) |  84,  3 ( 3.8) |  80,  6 ( 4.1) | 146
   ↳ Glycopyrronium Bromide (Seebri),  12 ( 3.9) |  310,  2 ( 2.4) |  84,  6 ( 7.5) |  80,  4 ( 2.7) | 146
   ↳ Hydroxychloroquine (Plaquenil),  10 ( 3.2) |  310,  2 ( 2.4) |  84,  3 ( 3.8) |  80,  5 ( 3.4) | 146
"   ↳ Imiquimod (Aldara, Zyclara)",   5 ( 1.6) |  310,  3 ( 3.6) |  84,  1 ( 1.2) |  80,  1 ( 0.7) | 146
   ↳ Indacaterol and Glycopyrronium Bromide (Ultibro Breezhaler),   7 ( 2.3) |  310,  2 ( 2.4) |  84,  3 ( 3.8) |  80,  2 ( 1.4) | 146
   ↳ Interferon Alpha,   9 ( 2.9) |  310,  2 ( 2.4) |  84,  1 ( 1.2) |  80,  6 ( 4.1) | 146
   ↳ Interferon Beta,  12 ( 3.9) |  310,  3 ( 3.6) |  84,  0 ( 0.0) |  80,  9 ( 6.2) | 146
   ↳ Ipratropium Bromide (Atrovent),   6 ( 1.9) |  310,  2 ( 2.4) |  84,  1 ( 1.2) |  80,  3 ( 2.1) | 146
   ↳ Ivermectin (Stromectol),   7 ( 2.3) |  310,  2 ( 2.4) |  84,  3 ( 3.8) |  80,  2 ( 1.4) | 146
   ↳ Mafenide (Sulfamylon),   7 ( 2.3) |  310,  2 ( 2.4) |  84,  3 ( 3.8) |  80,  2 ( 1.4) | 146
"   ↳ Mometasone (Asmanex, Nasonex)",   9 ( 2.9) |  310,  2 ( 2.4) |  84,  2 ( 2.5) |  80,  5 ( 3.4) | 146
   ↳ Montelukast (Singulair),  10 ( 3.2) |  310,  6 ( 7.1) |  84,  1 ( 1.2) |  80,  3 ( 2.1) | 146
   ↳ Mupirocin (Bactroban),   3 ( 1.0) |  310,  1 ( 1.2) |  84,  1 ( 1.2) |  80,  1 ( 0.7) | 146
"   ↳ Nystatin (Bio-statin, Nyamyc)",  13 ( 4.2) |  310,  2 ( 2.4) |  84,  2 ( 2.5) |  80,  9 ( 6.2) | 146
"   ↳ Podophyllotoxin (Podofilox, Condylox)",   9 ( 2.9) |  310,  4 ( 4.8) |  84,  2 ( 2.5) |  80,  3 ( 2.1) | 146
   ↳ Primaquine,  12 ( 3.9) |  310,  2 ( 2.4) |  84,  3 ( 3.8) |  80,  7 ( 4.8) | 146
"   ↳ Salbutamol (Ventolin, Proventil)",  11 ( 3.5) |  310,  1 ( 1.2) |  84,  2 ( 2.5) |  80,  8 ( 5.5) | 146
"   ↳ Salmeterol and Fluticasone (Advair, Seretide)",  14 ( 4.5) |  310,  2 ( 2.4) |  84,  6 ( 7.5) |  80,  6 ( 4.1) | 146
"   ↳ Sulphur, precipitated in petrolatum",  13 ( 4.2) |  310,  3 ( 3.6) |  84,  4 ( 5.0) |  80,  6 ( 4.1) | 146
"   ↳ Theophylline (Theo-24, Elixophyllin)",   7 ( 2.3) |  310,  1 ( 1.2) |  84,  4 ( 5.0) |  80,  2 ( 1.4) | 146
   ↳ Tiotropium Bromide (Spiriva),  13 ( 4.2) |  310,  1 ( 1.2) |  84,  7 ( 8.8) |  80,  5 ( 3.4) | 146
   ↳ Trichloroacetic acid,  12 ( 3.9) |  310,  6 ( 7.1) |  84,  1 ( 1.2) |  80,  5 ( 3.4) | 146
   ↳ Vilanterol and Fluticasone Furoate (Breo Ellipta),  10 ( 3.2) |  310,  4 ( 4.8) |  84,  2 ( 2.5) |  80,  4 ( 2.7) | 146
   ↳ Other,   9 ( 2.9) |  310,  2 ( 2.4) |  84,  4 ( 5.0) |  80,  3 ( 2.1) | 146
<b><i>VITAL SIGNS & ASSESSMENTS ON ADMISSION</i></b>,,,,
<b>Enter Vital Signs data for admission?</b> (*), 459 (49.1) |  934,121 (48.6) | 249,124 (45.9) | 270,214 (51.6) | 415
<b>Temperature </b> (+),48.2 (24.1-72.3) |  438,43.7 (24.5-74.3) | 112,45.7 (20.6-66.1) | 123,50.7 (24.4-73.3) | 203
<b>HR (beats/minute)</b> (+),49.5 (24.6-77.9) |  434,50.1 (21.9-70.9) | 114,52.4 (32.0-80.6) | 117,48.5 (25.1-79.0) | 203
<b>Systolic BP (mmHg)</b> (+),46.9 (23.8-74.4) |  428,46.7 (26.3-73.4) | 113,51.5 (23.8-78.8) | 114,46.2 (21.4-73.9) | 201
<b>Diastolic BP (mmHg)</b> (+),46.8 (24.2-72.7) |  436,46.5 (20.5-72.5) | 117,45.8 (25.8-71.4) | 114,49.5 (24.4-73.8) | 205
<b>Oxygen saturation SpO2 (%)</b> (+),52.5 (26.4-76.3) |  437,52.6 (24.1-76.7) | 117,52.2 (28.0-76.6) | 117,51.8 (28.1-75.5) | 203
<b>Supplemental oxygen at point of SpO2 measured</b> (*),,,,
   ↳ Yes-nasal prongs,  58 (15.3) |  379, 12 (12.4) |  97, 18 (17.3) | 104, 28 (15.7) | 178
   ↳ Yes-simple mask,  74 (19.5) |  379, 20 (20.6) |  97, 18 (17.3) | 104, 36 (20.2) | 178
   ↳ Yes-HFNO,  68 (17.9) |  379, 20 (20.6) |  97, 17 (16.3) | 104, 31 (17.4) | 178
   ↳ Yes-NIV,  65 (17.2) |  379, 22 (22.7) |  97, 17 (16.3) | 104, 26 (14.6) | 178
   ↳ Yes-IMV / ECMO,  60 (15.8) |  379, 11 (11.3) |  97, 20 (19.2) | 104, 29 (16.3) | 178
   ↳ No (Room air),  54 (14.2) |  379, 12 (12.4) |  97, 14 (13.5) | 104, 28 (15.7) | 178
<b>Capillary refill time >2 seconds</b> (*), 146 (49.0) |  298, 30 (40.5) |  74, 49 (59.8) |  82, 67 (47.2) | 142
<b><i>SIGNS AND SYMPTOMS ON ADMISSION</i></b>,,,,
<b>Fever / chills / rigors</b> (*), 322 (48.5) |  664,100 (55.2) | 181, 86 (45.7) | 188,136 (46.1) | 295
<b>Restlessness</b> (*), 326 (49.1) |  664, 83 (45.4) | 183, 94 (49.2) | 191,149 (51.4) | 290
<b>Fatigue / malaise / lethargy</b> (*), 348 (54.3) |  641, 91 (53.8) | 169, 96 (54.2) | 177,161 (54.6) | 295
<b>Muscle aches / myalgia</b> (*), 315 (50.4) |  625, 74 (43.5) | 170, 94 (53.1) | 177,147 (52.9) | 278
<b>Joint pain / arthralgia</b> (*), 324 (50.4) |  643, 91 (50.3) | 181, 89 (47.8) | 186,144 (52.2) | 276
<b>Skin rash</b> (*), 325 (49.5) |  656, 95 (52.2) | 182, 91 (48.7) | 187,139 (48.4) | 287
<b>Cough</b> (*), 311 (50.1) |  621, 69 (41.8) | 165, 90 (49.7) | 181,152 (55.3) | 275
