Variable,All,Female,Male,Other / Unknown
   ↳ Unknown, 103 (11.4) |  904, 31 (12.1) | 256, 12 (12.4) |  97, 60 (10.9) | 551
<b>Obesity</b> (*), 262 (28.3) |  925, 75 (28.3) | 265, 30 (31.6) |  95,157 (27.8) | 565
<b>Asplenia</b> (*), 292 (31.8) |  917, 96 (36.1) | 266, 22 (24.2) |  91,174 (31.1) | 560
<b>Malignant neoplasm</b> (*), 162 (20.0) |  810, 48 (20.0) | 240, 17 (20.0) |  85, 97 (20.0) | 485
<b>Rheumatologic disorder</b> (*), 242 (29.8) |  813, 70 (28.9) | 242, 29 (33.3) |  87,143 (29.5) | 484
<b>Diabetes mellitus</b> (*), 362 (40.1) |  902, 94 (36.0) | 261, 41 (44.1) |  93,227 (41.4) | 548
<b>Type 1 diabetes mellitus</b> (*), 257 (90.5) |  284, 66 (89.2) |  74, 33 (91.7) |  36,158 (90.8) | 174
<b>Type 2 diabetes mellitus</b> (*), 228 (72.8) |  313, 60 (72.3) |  83, 25 (71.4) |  35,143 (73.3) | 195
<b>Gestational diabetes mellitus</b> (*), 215 (79.3) |  271, 56 (73.7) |  76, 25 (80.6) |  31,134 (81.7) | 164
<b>Malnutrition</b> (*), 454 (49.9) |  910,120 (45.8) | 262, 36 (37.5) |  96,298 (54.0) | 552
<b>Ever smoked</b> (*), 484 (58.6) |  826,131 (54.1) | 242, 51 (63.0) |  81,302 (60.0) | 503
<b> Current smoker</b> (*), 235 (60.4) |  389, 74 (69.8) | 106, 17 (42.5) |  40,144 (59.3) | 243
<b> Former smoker</b> (*), 246 (59.3) |  415, 69 (62.2) | 111, 25 (61.0) |  41,152 (57.8) | 263
<b>Transplant recipient </b> (*), 204 (22.1) |  925, 57 (21.9) | 260, 19 (20.9) |  91,128 (22.3) | 574
<b> Specify transplanted organ(s)</b>,,,,
   ↳ Heart,   1 ( 0.1) |  925,  0 ( 0.0) | 260,  0 ( 0.0) |  91,  1 ( 0.2) | 574
   ↳ Kidney,   2 ( 0.2) |  925,  0 ( 0.0) | 260,  0 ( 0.0) |  91,  2 ( 0.3) | 574
   ↳ Liver,   8 ( 0.9) |  925,  1 ( 0.4) | 260,  1 ( 1.1) |  91,  6 ( 1.0) | 574
   ↳ Bone,   5 ( 0.5) |  925,  4 ( 1.5) | 260,  0 ( 0.0) |  91,  1 ( 0.2) | 574
<b>Other relevant comorbidity(s)</b> (*), 371 (46.1) |  805,104 (45.4) | 229, 36 (44.4) |  81,231 (46.7) | 495
<b>Select other relevant comorbidity(s)</b> (*),,,,
   ↳ Acute-on-chronic renal failure,   6 ( 1.7) |  349,  0 ( 0.0) |  99,  2 ( 6.2) |  32,  4 ( 1.8) | 218
   ↳ Asplenia,   9 ( 2.6) |  349,  2 ( 2.0) |  99,  1 ( 3.1) |  32,  6 ( 2.8) | 218
   ↳ Atrial Fibrillation,  11 ( 3.2) |  349,  1 ( 1.0) |  99,  2 ( 6.2) |  32,  8 ( 3.7) | 218
   ↳ Autoimmune Disease,   3 ( 0.9) |  349,  0 ( 0.0) |  99,  1 ( 3.1) |  32,  2 ( 0.9) | 218
   ↳ Blood coagulation disorder,   2 ( 0.6) |  349,  1 ( 1.0) |  99,  0 ( 0.0) |  32,  1 ( 0.5) | 218
   ↳ Cardiomyopathy,  10 ( 2.9) |  349,  2 ( 2.0) |  99,  1 ( 3.1) |  32,  7 ( 3.2) | 218
   ↳ Cerebrovascular Disease,   6 ( 1.7) |  349,  1 ( 1.0) |  99,  0 ( 0.0) |  32,  5 ( 2.3) | 218
   ↳ Chronic Haematological Disease,   5 ( 1.4) |  349,  0 ( 0.0) |  99,  0 ( 0.0) |  32,  5 ( 2.3) | 218
   ↳ Chronic Infection,  13 ( 3.7) |  349,  4 ( 4.0) |  99,  2 ( 6.2) |  32,  7 ( 3.2) | 218
   ↳ Chronic Kidney Disease,   9 ( 2.6) |  349,  3 ( 3.0) |  99,  1 ( 3.1) |  32,  5 ( 2.3) | 218
   ↳ Chronic Viral Hepatitis,   2 ( 0.6) |  349,  1 ( 1.0) |  99,  0 ( 0.0) |  32,  1 ( 0.5) | 218
   ↳ Chronic heart disease,   4 ( 1.1) |  349,  1 ( 1.0) |  99,  0 ( 0.0) |  32,  3 ( 1.4) | 218
   ↳ Chronic inflammatory disorder,   4 ( 1.1) |  349,  0 ( 0.0) |  99,  1 ( 3.1) |  32,  3 ( 1.4) | 218
   ↳ Chronic lung disease,   6 ( 1.7) |  349,  1 ( 1.0) |  99,  0 ( 0.0) |  32,  5 ( 2.3) | 218
   ↳ Chronic metabolic disorder,   4 ( 1.1) |  349,  1 ( 1.0) |  99,  0 ( 0.0) |  32,  3 ( 1.4) | 218
   ↳ Congestive Heart Failure,   2 ( 0.6) |  349,  1 ( 1.0) |  99,  0 ( 0.0) |  32,  1 ( 0.5) | 218
   ↳ Dementia,   5 ( 1.4) |  349,  2 ( 2.0) |  99,  0 ( 0.0) |  32,  3 ( 1.4) | 218
   ↳ Diabetes Mellitus (all types),  14 ( 4.0) |  349,  9 ( 9.1) |  99,  0 ( 0.0) |  32,  5 ( 2.3) | 218
   ↳ Disease of liver,   3 ( 0.9) |  349,  0 ( 0.0) |  99,  1 ( 3.1) |  32,  2 ( 0.9) | 218
   ↳ Disorder of lipid metabolism,  11 ( 3.2) |  349,  2 ( 2.0) |  99,  1 ( 3.1) |  32,  8 ( 3.7) | 218
   ↳ Disorder of pulmonary circulation,  12 ( 3.4) |  349,  4 ( 4.0) |  99,  3 ( 9.4) |  32,  5 ( 2.3) | 218
   ↳ Essential hypertension,  13 ( 3.7) |  349,  3 ( 3.0) |  99,  2 ( 6.2) |  32,  8 ( 3.7) | 218
   ↳ Heart valve disorder,   6 ( 1.7) |  349,  3 ( 3.0) |  99,  0 ( 0.0) |  32,  3 ( 1.4) | 218
   ↳ Hemiplegia,   2 ( 0.6) |  349,  0 ( 0.0) |  99,  0 ( 0.0) |  32,  2 ( 0.9) | 218
   ↳ Human immunodeficiency virus [HIV] disease,   2 ( 0.6) |  349,  1 ( 1.0) |  99,  0 ( 0.0) |  32,  1 ( 0.5) | 218
   ↳ Hyperthyroidism,   1 ( 0.3) |  349,  1 ( 1.0) |  99,  0 ( 0.0) |  32,  0 ( 0.0) | 218
   ↳ Hypothyroidism,  11 ( 3.2) |  349,  4 ( 4.0) |  99,  2 ( 6.2) |  32,  5 ( 2.3) | 218
   ↳ Immunosuppression,   2 ( 0.6) |  349,  0 ( 0.0) |  99,  0 ( 0.0) |  32,  2 ( 0.9) | 218
   ↳ Ischaemic Heart Disease,  12 ( 3.4) |  349,  5 ( 5.1) |  99,  1 ( 3.1) |  32,  6 ( 2.8) | 218
   ↳ Leukemia,  13 ( 3.7) |  349,  4 ( 4.0) |  99,  1 ( 3.1) |  32,  8 ( 3.7) | 218
   ↳ Malignant lymphoma,   3 ( 0.9) |  349,  2 ( 2.0) |  99,  0 ( 0.0) |  32,  1 ( 0.5) | 218
   ↳ Metastatic carcinoid tumor Cancer,  12 ( 3.4) |  349,  6 ( 6.1) |  99,  2 ( 6.2) |  32,  4 ( 1.8) | 218
   ↳ Moderate or Severe Liver Disease,   5 ( 1.4) |  349,  0 ( 0.0) |  99,  0 ( 0.0) |  32,  5 ( 2.3) | 218
   ↳ Moderate or Severe Renal Disease,   8 ( 2.3) |  349,  2 ( 2.0) |  99,  0 ( 0.0) |  32,  6 ( 2.8) | 218
   ↳ Multiple Myeloma,  14 ( 4.0) |  349,  6 ( 6.1) |  99,  0 ( 0.0) |  32,  8 ( 3.7) | 218
   ↳ Myocardial Infarction,   3 ( 0.9) |  349,  1 ( 1.0) |  99,  0 ( 0.0) |  32,  2 ( 0.9) | 218
   ↳ Neurodegenerative Disorders,   4 ( 1.1) |  349,  1 ( 1.0) |  99,  0 ( 0.0) |  32,  3 ( 1.4) | 218
   ↳ Obesity,  16 ( 4.6) |  349,  3 ( 3.0) |  99,  2 ( 6.2) |  32, 11 ( 5.0) | 218
   ↳ Paraplegia,  11 ( 3.2) |  349,  4 ( 4.0) |  99,  1 ( 3.1) |  32,  6 ( 2.8) | 218
   ↳ Peripheral Vascular Disease,   1 ( 0.3) |  349,  0 ( 0.0) |  99,  0 ( 0.0) |  32,  1 ( 0.5) | 218
   ↳ Primary malignant neoplasm,  10 ( 2.9) |  349,  4 ( 4.0) |  99,  1 ( 3.1) |  32,  5 ( 2.3) | 218
   ↳ Psychoactive substance use disorder,   5 ( 1.4) |  349,  0 ( 0.0) |  99,  0 ( 0.0) |  32,  5 ( 2.3) | 218
   ↳ Rare Diseases and Inborn Errors of Metabolism,   2 ( 0.6) |  349,  0 ( 0.0) |  99,  0 ( 0.0) |  32,  2 ( 0.9) | 218
   ↳ Reactive psychoses,   5 ( 1.4) |  349,  2 ( 2.0) |  99,  1 ( 3.1) |  32,  2 ( 0.9) | 218
   ↳ Recurrent deep vein thrombosis,   9 ( 2.6) |  349,  2 ( 2.0) |  99,  1 ( 3.1) |  32,  6 ( 2.8) | 218
   ↳ Rheumatoid Disorders,   1 ( 0.3) |  349,  0 ( 0.0) |  99,  0 ( 0.0) |  32,  1 ( 0.5) | 218
   ↳ Smoking,   6 ( 1.7) |  349,  3 ( 3.0) |  99,  0 ( 0.0) |  32,  3 ( 1.4) | 218
   ↳ Solid tumor configuration,   4 ( 1.1) |  349,  1 ( 1.0) |  99,  1 ( 3.1) |  32,  2 ( 0.9) | 218
   ↳ Stroke,  13 ( 3.7) |  349,  2 ( 2.0) |  99,  0 ( 0.0) |  32, 11 ( 5.0) | 218
   ↳ Transplant present,   4 ( 1.1) |  349,  1 ( 1.0) |  99,  1 ( 3.1) |  32,  2 ( 0.9) | 218
   ↳ Undifferentiated connective tissue disease,   5 ( 1.4) |  349,  1 ( 1.0) |  99,  0 ( 0.0) |  32,  4 ( 1.8) | 218
   ↳ Other,   5 ( 1.4) |  349,  1 ( 1.0) |  99,  0 ( 0.0) |  32,  4 ( 1.8) | 218
<b>Any additional other relevant comorbidity(s) ?</b> (*), 151 (45.6) |  331, 39 (43.3) |  90, 17 (51.5) |  33, 95 (45.7) | 208
<b>>Select additional other relevant comorbidity(s) 2</b> (*),,,,
   ↳ Acute-on-chronic renal failure,   2 ( 1.4) |  142,  0 ( 0.0) |  37,  0 ( 0.0) |  17,  2 ( 2.3) |  88
   ↳ Asplenia,   3 ( 2.1) |  142,  1 ( 2.7) |  37,  1 ( 5.9) |  17,  1 ( 1.1) |  88
   ↳ Atrial Fibrillation,   4 ( 2.8) |  142,  1 ( 2.7) |  37,  0 ( 0.0) |  17,  3 ( 3.4) |  88
   ↳ Autoimmune Disease,   1 ( 0.7) |  142,  0 ( 0.0) |  37,  0 ( 0.0) |  17,  1 ( 1.1) |  88
   ↳ Blood coagulation disorder,   5 ( 3.5) |  142,  3 ( 8.1) |  37,  1 ( 5.9) |  17,  1 ( 1.1) |  88
   ↳ Cardiomyopathy,   4 ( 2.8) |  142,  2 ( 5.4) |  37,  0 ( 0.0) |  17,  2 ( 2.3) |  88
   ↳ Cerebrovascular Disease,   1 ( 0.7) |  142,  0 ( 0.0) |  37,  0 ( 0.0) |  17,  1 ( 1.1) |  88
   ↳ Chronic Haematological Disease,   1 ( 0.7) |  142,  0 ( 0.0) |  37,  0 ( 0.0) |  17,  1 ( 1.1) |  88
   ↳ Chronic Kidney Disease,   3 ( 2.1) |  142,  2 ( 5.4) |  37,  0 ( 0.0) |  17,  1 ( 1.1) |  88
   ↳ Chronic Viral Hepatitis,   3 ( 2.1) |  142,  0 ( 0.0) |  37,  1 ( 5.9) |  17,  2 ( 2.3) |  88
   ↳ Chronic heart disease,   2 ( 1.4) |  142,  0 ( 0.0) |  37,  0 ( 0.0) |  17,  2 ( 2.3) |  88
   ↳ Chronic inflammatory disorder,   3 ( 2.1) |  142,  2 ( 5.4) |  37,  0 ( 0.0) |  17,  1 ( 1.1) |  88
   ↳ Chronic lung disease,   1 ( 0.7) |  142,  0 ( 0.0) |  37,  0 ( 0.0) |  17,  1 ( 1.1) |  88
   ↳ Chronic metabolic disorder,   2 ( 1.4) |  142,  1 ( 2.7) |  37,  0 ( 0.0) |  17,  1 ( 1.1) |  88
   ↳ Congenital Heart Disease,   2 ( 1.4) |  142,  0 ( 0.0) |  37,  1 ( 5.9) |  17,  1 ( 1.1) |  88
   ↳ Congestive Heart Failure,   2 ( 1.4) |  142,  1 ( 2.7) |  37,  0 ( 0.0) |  17,  1 ( 1.1) |  88
   ↳ Dementia,   6 ( 4.2) |  142,  1 ( 2.7) |  37,  0 ( 0.0) |  17,  5 ( 5.7) |  88
   ↳ Disorder of lipid metabolism,   4 ( 2.8) |  142,  1 ( 2.7) |  37,  0 ( 0.0) |  17,  3 ( 3.4) |  88
   ↳ Disorder of pulmonary circulation,   4 ( 2.8) |  142,  2 ( 5.4) |  37,  0 ( 0.0) |  17,  2 ( 2.3) |  88
   ↳ Essential hypertension,   2 ( 1.4) |  142,  0 ( 0.0) |  37,  0 ( 0.0) |  17,  2 ( 2.3) |  88
   ↳ Heart valve disorder,   7 ( 4.9) |  142,  3 ( 8.1) |  37,  1 ( 5.9) |  17,  3 ( 3.4) |  88
   ↳ Hemiplegia,   4 ( 2.8) |  142,  1 ( 2.7) |  37,  1 ( 5.9) |  17,  2 ( 2.3) |  88
   ↳ Human immunodeficiency virus [HIV] disease,   3 ( 2.1) |  142,  1 ( 2.7) |  37,  0 ( 0.0) |  17,  2 ( 2.3) |  88
   ↳ Hypothyroidism,   3 ( 2.1) |  142,  0 ( 0.0) |  37,  1 ( 5.9) |  17,  2 ( 2.3) |  88
   ↳ Immunosuppression,   1 ( 0.7) |  142,  0 ( 0.0) |  37,  0 ( 0.0) |  17,  1 ( 1.1) |  88
   ↳ Ischaemic Heart Disease,   1 ( 0.7) |  142,  0 ( 0.0) |  37,  0 ( 0.0) |  17,  1 ( 1.1) |  88
   ↳ Leukemia,   1 ( 0.7) |  142,  0 ( 0.0) |  37,  1 ( 5.9) |  17,  0 ( 0.0) |  88
   ↳ Malignant lymphoma,   6 ( 4.2) |  142,  3 ( 8.1) |  37,  0 ( 0.0) |  17,  3 ( 3.4) |  88
   ↳ Metastatic carcinoid tumor Cancer,   2 ( 1.4) |  142,  2 ( 5.4) |  37,  0 ( 0.0) |  17,  0 ( 0.0) |  88
   ↳ Moderate or Severe Liver Disease,   2 ( 1.4) |  142,  0 ( 0.0) |  37,  0 ( 0.0) |  17,  2 ( 2.3) |  88
   ↳ Moderate or Severe Renal Disease,   6 ( 4.2) |  142,  0 ( 0.0) |  37,  1 ( 5.9) |  17,  5 ( 5.7) |  88
   ↳ Multiple Myeloma,   3 ( 2.1) |  142,  0 ( 0.0) |  37,  1 ( 5.9) |  17,  2 ( 2.3) |  88
   ↳ Myocardial Infarction,   7 ( 4.9) |  142,  1 ( 2.7) |  37,  1 ( 5.9) |  17,  5 ( 5.7) |  88
   ↳ Neurodegenerative Disorders,   2 ( 1.4) |  142,  1 ( 2.7) |  37,  1 ( 5.9) |  17,  0 ( 0.0) |  88
   ↳ Neurological disorder confirmed,   1 ( 0.7) |  142,  1 ( 2.7) |  37,  0 ( 0.0) |  17,  0 ( 0.0) |  88
   ↳ Obesity,   2 ( 1.4) |  142,  1 ( 2.7) |  37,  0 ( 0.0) |  17,  1 ( 1.1) |  88
   ↳ Paraplegia,   1 ( 0.7) |  142,  0 ( 0.0) |  37,  0 ( 0.0) |  17,  1 ( 1.1) |  88
   ↳ Peripheral Vascular Disease,   4 ( 2.8) |  142,  0 ( 0.0) |  37,  1 ( 5.9) |  17,  3 ( 3.4) |  88
   ↳ Primary malignant neoplasm,   1 ( 0.7) |  142,  1 ( 2.7) |  37,  0 ( 0.0) |  17,  0 ( 0.0) |  88
   ↳ Rare Diseases and Inborn Errors of Metabolism,   1 ( 0.7) |  142,  1 ( 2.7) |  37,  0 ( 0.0) |  17,  0 ( 0.0) |  88
   ↳ Recurrent deep vein thrombosis,   5 ( 3.5) |  142,  1 ( 2.7) |  37,  0 ( 0.0) |  17,  4 ( 4.5) |  88
   ↳ Rheumatoid Disorders,   5 ( 3.5) |  142,  1 ( 2.7) |  37,  1 ( 5.9) |  17,  3 ( 3.4) |  88
   ↳ Smoking,   4 ( 2.8) |  142,  0 ( 0.0) |  37,  0 ( 0.0) |  17,  4 ( 4.5) |  88
   ↳ Solid tumor configuration,   1 ( 0.7) |  142,  0 ( 0.0) |  37,  0 ( 0.0) |  17,  1 ( 1.1) |  88
   ↳ Stroke,   6 ( 4.2) |  142,  1 ( 2.7) |  37,  0 ( 0.0) |  17,  5 ( 5.7) |  88
   ↳ Transplant present,   2 ( 1.4) |  142,  1 ( 2.7) |  37,  0 ( 0.0) |  17,  1 ( 1.1) |  88
   ↳ Tuberculosis,   2 ( 1.4) |  142,  0 ( 0.0) |  37,  0 ( 0.0) |  17,  2 ( 2.3) |  88
   ↳ Undifferentiated connective tissue disease,   4 ( 2.8) |  142,  0 ( 0.0) |  37,  3 (17.6) |  17,  1 ( 1.1) |  88
<b>>Any additional other relevant comorbidity(s) ?</b> (*), 120 (94.5) |  127, 31 (96.9) |  32, 17 (100.) |  17, 72 (92.3) |  78
<b>->Select additional other relevant comorbidity(s) 3</b> (*),,,,
   ↳ Acute-on-chronic renal failure,   5 ( 4.3) |  117,  1 ( 3.2) |  31,  0 ( 0.0) |  16,  4 ( 5.7) |  70
   ↳ Asplenia,   2 ( 1.7) |  117,  1 ( 3.2) |  31,  1 ( 6.2) |  16,  0 ( 0.0) |  70
   ↳ Atrial Fibrillation,   4 ( 3.4) |  117,  3 ( 9.7) |  31,  0 ( 0.0) |  16,  1 ( 1.4) |  70
   ↳ Autoimmune Disease,   2 ( 1.7) |  117,  1 ( 3.2) |  31,  0 ( 0.0) |  16,  1 ( 1.4) |  70
   ↳ Blood coagulation disorder,   2 ( 1.7) |  117,  0 ( 0.0) |  31,  0 ( 0.0) |  16,  2 ( 2.9) |  70
   ↳ Cardiomyopathy,   3 ( 2.6) |  117,  0 ( 0.0) |  31,  0 ( 0.0) |  16,  3 ( 4.3) |  70
   ↳ Cerebrovascular Disease,   2 ( 1.7) |  117,  0 ( 0.0) |  31,  1 ( 6.2) |  16,  1 ( 1.4) |  70
   ↳ Chronic Haematological Disease,   4 ( 3.4) |  117,  0 ( 0.0) |  31,  0 ( 0.0) |  16,  4 ( 5.7) |  70
   ↳ Chronic Infection,   4 ( 3.4) |  117,  0 ( 0.0) |  31,  2 (12.5) |  16,  2 ( 2.9) |  70
   ↳ Chronic heart disease,   1 ( 0.9) |  117,  0 ( 0.0) |  31,  1 ( 6.2) |  16,  0 ( 0.0) |  70
   ↳ Chronic inflammatory disorder,   2 ( 1.7) |  117,  0 ( 0.0) |  31,  0 ( 0.0) |  16,  2 ( 2.9) |  70
   ↳ Chronic metabolic disorder,   1 ( 0.9) |  117,  0 ( 0.0) |  31,  0 ( 0.0) |  16,  1 ( 1.4) |  70
   ↳ Congenital Heart Disease,   5 ( 4.3) |  117,  2 ( 6.5) |  31,  0 ( 0.0) |  16,  3 ( 4.3) |  70
   ↳ Disease of liver,   2 ( 1.7) |  117,  0 ( 0.0) |  31,  0 ( 0.0) |  16,  2 ( 2.9) |  70
   ↳ Disorder of lipid metabolism,   2 ( 1.7) |  117,  0 ( 0.0) |  31,  0 ( 0.0) |  16,  2 ( 2.9) |  70
   ↳ Disorder of pulmonary circulation,   5 ( 4.3) |  117,  1 ( 3.2) |  31,  1 ( 6.2) |  16,  3 ( 4.3) |  70
   ↳ Heart valve disorder,   1 ( 0.9) |  117,  0 ( 0.0) |  31,  1 ( 6.2) |  16,  0 ( 0.0) |  70
