Variable,All,Discharged,Death,Censored
   ↳ 2-5 L/min,167 (25.0) | 669,50 (27.3) | 183,16 (27.1) | 59,101 (23.7) | 427
   ↳ 6-10 L/min,116 (17.3) | 669,29 (15.8) | 183,10 (16.9) | 59,77 (18.0) | 427
   ↳ 11-15 L/min,78 (11.7) | 669,25 (13.7) | 183,8 (13.6) | 59,45 (10.5) | 427
   ↳ >15 L/min,110 (16.4) | 669,28 (15.3) | 183,11 (18.6) | 59,71 (16.6) | 427
<b>Nasal prongs</b> (*),39 (6.3) | 615,9 (5.5) | 165,3 (5.7) | 53,27 (6.8) | 397
<b>Number of calendar days the patient received supplemental oxygen through nasal prongs</b> (+),48.6 (17.5-72.5) | 39,37.1 (17.6-65.9) | 9,64.5 (50.8-75.1) | 3,48.6 (17.3-72.5) | 27
<b>Face mask</b> (*),512 (89.0) | 575,133 (87.5) | 152,47 (94.0) | 50,332 (89.0) | 373
<b>Number of calendar days the patient received supplemental oxygen through face mask</b> (+),49.2 (23.6-74.8) | 491,50.4 (25.8-78.8) | 127,54.7 (31.6-70.2) | 45,46.6 (22.4-74.1) | 319
<b>High flow nasal oxygen</b> (*),342 (57.2) | 598,92 (56.1) | 164,22 (50.0) | 44,228 (58.5) | 390
<b>Number of calendar days the patient received high-flow nasal oxygen</b> (+),57.4 (28.6-79.3) | 318,60.6 (34.1-79.8) | 85,63.1 (37.0-82.5) | 20,55.8 (27.7-78.6) | 213
<b>Non-invasive ventilation</b> (*),180 (32.5) | 553,47 (30.7) | 153,12 (25.0) | 48,121 (34.4) | 352
<b>Type of non-invasive respiratory support</b> (*),,,,
   ↳ BIPAP,42 (40.8) | 103,8 (34.8) | 23,2 (33.3) | 6,32 (43.2) | 74
   ↳ Other,61 (59.2) | 103,15 (65.2) | 23,4 (66.7) | 6,42 (56.8) | 74
<b>Number of calendar days the patient received non-invasive ventilation</b> (+),44.2 (23.2-75.1) | 172,51.8 (25.1-77.0) | 46,37.7 (10.9-53.3) | 11,43.7 (23.6-77.3) | 115
<b>Invasive ventilation</b> (*),254 (41.6) | 610,65 (40.9) | 159,19 (37.3) | 51,170 (42.5) | 400
<b>Number of calendar days the patient received invasive ventilation</b> (+),48.1 (25.2-77.0) | 235,53.1 (29.5-81.3) | 62,37.4 (24.8-48.0) | 17,49.2 (23.9-78.0) | 156
<b>ECLS / ECMO</b> (*),404 (65.9) | 613,114 (66.3) | 172,35 (64.8) | 54,255 (65.9) | 387
<b>Type of ECLS / ECMO</b> (*),,,,
   ↳ Veno-venous (VV),156 (48.8) | 320,46 (50.5) | 91,10 (37.0) | 27,100 (49.5) | 202
   ↳ Veno-arterial (VA),164 (51.2) | 320,45 (49.5) | 91,17 (63.0) | 27,102 (50.5) | 202
<b>Number of calendar days the patient received ECLS / ECMO</b> (+),47.2 (22.4-71.8) | 384,51.4 (26.3-72.2) | 106,37.1 (18.9-73.2) | 35,46.7 (22.8-71.6) | 243
<b>Prone positioning</b> (*),436 (65.7) | 664,117 (64.3) | 182,39 (75.0) | 52,280 (65.1) | 430
<b>When was the prone positioning?</b> (*),,,,
   ↳ During invasive ventilation,220 (69.2) | 318,63 (73.3) | 86,20 (64.5) | 31,137 (68.2) | 201
   ↳ Whilst self-ventilating,98 (30.8) | 318,23 (26.7) | 86,11 (35.5) | 31,64 (31.8) | 201
<b>Other respiratory support intervention(s) or procedure(s)</b> (*),17 (3.0) | 566,2 (1.3) | 159,0 (0.0) | 50,15 (4.2) | 357
