Variable,All,Discharged,Death,Censored
   ↳ Sick or dead animal,233 (33.2) | 702,119 (32.4) | 367,25 (32.5) | 77,89 (34.5) | 258
   ↳ Unknown,237 (33.8) | 702,117 (31.9) | 367,30 (39.0) | 77,90 (34.9) | 258
   ↳ Other,230 (32.8) | 702,118 (32.2) | 367,28 (36.4) | 77,84 (32.6) | 258
<b>Contact with or consumption of unpasteurised milk or raw dairy products</b> (*),264 (37.8) | 698,136 (36.8) | 370,30 (38.5) | 78,98 (39.2) | 250
"<b>Visit to live animal market, farm or zoo</b> (*)",131 (16.4) | 798,68 (16.6) | 410,14 (15.4) | 91,49 (16.5) | 297
<b>Participated in animal surgery or necropsy</b> (*),191 (24.1) | 793,97 (23.5) | 412,26 (28.3) | 92,68 (23.5) | 289
<b>Other animal contact not listed above </b> (*),574 (70.0) | 820,299 (69.2) | 432,61 (67.0) | 91,214 (72.1) | 297
<b>Specify type of contact</b>,,,,
   ↳ Hunting,269 (33.9) | 794,141 (33.8) | 417,34 (38.6) | 88,94 (32.5) | 289
   ↳ Preparing,281 (35.4) | 794,157 (37.6) | 417,27 (30.7) | 88,97 (33.6) | 289
   ↳ Handling,279 (35.1) | 794,143 (34.3) | 417,27 (30.7) | 88,109 (37.7) | 289
   ↳ Consumption (unprocessed / undercooked / raw),283 (35.6) | 794,140 (33.6) | 417,34 (38.6) | 88,109 (37.7) | 289
   ↳ Trading,279 (35.1) | 794,148 (35.5) | 417,30 (34.1) | 88,101 (34.9) | 289
   ↳ Animal faeces or nests,273 (34.4) | 794,147 (35.3) | 417,35 (39.8) | 88,91 (31.5) | 289
   ↳ Sick or dead animal,280 (35.3) | 794,144 (34.5) | 417,29 (33.0) | 88,107 (37.0) | 289
   ↳ Unknown,258 (32.5) | 794,132 (31.7) | 417,28 (31.8) | 88,98 (33.9) | 289
   ↳ Other,287 (36.1) | 794,147 (35.3) | 417,33 (37.5) | 88,107 (37.0) | 289
<b><i>MEDICATION PRIOR TO THIS ADMISSION / PRESENTATION</i></b>,,,,
<b>Antiviral</b> (*),199 (23.2) | 858,111 (24.2) | 459,23 (23.0) | 100,65 (21.7) | 299
<b>Antiviral</b>,,,,
   ↳ Baloxavir marboxil (Xofluza)â,94 (11.1) | 848,55 (12.2) | 452,11 (11.2) | 98,28 (9.4) | 298
   ↳ Favipiravir (Avigan),81 (9.6) | 848,42 (9.3) | 452,13 (13.3) | 98,26 (8.7) | 298
   ↳ Laninamivir,98 (11.6) | 848,49 (10.8) | 452,13 (13.3) | 98,36 (12.1) | 298
   ↳ Oseltamivir (Tamiflu),100 (11.8) | 848,56 (12.4) | 452,11 (11.2) | 98,33 (11.1) | 298
   ↳ Peramivir,96 (11.3) | 848,56 (12.4) | 452,12 (12.2) | 98,28 (9.4) | 298
   ↳ Umifenovir (Arbidol),87 (10.3) | 848,40 (8.8) | 452,13 (13.3) | 98,34 (11.4) | 298
   ↳ Zanamivir (Relenza),91 (10.7) | 848,54 (11.9) | 452,9 (9.2) | 98,28 (9.4) | 298
   ↳ Other,92 (10.8) | 848,52 (11.5) | 452,11 (11.2) | 98,29 (9.7) | 298
<b>Antiviral administration route</b>,,,,
   ↳ Oral,96 (11.3) | 852,52 (11.3) | 459,13 (13.3) | 98,31 (10.5) | 295
   ↳ Inhaled,99 (11.6) | 852,62 (13.5) | 459,10 (10.2) | 98,27 (9.2) | 295
   ↳ IV,101 (11.9) | 852,54 (11.8) | 459,13 (13.3) | 98,34 (11.5) | 295
   ↳ Topical,106 (12.4) | 852,62 (13.5) | 459,9 (9.2) | 98,35 (11.9) | 295
   ↳ Unknown,108 (12.7) | 852,62 (13.5) | 459,9 (9.2) | 98,37 (12.5) | 295
<b>Number of days antivirals taken</b> (+),51.2 (25.9-71.9) | 192,51.7 (33.2-71.9) | 109,58.8 (29.8-67.3) | 20,41.3 (23.0-74.8) | 63
<b>Corticosteroid</b> (*),127 (14.0) | 907,74 (15.5) | 477,18 (18.0) | 100,35 (10.6) | 330
<b>Corticosteroid</b>,,,,
   ↳ Cortisone (Cortone),60 (6.7) | 896,30 (6.4) | 471,12 (12.1) | 99,18 (5.5) | 326
   ↳ Other,58 (6.5) | 896,33 (7.0) | 471,5 (5.1) | 99,20 (6.1) | 326
<b>Corticosteroid administration route</b>,,,,
   ↳ Oral,53 (5.9) | 899,31 (6.6) | 472,4 (4.1) | 98,18 (5.5) | 329
   ↳ Inhaled,49 (5.5) | 899,23 (4.9) | 472,9 (9.2) | 98,17 (5.2) | 329
   ↳ IV,66 (7.3) | 899,44 (9.3) | 472,7 (7.1) | 98,15 (4.6) | 329
   ↳ Unknown,48 (5.3) | 899,26 (5.5) | 472,8 (8.2) | 98,14 (4.3) | 329
<b>Number of days corticosteroid taken</b> (+),49.3 (22.9-73.4) | 125,52.3 (20.5-76.5) | 74,35.5 (26.9-59.0) | 17,54.0 (29.1-73.2) | 34
<b>Immunosuppressant agents (not corticosteroids)</b> (*),736 (86.1) | 855,381 (85.8) | 444,86 (85.1) | 101,269 (86.8) | 310
<b>Immunosuppressant agents (not corticosteroids)</b>,,,,
   ↳ Other,353 (43.4) | 814,188 (44.3) | 424,42 (44.7) | 94,123 (41.6) | 296
<b>Antibiotics</b> (*),522 (60.4) | 864,272 (59.5) | 457,60 (61.2) | 98,190 (61.5) | 309
<b>Antibiotics</b>,,,,
"   ↳ Azithromycin (Sumamed, Zithromax, Zmax)",243 (29.1) | 836,138 (30.9) | 446,25 (26.0) | 96,80 (27.2) | 294
"   ↳ Ceftriaxone (Rocephin, Wintriaxone)",253 (30.3) | 836,129 (28.9) | 446,29 (30.2) | 96,95 (32.3) | 294
"   ↳ Levofloxacin (Levaquin, Levxin, Tavanic)",242 (28.9) | 836,133 (29.8) | 446,26 (27.1) | 96,83 (28.2) | 294
   ↳ Other,242 (28.9) | 836,135 (30.3) | 446,27 (28.1) | 96,80 (27.2) | 294
<b>NSAIDs</b> (*),522 (66.2) | 789,266 (64.7) | 411,63 (74.1) | 85,193 (65.9) | 293
<b>NSAIDs</b>,,,,
   ↳ Other,265 (34.5) | 769,140 (35.0) | 400,23 (27.4) | 84,102 (35.8) | 285
<b><i>SYMPTOMS ON ADMISSION</i></b>,,,,
<b>Fever</b> (*),427 (50.4) | 847,232 (50.8) | 457,50 (53.2) | 94,145 (49.0) | 296
<b>Fatigue / malaise / lethargy</b> (*),305 (36.1) | 846,166 (37.2) | 446,33 (33.7) | 98,106 (35.1) | 302
<b>Loss of smell / anosmia</b> (*),776 (90.3) | 859,427 (92.2) | 463,90 (90.0) | 100,259 (87.5) | 296
<b>Loss of taste / ageusia</b> (*),615 (78.8) | 780,309 (76.5) | 404,68 (79.1) | 86,238 (82.1) | 290
<b>Feeling dizzy / faint</b> (*),263 (28.6) | 918,142 (29.2) | 487,29 (27.6) | 105,92 (28.2) | 326
<b>Muscle aches / myalgia</b> (*),802 (90.7) | 884,421 (90.3) | 466,88 (88.0) | 100,293 (92.1) | 318
<b>Joint pain / arthralgia</b> (*),319 (38.6) | 826,161 (37.2) | 433,43 (44.8) | 96,115 (38.7) | 297
<b>Skin rash</b> (*),706 (86.0) | 821,370 (84.9) | 436,78 (88.6) | 88,258 (86.9) | 297
<b>Site where rash first occurred</b>,,,,
"   ↳ Skin, genital",364 (46.0) | 791,186 (44.3) | 420,36 (42.9) | 84,142 (49.5) | 287
"   ↳ Skin, non-genital",350 (44.2) | 791,178 (42.4) | 420,39 (46.4) | 84,133 (46.3) | 287
"   ↳ Mucosa, genital",336 (42.5) | 791,175 (41.7) | 420,30 (35.7) | 84,131 (45.6) | 287
"   ↳ Mucosa, non-genital",342 (43.2) | 791,180 (42.9) | 420,39 (46.4) | 84,123 (42.9) | 287
   ↳ Mouth,339 (42.9) | 791,173 (41.2) | 420,38 (45.2) | 84,128 (44.6) | 287
   ↳ Perianal skin,342 (43.2) | 791,193 (46.0) | 420,35 (41.7) | 84,114 (39.7) | 287
   ↳ Rectum,333 (42.1) | 791,184 (43.8) | 420,26 (31.0) | 84,123 (42.9) | 287
   ↳ Unknown,358 (45.3) | 791,195 (46.4) | 420,35 (41.7) | 84,128 (44.6) | 287
   ↳ Other,327 (41.3) | 791,168 (40.0) | 420,34 (40.5) | 84,125 (43.6) | 287
<b>Itch / pruritus</b> (*),872 (94.2) | 926,463 (93.9) | 493,97 (93.3) | 104,312 (94.8) | 329
<b>Change in mobility from baseline</b> (*),157 (19.8) | 792,93 (21.6) | 430,14 (16.1) | 87,50 (18.2) | 275
<b>Mobility status</b> (*),,,,
   ↳ Fully ambulant,43 (4.5) | 947,22 (4.4) | 505,6 (5.6) | 108,15 (4.5) | 334
"   ↳ Ambulant, but with some assistance",660 (69.7) | 947,352 (69.7) | 505,78 (72.2) | 108,230 (68.9) | 334
   ↳ Bedridden,244 (25.8) | 947,131 (25.9) | 505,24 (22.2) | 108,89 (26.6) | 334
<b>Cough</b> (*),325 (36.2) | 897,163 (34.1) | 478,44 (42.3) | 104,118 (37.5) | 315
<b>Cough type</b> (*),,,,
   ↳ Non Productive,4 (1.6) | 251,0 (0.0) | 127,1 (3.2) | 31,3 (3.2) | 93
   ↳ Productive,145 (57.8) | 251,73 (57.5) | 127,16 (51.6) | 31,56 (60.2) | 93
   ↳ Haemoptysis,102 (40.6) | 251,54 (42.5) | 127,14 (45.2) | 31,34 (36.6) | 93
<b>Sore throat</b> (*),132 (16.0) | 826,64 (14.8) | 432,14 (15.1) | 93,54 (17.9) | 301
<b>Runny nose / rhinorrhoea</b> (*),745 (89.0) | 837,389 (88.8) | 438,88 (87.1) | 101,268 (89.9) | 298
<b>Wheezing</b> (*),602 (67.9) | 887,332 (69.5) | 478,57 (60.6) | 94,213 (67.6) | 315
<b>Shortness of breath </b> (*),650 (82.9) | 784,348 (83.3) | 418,67 (79.8) | 84,235 (83.3) | 282
<b>Chest pain</b> (*),41 (5.1) | 807,25 (5.8) | 431,5 (5.6) | 89,11 (3.8) | 287
<b>Palpitations</b> (*),166 (19.9) | 835,99 (22.6) | 439,13 (13.8) | 94,54 (17.9) | 302
<b>Abdominal pain</b> (*),531 (59.0) | 900,284 (59.5) | 477,52 (52.0) | 100,195 (60.4) | 323
<b>Diarrhoea</b> (*),68 (8.8) | 775,35 (8.7) | 402,9 (9.9) | 91,24 (8.5) | 282
<b>Vomiting</b> (*),679 (75.5) | 899,374 (78.1) | 479,76 (73.8) | 103,229 (72.2) | 317
<b>Persistent vomiting? (>=2/day)</b> (*),20 (3.6) | 548,13 (4.4) | 298,1 (1.6) | 62,6 (3.2) | 188
<b>Nausea</b> (*),216 (24.6) | 877,115 (24.9) | 461,25 (24.8) | 101,76 (24.1) | 315
<b>Anorexia</b> (*),90 (10.3) | 877,52 (11.2) | 466,10 (10.1) | 99,28 (9.0) | 312
<b>Bleeding / haemorrhage</b> (*),800 (91.0) | 879,426 (91.2) | 467,89 (89.9) | 99,285 (91.1) | 313
<b>Severe bleeding / haemorrhage (requires intervention)</b> (*),59 (8.2) | 719,32 (8.5) | 376,7 (8.6) | 81,20 (7.6) | 262
<b>Specify bleeding / haemorrhage site(s)</b>,,,,
   ↳ Skin,382 (45.8) | 834,210 (47.0) | 447,38 (40.0) | 95,134 (45.9) | 292
   ↳ Petechiae,388 (46.5) | 834,210 (47.0) | 447,33 (34.7) | 95,145 (49.7) | 292
   ↳ Nose,385 (46.2) | 834,214 (47.9) | 447,39 (41.1) | 95,132 (45.2) | 292
   ↳ Gums,386 (46.3) | 834,212 (47.4) | 447,40 (42.1) | 95,134 (45.9) | 292
   ↳ GI tract,379 (45.4) | 834,206 (46.1) | 447,45 (47.4) | 95,128 (43.8) | 292
   ↳ Urinary tract,373 (44.7) | 834,189 (42.3) | 447,45 (47.4) | 95,139 (47.6) | 292
   ↳ Vagina,385 (46.2) | 834,196 (43.8) | 447,44 (46.3) | 95,145 (49.7) | 292
   ↳ Unknown,374 (44.8) | 834,201 (45.0) | 447,39 (41.1) | 95,134 (45.9) | 292
   ↳ Other(s),371 (44.5) | 834,203 (45.4) | 447,44 (46.3) | 95,124 (42.5) | 292
<b>Headache</b> (*),72 (9.6) | 751,42 (10.9) | 387,5 (5.6) | 89,25 (9.1) | 275
<b>Seizures / convulsions</b> (*),195 (24.9) | 782,108 (25.4) | 426,26 (28.6) | 91,61 (23.0) | 265
<b>Altered consciousness / confusion</b> (*),591 (76.3) | 775,305 (73.7) | 414,77 (81.9) | 94,209 (78.3) | 267
<b>Itching of eye(s)</b> (*),556 (59.6) | 933,293 (59.3) | 494,67 (61.5) | 109,196 (59.4) | 330
<b>Red / Pink eye(s)</b> (*),675 (82.9) | 814,346 (81.6) | 424,78 (79.6) | 98,251 (86.0) | 292
<b>Pain in eye(s)</b> (*),411 (47.4) | 867,224 (49.2) | 455,47 (47.0) | 100,140 (44.9) | 312
<b>Oedema of eyelid(s)</b> (*),403 (47.3) | 852,221 (47.6) | 464,44 (46.3) | 95,138 (47.1) | 293
<b>Discharge from eye(s)</b> (*),332 (40.6) | 817,182 (42.0) | 433,37 (38.5) | 96,113 (39.2) | 288
<b>Hazy / Blurred vision</b> (*),268 (31.3) | 855,129 (28.5) | 453,29 (31.2) | 93,110 (35.6) | 309
<b>Sensitivity of eye to light</b> (*),720 (76.2) | 945,370 (74.3) | 498,88 (80.7) | 109,262 (77.5) | 338
<b>Other  symptom(s)</b> (*),,,,
   ↳ Malaise and fatigue,25 (100.0) | 25,14 (100.0) | 14,N/A,11 (100.0) | 11
   ↳ Skin lesion,28 (100.0) | 28,17 (100.0) | 17,2 (100.0) | 2,9 (100.0) | 9
   ↳ Bruising (Spontaneous ecchymoses),18 (100.0) | 18,11 (100.0) | 11,1 (100.0) | 1,6 (100.0) | 6
   ↳ Keratitis,20 (100.0) | 20,11 (100.0) | 11,3 (100.0) | 3,6 (100.0) | 6
   ↳ Joint pain (Arthralgia),22 (100.0) | 22,14 (100.0) | 14,2 (100.0) | 2,6 (100.0) | 6
   ↳ Cognitive impairment (Unspecified intellectual disabilities),27 (100.0) | 27,15 (100.0) | 15,2 (100.0) | 2,10 (100.0) | 10
   ↳ Convulsions,22 (100.0) | 22,9 (100.0) | 9,1 (100.0) | 1,12 (100.0) | 12
   ↳ Hepatomegaly,11 (100.0) | 11,6 (100.0) | 6,2 (100.0) | 2,3 (100.0) | 3
   ↳ Mucosal lesion,16 (100.0) | 16,5 (100.0) | 5,3 (100.0) | 3,8 (100.0) | 8
   ↳ Fainting / blackouts (Syncope and collapse),23 (100.0) | 23,12 (100.0) | 12,2 (100.0) | 2,9 (100.0) | 9
   ↳ Disturbance in attention (Altered mental status),13 (100.0) | 13,6 (100.0) | 6,2 (100.0) | 2,5 (100.0) | 5
   ↳ Anorexia,11 (100.0) | 11,3 (100.0) | 3,2 (100.0) | 2,6 (100.0) | 6
   ↳ Ascites,13 (100.0) | 13,5 (100.0) | 5,1 (100.0) | 1,7 (100.0) | 7
   ↳ Mouth ulcers (Recurrent oral aphthae),17 (100.0) | 17,8 (100.0) | 8,3 (100.0) | 3,6 (100.0) | 6
   ↳ Chills (without fever),9 (100.0) | 9,7 (100.0) | 7,N/A,2 (100.0) | 2
   ↳ Swollen lymph nodes (Enlarged lymph nodes),20 (100.0) | 20,9 (100.0) | 9,4 (100.0) | 4,7 (100.0) | 7
   ↳ Chest pain on breathing,10 (100.0) | 10,6 (100.0) | 6,1 (100.0) | 1,3 (100.0) | 3
   ↳ Chest pain,14 (100.0) | 14,7 (100.0) | 7,5 (100.0) | 5,2 (100.0) | 2
   ↳ Gastrointestinal bleeding (Gastrointestinal hemorrhage),18 (100.0) | 18,9 (100.0) | 9,N/A,9 (100.0) | 9
   ↳ Difficulty eating or drinking (Dysphagia),24 (100.0) | 24,11 (100.0) | 11,2 (100.0) | 2,11 (100.0) | 11
   ↳ Spontaneous bruising (Spontaneous ecchymoses),14 (100.0) | 14,8 (100.0) | 8,1 (100.0) | 1,5 (100.0) | 5
   ↳ Fever,11 (100.0) | 11,6 (100.0) | 6,N/A,5 (100.0) | 5
   ↳ Can't feel one side of the body or face (Hemiplegia),13 (100.0) | 13,6 (100.0) | 6,1 (100.0) | 1,6 (100.0) | 6
   ↳ Cardiac arrhythmia,16 (100.0) | 16,6 (100.0) | 6,5 (100.0) | 5,5 (100.0) | 5
   ↳ Feeding difficulty,20 (100.0) | 20,8 (100.0) | 8,3 (100.0) | 3,9 (100.0) | 9
   ↳ Alopecia (Nonscarring hair loss),16 (100.0) | 16,9 (100.0) | 9,1 (100.0) | 1,6 (100.0) | 6
   ↳ Skin rash,14 (100.0) | 14,8 (100.0) | 8,2 (100.0) | 2,4 (100.0) | 4
   ↳ Changes in skin texture,28 (100.0) | 28,15 (100.0) | 15,5 (100.0) | 5,8 (100.0) | 8
   ↳ Sleep disorder,17 (100.0) | 17,9 (100.0) | 9,5 (100.0) | 5,3 (100.0) | 3
   ↳ Bleeding (Haemorrhage),21 (100.0) | 21,9 (100.0) | 9,1 (100.0) | 1,11 (100.0) | 11
   ↳ Changes in menstruation (Irregular menstruation),33 (100.0) | 33,18 (100.0) | 18,5 (100.0) | 5,10 (100.0) | 10
   ↳ Loss of taste (Parageusia),10 (100.0) | 10,5 (100.0) | 5,2 (100.0) | 2,3 (100.0) | 3
   ↳ Constipation,24 (100.0) | 24,9 (100.0) | 9,6 (100.0) | 6,9 (100.0) | 9
   ↳ Tremor,14 (100.0) | 14,8 (100.0) | 8,2 (100.0) | 2,4 (100.0) | 4
   ↳ Pallor,19 (100.0) | 19,8 (100.0) | 8,4 (100.0) | 4,7 (100.0) | 7
   ↳ Dry skin (Xerosis cutis),16 (100.0) | 16,8 (100.0) | 8,3 (100.0) | 3,5 (100.0) | 5
   ↳ Fecal incontinence,26 (100.0) | 26,16 (100.0) | 16,3 (100.0) | 3,7 (100.0) | 7
   ↳ Limb weakness / paralysis (Monoplegia),13 (100.0) | 13,10 (100.0) | 10,1 (100.0) | 1,2 (100.0) | 2
   ↳ Loss of appetite (Anorexia),12 (100.0) | 12,7 (100.0) | 7,2 (100.0) | 2,3 (100.0) | 3
   ↳ Apnoea,7 (100.0) | 7,4 (100.0) | 4,2 (100.0) | 2,1 (100.0) | 1
   ↳ Increased thirst (Polydipsia),22 (100.0) | 22,14 (100.0) | 14,3 (100.0) | 3,5 (100.0) | 5
   ↳ Jaundice,16 (100.0) | 16,8 (100.0) | 8,2 (100.0) | 2,6 (100.0) | 6
   ↳ Speech disturbances,13 (100.0) | 13,4 (100.0) | 4,1 (100.0) | 1,8 (100.0) | 8
   ↳ Palpitations,10 (100.0) | 10,4 (100.0) | 4,N/A,6 (100.0) | 6
   ↳ Pain during urination (Dysuria),14 (100.0) | 14,5 (100.0) | 5,3 (100.0) | 3,6 (100.0) | 6
   ↳ Sore throat (Pain in throat),18 (100.0) | 18,11 (100.0) | 11,3 (100.0) | 3,4 (100.0) | 4
   ↳ Shortness of breath (Dyspnea),34 (100.0) | 34,19 (100.0) | 19,5 (100.0) | 5,10 (100.0) | 10
   ↳ Disorders of nose and nasal sinuses,14 (100.0) | 14,6 (100.0) | 6,N/A,8 (100.0) | 8
   ↳ Sweating (hyperhidrosis),18 (100.0) | 18,9 (100.0) | 9,2 (100.0) | 2,7 (100.0) | 7
   ↳ Irritability,16 (100.0) | 16,10 (100.0) | 10,2 (100.0) | 2,4 (100.0) | 4
   ↳ Paresthesia of skin,17 (100.0) | 17,11 (100.0) | 11,2 (100.0) | 2,4 (100.0) | 4
   ↳ Erectile dysfunction,10 (100.0) | 10,7 (100.0) | 7,1 (100.0) | 1,2 (100.0) | 2
   ↳ Can't fully move or control movement (Paralytic syndrome),23 (100.0) | 23,11 (100.0) | 11,3 (100.0) | 3,9 (100.0) | 9
   ↳ Abnormal weight loss,14 (100.0) | 14,9 (100.0) | 9,1 (100.0) | 1,4 (100.0) | 4
   ↳ Cough,13 (100.0) | 13,5 (100.0) | 5,3 (100.0) | 3,5 (100.0) | 5
   ↳ Diarrhea,20 (100.0) | 20,12 (100.0) | 12,4 (100.0) | 4,4 (100.0) | 4
   ↳ Rashes or skin lesions,14 (100.0) | 14,6 (100.0) | 6,1 (100.0) | 1,7 (100.0) | 7
   ↳ Increased urination (polyuria),9 (100.0) | 9,6 (100.0) | 6,N/A,3 (100.0) | 3
   ↳ Lymphadenitis,10 (100.0) | 10,7 (100.0) | 7,N/A,3 (100.0) | 3
   ↳ Rapid heart beat/Pulse (Tachycardia),12 (100.0) | 12,7 (100.0) | 7,N/A,5 (100.0) | 5
   ↳ Muscle weakness,16 (100.0) | 16,6 (100.0) | 6,3 (100.0) | 3,7 (100.0) | 7
   ↳ Ear pain (Otalgia),14 (100.0) | 14,6 (100.0) | 6,1 (100.0) | 1,7 (100.0) | 7
   ↳ Muscle aches (Myalgia),13 (100.0) | 13,8 (100.0) | 8,N/A,5 (100.0) | 5
   ↳ Loss of smell (Anosmia),12 (100.0) | 12,5 (100.0) | 5,1 (100.0) | 1,6 (100.0) | 6
   ↳ Nasal congestion,11 (100.0) | 11,8 (100.0) | 8,1 (100.0) | 1,2 (100.0) | 2
