Variable,All,Discharged,Death,Censored
<b>Pancreatitis</b> (*), 334 (52.5) |  636, 95 (54.9) | 173, 98 (54.4) | 180,141 (49.8) | 283
<b>Acute hepatitis</b> (*), 311 (48.6) |  640, 81 (49.7) | 163, 80 (45.7) | 175,150 (49.7) | 302
<b>Severe liver disease (new onset)</b> (*), 322 (52.9) |  609, 84 (52.8) | 159, 74 (46.0) | 161,164 (56.7) | 289
<b>Hepatic encephalopathy (any grade)</b> (*),  91 (46.2) |  197, 24 (48.0) |  50, 20 (48.8) |  41, 47 (44.3) | 106
<b>Jaundice</b> (*), 108 (53.7) |  201, 28 (56.0) |  50, 24 (53.3) |  45, 56 (52.8) | 106
<b>Thromboembolism</b> (*), 333 (52.8) |  631, 80 (47.9) | 167, 91 (53.5) | 170,162 (55.1) | 294
<b>Anaemia</b> (*), 302 (48.3) |  625, 76 (45.8) | 166, 86 (49.4) | 174,140 (49.1) | 285
<b>Severe bleeding (requiring intervention)</b> (*), 348 (54.5) |  638, 83 (52.5) | 158, 87 (49.7) | 175,178 (58.4) | 305
<b>Coagulation disorder / DIC</b> (*), 299 (47.5) |  629, 86 (55.1) | 156, 78 (45.6) | 171,135 (44.7) | 302
<b>Acute renal injury / acute renal failure</b> (*), 310 (48.6) |  638, 83 (48.0) | 173, 84 (51.2) | 164,143 (47.5) | 301
<b>Rhabdomyolysis</b> (*), 303 (47.9) |  633, 68 (40.0) | 170, 83 (47.7) | 174,152 (52.6) | 289
<b>Myositis</b> (*), 323 (50.6) |  638, 75 (43.9) | 171, 96 (56.5) | 170,152 (51.2) | 297
<b>Cellulitis</b> (*), 320 (52.9) |  605, 84 (57.1) | 147, 87 (55.8) | 156,149 (49.3) | 302
<b>Site(s) of cellulitis</b>,,,,
   ↳ Skin, 157 (26.5) |  593, 44 (30.1) | 146, 45 (29.8) | 151, 68 (23.0) | 296
   ↳ Nose, 156 (26.3) |  593, 37 (25.3) | 146, 39 (25.8) | 151, 80 (27.0) | 296
   ↳ Gums, 147 (24.8) |  593, 37 (25.3) | 146, 42 (27.8) | 151, 68 (23.0) | 296
   ↳ GI tract, 146 (24.6) |  593, 41 (28.1) | 146, 37 (24.5) | 151, 68 (23.0) | 296
   ↳ Urinary tract, 147 (24.8) |  593, 36 (24.7) | 146, 37 (24.5) | 151, 74 (25.0) | 296
   ↳ Vagina, 155 (26.1) |  593, 35 (24.0) | 146, 39 (25.8) | 151, 81 (27.4) | 296
   ↳ Other, 159 (26.8) |  593, 53 (36.3) | 146, 46 (30.5) | 151, 60 (20.3) | 296
   ↳ Unknown, 156 (26.3) |  593, 38 (26.0) | 146, 38 (25.2) | 151, 80 (27.0) | 296
<b>Skin tissue loss or eschar</b> (*), 292 (47.0) |  621, 76 (48.4) | 157, 86 (47.8) | 180,130 (45.8) | 284
<b>Bacteraemia</b> (*), 300 (48.9) |  614, 78 (48.8) | 160, 81 (47.4) | 171,141 (49.8) | 283
<b>Hypoglycaemia</b> (*), 345 (54.3) |  635, 98 (59.4) | 165, 87 (49.2) | 177,160 (54.6) | 293
<b>Sepsis</b> (*), 322 (51.1) |  630, 83 (52.5) | 158, 95 (54.6) | 174,144 (48.3) | 298
<b><i>OUTCOME</i></b>,,,,
<b>Outcome</b> (*),,,,
   ↳ Discharged alive, 136 (14.2) |  957,136 (51.5) | 264,  0 ( 0.0) | 272,  0 ( 0.0) | 421
   ↳ Still hospitalised, 138 (14.4) |  957,  0 ( 0.0) | 264,  0 ( 0.0) | 272,138 (32.8) | 421
   ↳ Transfer to other facility, 156 (16.3) |  957,  0 ( 0.0) | 264,  0 ( 0.0) | 272,156 (37.1) | 421
   ↳ Death, 124 (13.0) |  957,  0 ( 0.0) | 264,124 (45.6) | 272,  0 ( 0.0) | 421
   ↳ Palliative care, 148 (15.5) |  957,  0 ( 0.0) | 264,148 (54.4) | 272,  0 ( 0.0) | 421
   ↳ Discharged against medical advice, 128 (13.4) |  957,128 (48.5) | 264,  0 ( 0.0) | 272,  0 ( 0.0) | 421
"   ↳ Alive, not admitted", 127 (13.3) |  957,  0 ( 0.0) | 264,  0 ( 0.0) | 272,127 (30.2) | 421
<b>Ability to self-care at discharge versus before illness</b> (*),,,,
   ↳ Same as before illness,  40 (44.4) |   90, 40 (44.4) |  90,N/A,N/A
   ↳ Worse,  21 (23.3) |   90, 21 (23.3) |  90,N/A,N/A
   ↳ Better,  29 (32.2) |   90, 29 (32.2) |  90,N/A,N/A
<b>Ongoing health care needs relating to this admission for pathogen of interest</b> (*),  81 (51.6) |  157, 48 (58.5) |  82,N/A, 33 (44.0) |  75
<b>Medically fit for discharge (pathogen resolved) but remains in hospital for other reason (e.g. ...</b> (*),  92 (51.4) |  179,N/A,N/A, 92 (51.4) | 179
