field_name,form_name,field_type,field_label,parent,branching_logic
pres_firstsym_otherl2___Pain during urination (Dysuria),presentation,binary,Pain during urination (Dysuria),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Pallor,presentation,binary,Pallor,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Palpitations,presentation,binary,Palpitations,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Paresthesia of skin,presentation,binary,Paresthesia of skin,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Problems swallowing or chewing (Dysphagia),presentation,binary,Problems swallowing or chewing (Dysphagia),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Pruritus,presentation,binary,Pruritus,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Rapid heart beat/Pulse (Tachycardia),presentation,binary,Rapid heart beat/Pulse (Tachycardia),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Rashes or skin lesions,presentation,binary,Rashes or skin lesions,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Retention of urine,presentation,binary,Retention of urine,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Shortness of breath (Dyspnea),presentation,binary,Shortness of breath (Dyspnea),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Skin rash,presentation,binary,Skin rash,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Sleep disorder,presentation,binary,Sleep disorder,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Sneezing,presentation,binary,Sneezing,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Sore throat (Pain in throat),presentation,binary,Sore throat (Pain in throat),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Speech disturbances,presentation,binary,Speech disturbances,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Spontaneous bruising (Spontaneous ecchymoses),presentation,binary,Spontaneous bruising (Spontaneous ecchymoses),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Sweating (hyperhidrosis),presentation,binary,Sweating (hyperhidrosis),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Swollen lymph nodes (Enlarged lymph nodes),presentation,binary,Swollen lymph nodes (Enlarged lymph nodes),pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Tinnitus,presentation,binary,Tinnitus,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Tremor,presentation,binary,Tremor,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Urinary incontinence,presentation,binary,Urinary incontinence,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Visual disturbances,presentation,binary,Visual disturbances,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Wheezing,presentation,binary,Wheezing,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl2___Other,presentation,binary,Other,pres_firstsym_otherl2,[pres_firstsym(88)]='1'
pres_firstsym_otherl3,presentation,freetext,Specify other Symptom(s) during first 24 hours of illness (select all that apply),pres,[pres_firstsym_otherl2]='88'
pres_date,presentation,date,Most recent presentation/admission date at this facility,pres,
pres_adm,presentation,binary,Admitted to hospital,pres,
pres_enrolmentdate,presentation,date,Date of enrolment / start of data collection,pres,
readm,presentation,section,RE-ADMISSION AND PREVIOUS PIN,,
readm_prev,presentation,categorical,Was the patient admitted previously or transferred from any other facility during this illness episode?,readm,
readm_prev___YES-admitted previously to this facility and discharged,presentation,binary,YES-admitted previously to this facility and discharged,readm_prev,
readm_prev___YES-admitted to other facility and discharged,presentation,binary,YES-admitted to other facility and discharged,readm_prev,
"readm_prev___YES-admitted to another facility, then transferred to this facility",presentation,binary,"YES-admitted to another facility, then transferred to this facility",readm_prev,
readm_prev___No,presentation,binary,No,readm_prev,
readm_prev_site,presentation,freetext,Name of transfer facility,readm,[readm_prev] = '1' or [readm_prev]='2' or [readm_prev]='3'
readm_prev_num,presentation,numeric,Total number of previous admissions for this infection,readm,[readm_prev] = '1' or [readm_prev]='2' or [readm_prev]='3'
readm_firstadmdate,presentation,date,Date of earliest admission for this infection,readm,[readm_prev] = '1' or [readm_prev]='2' or [readm_prev]='3'
readm_difpin,presentation,binary,Has the patient's data been previously collected under a different participant identification number (PIN)? ,readm,
readm_prevpin,presentation,freetext,Previous Participant Identification Number (PIN),readm,[readm_difpin] = '1'
demog,presentation,section,DEMOGRAPHICS,,
demog_sex,presentation,categorical,Sex at birth,demog,
demog_sex___Male,presentation,binary,Male,demog_sex,
demog_sex___Female,presentation,binary,Female,demog_sex,
demog_sex___Not specified/Unknown,presentation,binary,Not specified/Unknown,demog_sex,
demog_sex___Other,presentation,binary,Other,demog_sex,
demog_sex_oth,presentation,freetext,Specify other sex at birth,demog,[demog_sex]='88'
demog_gender,presentation,categorical,Gender,demog,
demog_gender___Man,presentation,binary,Man,demog_gender,
demog_gender___Woman,presentation,binary,Woman,demog_gender,
demog_gender___Non-binary,presentation,binary,Non-binary,demog_gender,
demog_gender___Other,presentation,binary,Other,demog_gender,
demog_gender_oth,presentation,freetext,Specify other gender,demog,[demog_gender]='88'
demog_birthknow,presentation,binary,Is the date of birth known?,demog,
demog_birthdate,presentation,date,Date of birth,demog,[demog_birthknow]='1'
demog_calcage,presentation,calc,Calculated Age,demog,[demog_birthknow]='1'
demog_age,presentation,numeric,Age,demog,[demog_birthknow]='0'
demog_age_units,presentation,units,Age units,demog,[demog_birthknow]='0'
demog_age_units___Years,presentation,binary,Years,demog_age_units,[demog_birthknow]='0'
demog_age_units___Months,presentation,binary,Months,demog_age_units,[demog_birthknow]='0'
demog_age_units___Days,presentation,binary,Days,demog_age_units,[demog_birthknow]='0'
demog_healthcare,presentation,binary,Employed as a healthcare worker,demog,
demog_healthcare_ptfacing,presentation,binary,Patient facing,demog,[demog_healthcare] = '1'
demog_healthcare_expbiosample,presentation,binary,Exposed to biological samples,demog,[demog_healthcare] = '1'
expo14,presentation,section,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,,
expo14_yn,presentation,binary,History of contact with suspected or confirmed human case of same pathogen?,expo14,
expo14_typecomm,presentation,binary,Community contact ,expo14,[expo14_yn]='1'
expo14_typevert,presentation,binary,Vertical transmission,expo14,[expo14_yn]='1' and (([demog_age] < 12 and [demog_age_units]='2') or [demog_age_units]='3' or [demog_calcage]<1)
expo14_typehcw,presentation,binary,Healthcare worker exposure,expo14,[expo14_yn]='1'
expo14_typesext,presentation,binary,Sexual transmission,expo14,[expo14_yn]='1'
expo14_typefaml,presentation,binary,Family / household contacts,expo14,[expo14_yn]='1'
expo14_typeoth,presentation,binary,Other type of human exposure,expo14,[expo14_yn]='1'
expo14_typeoth_spec,presentation,freetext,Specify other type of human exposure,expo14,[expo14_typeoth]='1'
expo14_date,presentation,date,Date of contact with suspected or confirmed case,expo14,[expo14_yn]='1'
expo14_ancon,presentation,binary,"Any contact with animals, animal homes, meats or other animal products in the last 14 days?",expo14,
expo14_ancon_wildlife,presentation,binary,Contact with wildlife,expo14,[expo14_ancon]='1'
expo14_ancon_wildlife_cttype,presentation,checkbox,Specify type of contact,expo14,[expo14_ancon_wildlife]='1'
expo14_ancon_wildlife_cttype___Hunting,presentation,binary,Hunting,expo14_ancon_wildlife_cttype,[expo14_ancon_wildlife]='1'
expo14_ancon_wildlife_cttype___Preparing,presentation,binary,Preparing,expo14_ancon_wildlife_cttype,[expo14_ancon_wildlife]='1'
expo14_ancon_wildlife_cttype___Handling,presentation,binary,Handling,expo14_ancon_wildlife_cttype,[expo14_ancon_wildlife]='1'
expo14_ancon_wildlife_cttype___Consumption (unprocessed / undercooked / raw),presentation,binary,Consumption (unprocessed / undercooked / raw),expo14_ancon_wildlife_cttype,[expo14_ancon_wildlife]='1'
expo14_ancon_wildlife_cttype___Trading,presentation,binary,Trading,expo14_ancon_wildlife_cttype,[expo14_ancon_wildlife]='1'
expo14_ancon_wildlife_cttype___Animal faeces or nests,presentation,binary,Animal faeces or nests,expo14_ancon_wildlife_cttype,[expo14_ancon_wildlife]='1'
expo14_ancon_wildlife_cttype___Sick or dead animal,presentation,binary,Sick or dead animal,expo14_ancon_wildlife_cttype,[expo14_ancon_wildlife]='1'
expo14_ancon_wildlife_cttype___Unknown,presentation,binary,Unknown,expo14_ancon_wildlife_cttype,[expo14_ancon_wildlife]='1'
expo14_ancon_wildlife_cttype___Other,presentation,binary,Other,expo14_ancon_wildlife_cttype,[expo14_ancon_wildlife]='1'
expo14_ancon_other,presentation,binary,Other animal contact not listed above ,expo14,[expo14_ancon]='1'
expo14_ancon_other_spec,presentation,freetext,Specify animal contacts not listed above,expo14,[expo14_ancon_other]='1'
expo14_ancon_other_cttype,presentation,checkbox,Specify type of contact,expo14,[expo14_ancon_other]='1'
expo14_ancon_other_cttype___Hunting,presentation,binary,Hunting,expo14_ancon_other_cttype,[expo14_ancon_other]='1'
expo14_ancon_other_cttype___Preparing,presentation,binary,Preparing,expo14_ancon_other_cttype,[expo14_ancon_other]='1'
expo14_ancon_other_cttype___Handling,presentation,binary,Handling,expo14_ancon_other_cttype,[expo14_ancon_other]='1'
expo14_ancon_other_cttype___Consumption (unprocessed / undercooked / raw),presentation,binary,Consumption (unprocessed / undercooked / raw),expo14_ancon_other_cttype,[expo14_ancon_other]='1'
expo14_ancon_other_cttype___Trading,presentation,binary,Trading,expo14_ancon_other_cttype,[expo14_ancon_other]='1'
expo14_ancon_other_cttype___Animal faeces or nests,presentation,binary,Animal faeces or nests,expo14_ancon_other_cttype,[expo14_ancon_other]='1'
expo14_ancon_other_cttype___Sick or dead animal,presentation,binary,Sick or dead animal,expo14_ancon_other_cttype,[expo14_ancon_other]='1'
expo14_ancon_other_cttype___Unknown,presentation,binary,Unknown,expo14_ancon_other_cttype,[expo14_ancon_other]='1'
expo14_ancon_other_cttype___Other,presentation,binary,Other,expo14_ancon_other_cttype,[expo14_ancon_other]='1'
comor,presentation,section,CO-MORBIDITIES AND RISK FACTORS,,
comor_cns,presentation,freetext,Neurological comorbidities,comor,
comor_chrneurolo,presentation,binary,Chronic neurological disorder,comor,
comor_cvs,presentation,freetext,Cardiovascular comorbidities,comor,
comor_chrcardiac,presentation,binary,Chronic cardiac disease (not hypertension),comor,
comor_hypertensi,presentation,binary,Hypertension,comor,
comor_resp,presentation,freetext,Respiratory comorbidities,comor,
comor_chrpulmona,presentation,binary,Chronic pulmonary disease (not asthma),comor,
comor_asthma,presentation,binary,Asthma,comor,
comor_git,presentation,freetext,Gastrointestinal comorbidities,comor,
comor_liverdisease,presentation,binary,Liver disease,comor,
comor_liverdisease_type,presentation,categorical,Type of liver disease,comor,[comor_liverdisease]='1'
comor_liverdisease_type___Mild,presentation,binary,Mild,comor_liverdisease_type,[comor_liverdisease]='1'
comor_liverdisease_type___Moderate or severe,presentation,binary,Moderate or severe,comor_liverdisease_type,[comor_liverdisease]='1'
comor_renalgut,presentation,freetext,Renal / Genitourinary comorbidities,comor,
comor_chrkidney,presentation,binary,Chronic kidney disease,comor,
comor_chrkidney_type,presentation,categorical,Stage of chronic kidney disease,comor,[comor_chrkidney]='1'
comor_chrkidney_type___Stage 1,presentation,binary,Stage 1,comor_chrkidney_type,[comor_chrkidney]='1'
comor_chrkidney_type___Stage 2,presentation,binary,Stage 2,comor_chrkidney_type,[comor_chrkidney]='1'
comor_chrkidney_type___Stage 3a,presentation,binary,Stage 3a,comor_chrkidney_type,[comor_chrkidney]='1'
comor_chrkidney_type___Stage 3b,presentation,binary,Stage 3b,comor_chrkidney_type,[comor_chrkidney]='1'
comor_chrkidney_type___Stage 4,presentation,binary,Stage 4,comor_chrkidney_type,[comor_chrkidney]='1'
comor_chrkidney_type___Stage 5,presentation,binary,Stage 5,comor_chrkidney_type,[comor_chrkidney]='1'
comor_inf,presentation,freetext,Infectious comorbidities,comor,
comor_aids,presentation,binary,HIV,comor,
comor_aids_art,presentation,binary,Is the patient on anti-retroviral therapy (ART)?,comor,[comor_aids] = '1'
comor_aids_arttype,presentation,freetext,Specify ART,comor,[comor_aids_art] = '1'
comor_aids_cd4date,presentation,date,If HIV positive: CD4 count date,comor,[comor_aids] = '1'
comor_aids_cd4count,presentation,numeric,If HIV positive: Most recent CD4 count (cells/µL),comor,[comor_aids] = '1'
comor_aids_vrl,presentation,binary,If HIV positive: Is HIV viral load detectable,comor,[comor_aids] = '1'
comor_aids_vrlno,presentation,numeric,Most recent HIV viral load (copies/mL),comor,[comor_aids_vrl] = '1'
comor_tuberculos,presentation,binary,Tuberculosis,comor,
comor_tuberculos_type,presentation,categorical,Specify tuberculosis type,comor,[comor_tuberculos]='1'
comor_tuberculos_type___Active pulmonary,presentation,binary,Active pulmonary,comor_tuberculos_type,[comor_tuberculos]='1'
comor_tuberculos_type___Active extra-pulmonary,presentation,binary,Active extra-pulmonary,comor_tuberculos_type,[comor_tuberculos]='1'
comor_tuberculos_type___Latent,presentation,binary,Latent,comor_tuberculos_type,[comor_tuberculos]='1'
comor_heme,presentation,freetext,Haematological comorbidities,comor,
comor_chrhematol,presentation,binary,Chronic haematologic disease,comor,
comor_sys,presentation,freetext,Systemic / general comorbidities,comor,
comor_rheumatolo,presentation,binary,Rheumatologic disorder,comor,
comor_asplenia,presentation,binary,Asplenia,comor,
comor_obesity,presentation,binary,Obesity,comor,
comor_malnutriti,presentation,binary,Malnutrition,comor,
comor_diabetes,presentation,binary,Diabetes mellitus,comor,
comor_diabetes_type,presentation,categorical,Diabetes mellitus type,comor,[comor_diabetes] = '1'
comor_diabetes_type___Type 1,presentation,binary,Type 1,comor_diabetes_type,[comor_diabetes] = '1'
comor_diabetes_type___Type 2,presentation,binary,Type 2,comor_diabetes_type,[comor_diabetes] = '1'
comor_diabetes_type___Gestational diabetes,presentation,binary,Gestational diabetes,comor_diabetes_type,[comor_diabetes] = '1'
comor_smoking,presentation,binary,Ever smoked,comor,
comor_smoking_type,presentation,categorical,Smoking status,comor,[comor_smoking]='1'
comor_smoking_type___Current smoker,presentation,binary,Current smoker,comor_smoking_type,[comor_smoking]='1'
comor_smoking_type___Former Smoker,presentation,binary,Former Smoker,comor_smoking_type,[comor_smoking]='1'
comor_otherdesc,presentation,freetext,Other  Comorbidities,comor,
comor_unlisted,presentation,binary,Other relevant comorbidity(s),comor,
comor_unlisted_item___Neurological disorder confirmed,presentation,binary,Neurological disorder confirmed,comor_unlisted,
comor_unlisted_item___Autoimmune Disease,presentation,binary,Autoimmune Disease,comor_unlisted,
comor_unlisted_item___Hyperthyroidism,presentation,binary,Hyperthyroidism,comor_unlisted,
comor_unlisted_item___Blood coagulation disorder,presentation,binary,Blood coagulation disorder,comor_unlisted,
comor_unlisted_item___Solid tumor configuration,presentation,binary,Solid tumor configuration,comor_unlisted,
comor_unlisted_item___Undifferentiated connective tissue disease,presentation,binary,Undifferentiated connective tissue disease,comor_unlisted,
comor_unlisted_item___Metastatic carcinoid tumor Cancer,presentation,binary,Metastatic carcinoid tumor Cancer,comor_unlisted,
comor_unlisted_item___Neurodegenerative Disorders,presentation,binary,Neurodegenerative Disorders,comor_unlisted,
