Variable,All,Discharged,Death,Censored
   ↳ Other, 139 (22.5) |  617, 40 (23.7) | 169, 36 (21.1) | 171, 63 (22.7) | 277
<b>Reason(s) for IV fluid (check all that apply)</b>,,,,
   ↳ Shock, 145 (23.5) |  618, 39 (22.8) | 171, 34 (20.2) | 168, 72 (25.8) | 279
   ↳ High/rising haematocrit, 147 (23.8) |  618, 46 (26.9) | 171, 32 (19.0) | 168, 69 (24.7) | 279
   ↳ Anorexia, 158 (25.6) |  618, 47 (27.5) | 171, 33 (19.6) | 168, 78 (28.0) | 279
   ↳ Persistent vomiting, 149 (24.1) |  618, 41 (24.0) | 171, 34 (20.2) | 168, 74 (26.5) | 279
   ↳ Other, 157 (25.4) |  618, 43 (25.1) | 171, 34 (20.2) | 168, 80 (28.7) | 279
<b>Blood product transfusion</b> (*), 331 (53.2) |  622, 93 (52.5) | 177, 89 (50.9) | 175,149 (55.2) | 270
<b> Select all blood product transfusion that were administered</b>,,,,
   ↳ Platelets, 170 (27.7) |  614, 51 (29.0) | 176, 43 (25.0) | 172, 76 (28.6) | 266
   ↳ Cryoprecipitate, 158 (25.7) |  614, 44 (25.0) | 176, 39 (22.7) | 172, 75 (28.2) | 266
   ↳ Whole blood/packed RBC, 156 (25.4) |  614, 41 (23.3) | 176, 38 (22.1) | 172, 77 (28.9) | 266
   ↳ Frozen fresh plasma, 182 (29.6) |  614, 46 (26.1) | 176, 46 (26.7) | 172, 90 (33.8) | 266
   ↳ Fibrinogen concentrate, 167 (27.2) |  614, 50 (28.4) | 176, 43 (25.0) | 172, 74 (27.8) | 266
"<b>Platelets, total number of units</b> (+)",47.5 (20.2-77.4) |  164,45.9 (23.0-77.7) |  51,56.9 (21.7-81.2) |  41,45.9 (17.2-73.7) |  72
"<b>Cryoprecipitate, total number of units</b> (+)",46.3 (23.2-73.7) |  147,38.1 (19.4-62.8) |  40,39.7 (22.5-68.4) |  34,57.3 (32.2-79.7) |  73
"<b>Whole blood/packed RBC, total number of units</b> (+)",54.7 (24.1-77.1) |  150,53.9 (27.2-69.8) |  40,70.0 (22.9-88.8) |  37,57.0 (22.0-74.0) |  73
"<b>Fresh frozen plasma (FFP), total number of units</b> (+)",49.7 (27.0-73.8) |  173,60.1 (39.1-81.2) |  44,45.5 (23.4-71.8) |  43,45.2 (24.8-66.2) |  86
"<b>Fibrinogen concentrate, total number of units</b> (+)",56.0 (34.7-81.6) |  159,54.8 (31.3-86.7) |  50,68.8 (36.2-85.3) |  39,55.1 (36.8-78.5) |  70
<b>Intravenous immunoglobulin</b> (*), 326 (49.4) |  660, 90 (54.2) | 166, 98 (50.5) | 194,138 (46.0) | 300
<b>Diuretics</b> (*), 314 (49.4) |  635, 98 (51.0) | 192, 83 (46.4) | 179,133 (50.4) | 264
<b>N-acetyl cysteine</b> (*), 328 (51.7) |  634, 89 (51.1) | 174, 90 (51.7) | 174,149 (52.1) | 286
<b>Fluid drainage</b> (*), 305 (48.2) |  633, 90 (49.7) | 181, 86 (48.3) | 178,129 (47.1) | 274
<b> Reason for this drainage</b> (*),,,,
   ↳ Ascites, 142 (49.5) |  287, 45 (52.9) |  85, 44 (53.0) |  83, 53 (44.5) | 119
   ↳ Pleural effusion, 145 (50.5) |  287, 40 (47.1) |  85, 39 (47.0) |  83, 66 (55.5) | 119
<b>Plasmapheresis / plasma exchange</b> (*), 314 (49.1) |  640, 83 (48.0) | 173, 87 (47.8) | 182,144 (50.5) | 285
<b> Days on plasma exchange support during admission</b> (+),53.3 (29.8-76.4) |  301,53.3 (31.9-78.2) |  80,61.0 (29.6-82.6) |  86,49.9 (29.8-70.7) | 135
<b>Any supplemental oxygen?</b> (*), 308 (48.1) |  640, 77 (44.8) | 172, 93 (48.9) | 190,138 (49.6) | 278
<b> Select all types of respiratory support the patient received</b>,,,,
   ↳ Nasal prong, 143 (23.1) |  619, 34 (20.5) | 166, 44 (23.8) | 185, 65 (24.3) | 268
   ↳ Face mask, 149 (24.1) |  619, 34 (20.5) | 166, 38 (20.5) | 185, 77 (28.7) | 268
   ↳ High-flow nasal oxygen, 151 (24.4) |  619, 42 (25.3) | 166, 41 (22.2) | 185, 68 (25.4) | 268
   ↳ Non-invasive ventilation, 155 (25.0) |  619, 40 (24.1) | 166, 48 (25.9) | 185, 67 (25.0) | 268
   ↳ Invasive ventilation, 154 (24.9) |  619, 35 (21.1) | 166, 51 (27.6) | 185, 68 (25.4) | 268
   ↳ ECLS/ ECMO, 135 (21.8) |  619, 35 (21.1) | 166, 45 (24.3) | 185, 55 (20.5) | 268
   ↳ Unknown, 154 (24.9) |  619, 37 (22.3) | 166, 45 (24.3) | 185, 72 (26.9) | 268
<b>Maximum O2 flow volume (L/min)</b> (*),,,,
   ↳ <2 L/min,  43 (17.6) |  244, 13 (22.0) |  59, 12 (16.9) |  71, 18 (15.8) | 114
   ↳ 2-5 L/min,  48 (19.7) |  244, 13 (22.0) |  59, 11 (15.5) |  71, 24 (21.1) | 114
   ↳ 6-10 L/min,  49 (20.1) |  244, 15 (25.4) |  59, 10 (14.1) |  71, 24 (21.1) | 114
   ↳ 11-15 L/min,  44 (18.0) |  244, 10 (16.9) |  59, 11 (15.5) |  71, 23 (20.2) | 114
   ↳ >15 L/min,  60 (24.6) |  244,  8 (13.6) |  59, 27 (38.0) |  71, 25 (21.9) | 114
<b>Number of calendar days the patient received any respiratory support during admission</b> (+),53.3 (28.4-77.7) |  292,56.1 (37.0-84.6) |  73,59.7 (29.6-79.8) |  91,49.3 (25.0-72.7) | 128
<b>Type of non-invasive ventilation</b> (*),,,,
   ↳ CPAP,  29 (27.1) |  107, 11 (39.3) |  28,  7 (24.1) |  29, 11 (22.0) |  50
   ↳ BIPAP,  43 (40.2) |  107, 10 (35.7) |  28, 10 (34.5) |  29, 23 (46.0) |  50
   ↳ Other,  35 (32.7) |  107,  7 (25.0) |  28, 12 (41.4) |  29, 16 (32.0) |  50
<b>Type of ECLS / ECMO</b> (*),,,,
   ↳ Veno-venous (VV),  37 (44.0) |   84,  9 (45.0) |  20, 11 (36.7) |  30, 17 (50.0) |  34
   ↳ Veno-arterial (VA),  47 (56.0) |   84, 11 (55.0) |  20, 19 (63.3) |  30, 17 (50.0) |  34
