Variable,All,Discharged,Death,Censored
<b>Temperature </b> (+),48.2 (24.1-72.3) |  438,43.7 (24.5-74.3) | 112,45.7 (20.6-66.1) | 123,50.7 (24.4-73.3) | 203
<b>HR (beats/minute)</b> (+),49.5 (24.6-77.9) |  434,50.1 (21.9-70.9) | 114,52.4 (32.0-80.6) | 117,48.5 (25.1-79.0) | 203
<b>Systolic BP (mmHg)</b> (+),46.9 (23.8-74.4) |  428,46.7 (26.3-73.4) | 113,51.5 (23.8-78.8) | 114,46.2 (21.4-73.9) | 201
<b>Diastolic BP (mmHg)</b> (+),46.8 (24.2-72.7) |  436,46.5 (20.5-72.5) | 117,45.8 (25.8-71.4) | 114,49.5 (24.4-73.8) | 205
<b>Oxygen saturation SpO2 (%)</b> (+),52.5 (26.4-76.3) |  437,52.6 (24.1-76.7) | 117,52.2 (28.0-76.6) | 117,51.8 (28.1-75.5) | 203
<b>Supplemental oxygen at point of SpO2 measured</b> (*),,,,
   ↳ Yes-nasal prongs,  58 (15.3) |  379, 12 (12.4) |  97, 18 (17.3) | 104, 28 (15.7) | 178
   ↳ Yes-simple mask,  74 (19.5) |  379, 20 (20.6) |  97, 18 (17.3) | 104, 36 (20.2) | 178
   ↳ Yes-HFNO,  68 (17.9) |  379, 20 (20.6) |  97, 17 (16.3) | 104, 31 (17.4) | 178
   ↳ Yes-NIV,  65 (17.2) |  379, 22 (22.7) |  97, 17 (16.3) | 104, 26 (14.6) | 178
   ↳ Yes-IMV / ECMO,  60 (15.8) |  379, 11 (11.3) |  97, 20 (19.2) | 104, 29 (16.3) | 178
   ↳ No (Room air),  54 (14.2) |  379, 12 (12.4) |  97, 14 (13.5) | 104, 28 (15.7) | 178
<b>Capillary refill time >2 seconds</b> (*), 146 (49.0) |  298, 30 (40.5) |  74, 49 (59.8) |  82, 67 (47.2) | 142
<b><i>SIGNS AND SYMPTOMS ON ADMISSION</i></b>,,,,
<b>Fever / chills / rigors</b> (*), 322 (48.5) |  664,100 (55.2) | 181, 86 (45.7) | 188,136 (46.1) | 295
<b>Restlessness</b> (*), 326 (49.1) |  664, 83 (45.4) | 183, 94 (49.2) | 191,149 (51.4) | 290
<b>Fatigue / malaise / lethargy</b> (*), 348 (54.3) |  641, 91 (53.8) | 169, 96 (54.2) | 177,161 (54.6) | 295
<b>Muscle aches / myalgia</b> (*), 315 (50.4) |  625, 74 (43.5) | 170, 94 (53.1) | 177,147 (52.9) | 278
<b>Joint pain / arthralgia</b> (*), 324 (50.4) |  643, 91 (50.3) | 181, 89 (47.8) | 186,144 (52.2) | 276
<b>Skin rash</b> (*), 325 (49.5) |  656, 95 (52.2) | 182, 91 (48.7) | 187,139 (48.4) | 287
<b>Cough</b> (*), 311 (50.1) |  621, 69 (41.8) | 165, 90 (49.7) | 181,152 (55.3) | 275
<b>Non-productive </b> (*), 104 (53.1) |  196, 17 (39.5) |  43, 32 (57.1) |  56, 55 (56.7) |  97
<b>Productive</b> (*), 100 (49.5) |  202, 23 (56.1) |  41, 31 (54.4) |  57, 46 (44.2) | 104
<b>Hemoptysis</b> (*),  94 (47.7) |  197, 21 (48.8) |  43, 25 (45.5) |  55, 48 (48.5) |  99
<b>Shortness of breath </b> (*), 302 (51.1) |  591, 77 (48.7) | 158, 90 (53.9) | 167,135 (50.8) | 266
<b>Abdominal pain</b> (*), 350 (54.5) |  642,101 (55.2) | 183,100 (55.9) | 179,149 (53.2) | 280
<b>Diarrhoea</b> (*), 305 (49.0) |  623, 85 (48.6) | 175, 92 (50.0) | 184,128 (48.5) | 264
<b>Vomiting</b> (*), 328 (52.7) |  622, 96 (52.2) | 184, 90 (51.7) | 174,142 (53.8) | 264
<b>Persistent vomiting? (>=2/day)</b> (*),  97 (48.3) |  201, 35 (59.3) |  59, 19 (35.8) |  53, 43 (48.3) |  89
<b>Anorexia</b> (*), 319 (52.0) |  614, 92 (54.4) | 169, 93 (49.7) | 187,134 (51.9) | 258
<b>Bleeding / haemorrhage</b> (*), 313 (50.1) |  625, 83 (46.9) | 177, 90 (52.3) | 172,140 (50.7) | 276
<b>Severe bleeding / haemorrhage (requires intervention)</b> (*), 100 (49.8) |  201, 26 (44.1) |  59, 37 (58.7) |  63, 37 (46.8) |  79
<b> Specify bleeding / haemorrhage site(s)</b>,,,,
   ↳ Skin, 156 (25.5) |  612, 42 (24.7) | 170, 50 (29.2) | 171, 64 (23.6) | 271
   ↳ Petechiae, 164 (26.8) |  612, 43 (25.3) | 170, 48 (28.1) | 171, 73 (26.9) | 271
   ↳ Nose, 140 (22.9) |  612, 32 (18.8) | 170, 41 (24.0) | 171, 67 (24.7) | 271
   ↳ Gums, 137 (22.4) |  612, 34 (20.0) | 170, 35 (20.5) | 171, 68 (25.1) | 271
   ↳ GI tract, 159 (26.0) |  612, 42 (24.7) | 170, 50 (29.2) | 171, 67 (24.7) | 271
   ↳ Urinary tract, 141 (23.0) |  612, 40 (23.5) | 170, 41 (24.0) | 171, 60 (22.1) | 271
   ↳ Vagina, 133 (21.7) |  612, 32 (18.8) | 170, 41 (24.0) | 171, 60 (22.1) | 271
   ↳ Other(s), 166 (27.1) |  612, 52 (30.6) | 170, 51 (29.8) | 171, 63 (23.2) | 271
   ↳ Unknown, 142 (23.2) |  612, 32 (18.8) | 170, 41 (24.0) | 171, 69 (25.5) | 271
<b>Headache</b> (*), 326 (48.9) |  667, 88 (47.6) | 185,100 (51.3) | 195,138 (48.1) | 287
<b>Retro-orbital pain</b> (*), 322 (51.1) |  630, 89 (53.3) | 167, 87 (49.7) | 175,146 (50.7) | 288
<b>Seizures / convulsions</b> (*), 299 (46.2) |  647, 88 (49.2) | 179, 76 (42.7) | 178,135 (46.6) | 290
<b><i>SIGNS AND SYMPTOMS</i></b>,,,,
<b>Restlessness</b> (*), 148 (49.5) |  299, 34 (42.0) |  81, 51 (57.3) |  89, 63 (48.8) | 129
<b>Bleeding / haemorrhage</b> (*), 122 (41.6) |  293, 23 (34.3) |  67, 35 (40.7) |  86, 64 (45.7) | 140
<b>Severe bleeding / haemorrhage (requires intervention)</b> (*),  42 (51.9) |   81, 13 (76.5) |  17,  9 (42.9) |  21, 20 (46.5) |  43
<b> Specify bleeding / haemorrhage site(s)</b>,,,,
   ↳ Skin,  69 (23.7) |  291, 12 (17.9) |  67, 21 (25.0) |  84, 36 (25.7) | 140
   ↳ Petechiae,  59 (20.3) |  291, 12 (17.9) |  67, 18 (21.4) |  84, 29 (20.7) | 140
   ↳ Nose,  59 (20.3) |  291,  6 ( 9.0) |  67, 22 (26.2) |  84, 31 (22.1) | 140
   ↳ Gums,  54 (18.6) |  291,  6 ( 9.0) |  67, 20 (23.8) |  84, 28 (20.0) | 140
   ↳ GI tract,  56 (19.2) |  291, 14 (20.9) |  67, 12 (14.3) |  84, 30 (21.4) | 140
   ↳ Urinary tract,  57 (19.6) |  291, 11 (16.4) |  67, 11 (13.1) |  84, 35 (25.0) | 140
   ↳ Vagina,  57 (19.6) |  291, 17 (25.4) |  67, 15 (17.9) |  84, 25 (17.9) | 140
   ↳ Other(s),  68 (23.4) |  291, 14 (20.9) |  67, 17 (20.2) |  84, 37 (26.4) | 140
   ↳ Unknown,  61 (21.0) |  291, 12 (17.9) |  67, 20 (23.8) |  84, 29 (20.7) | 140
<b>Retro-orbital pain</b> (*), 140 (46.5) |  301, 43 (53.8) |  80, 38 (43.7) |  87, 59 (44.0) | 134
