Variable,All,Discharged,Death,Censored
   ↳ Vagina, 143 (23.0) |  623, 40 (23.4) | 171, 42 (24.4) | 172, 61 (21.8) | 280
   ↳ Other(s), 158 (25.4) |  623, 43 (25.1) | 171, 42 (24.4) | 172, 73 (26.1) | 280
   ↳ Unknown, 168 (27.0) |  623, 57 (33.3) | 171, 41 (23.8) | 172, 70 (25.0) | 280
<b>Coagulation disorder / DIC</b> (*), 317 (48.0) |  660, 82 (45.8) | 179, 87 (44.8) | 194,148 (51.6) | 287
<b>Acute renal injury / acute renal failure</b> (*), 315 (49.5) |  637, 97 (55.4) | 175, 86 (46.7) | 184,132 (47.5) | 278
<b>Shock </b> (*), 302 (48.7) |  620, 87 (49.4) | 176, 86 (52.4) | 164,129 (46.1) | 280
<b>Re-shock episodes</b> (*), 315 (48.6) |  648, 79 (46.2) | 171, 88 (46.1) | 191,148 (51.7) | 286
<b>Number of re-shock episodes</b> (*),,,,
   ↳ 1,  53 (21.7) |  244, 13 (20.6) |  63, 20 (27.8) |  72, 20 (18.3) | 109
   ↳ 2,  62 (25.4) |  244, 15 (23.8) |  63, 20 (27.8) |  72, 27 (24.8) | 109
   ↳ 3,  55 (22.5) |  244, 19 (30.2) |  63, 11 (15.3) |  72, 25 (22.9) | 109
   ↳ 4+,  74 (30.3) |  244, 16 (25.4) |  63, 21 (29.2) |  72, 37 (33.9) | 109
<b>Sepsis</b> (*), 313 (52.1) |  601, 95 (60.1) | 158, 86 (49.7) | 173,132 (48.9) | 270
<b><i>OUTCOME</i></b>,,,,
<b>Was the patient's main diagnosis dengue?</b> (*), 316 (48.4) |  653, 94 (51.1) | 184, 85 (48.9) | 174,137 (46.4) | 295
<b> What was the final classification of dengue?</b> (*),,,,
   ↳ Uncomplicated dengue,  90 (29.9) |  301, 23 (26.1) |  88, 23 (28.0) |  82, 44 (33.6) | 131
   ↳ Dengue with warning signs, 103 (34.2) |  301, 31 (35.2) |  88, 33 (40.2) |  82, 39 (29.8) | 131
   ↳ Severe dengue, 108 (35.9) |  301, 34 (38.6) |  88, 26 (31.7) |  82, 48 (36.6) | 131
<b>Dengue shock syndrome</b> (*),  29 (48.3) |   60,  7 (35.0) |  20,  7 (43.8) |  16, 15 (62.5) |  24
<b>Severe bleeding</b> (*),  37 (50.7) |   73, 10 (41.7) |  24, 12 (60.0) |  20, 15 (51.7) |  29
<b>Severe organ impairment</b> (*),  30 (43.5) |   69,  5 (23.8) |  21,  7 (43.8) |  16, 18 (56.2) |  32
<b>Was there any secondary diagnosis?</b> (*), 308 (48.3) |  638, 80 (45.7) | 175, 86 (48.9) | 176,142 (49.5) | 287
<b>Outcome</b> (*),,,,
   ↳ Discharged alive, 142 (14.9) |  953,142 (52.0) | 273,  0 ( 0.0) | 286,  0 ( 0.0) | 394
   ↳ Still hospitalised, 126 (13.2) |  953,  0 ( 0.0) | 273,  0 ( 0.0) | 286,126 (32.0) | 394
   ↳ Transfer to other facility, 135 (14.2) |  953,  0 ( 0.0) | 273,  0 ( 0.0) | 286,135 (34.3) | 394
   ↳ Death, 129 (13.5) |  953,  0 ( 0.0) | 273,129 (45.1) | 286,  0 ( 0.0) | 394
   ↳ Palliative care, 157 (16.5) |  953,  0 ( 0.0) | 273,157 (54.9) | 286,  0 ( 0.0) | 394
   ↳ Discharged against medical advice, 131 (13.7) |  953,131 (48.0) | 273,  0 ( 0.0) | 286,  0 ( 0.0) | 394
"   ↳ Alive, not admitted", 133 (14.0) |  953,  0 ( 0.0) | 273,  0 ( 0.0) | 286,133 (33.8) | 394
<b>Ongoing health care needs relating to this admission for pathogen of interest</b> (*),  79 (46.7) |  169, 40 (44.0) |  91,N/A, 39 (50.0) |  78
<b>Ongoing health care needs NOT related to pathogen episode</b> (*),  98 (56.6) |  173, 51 (60.0) |  85,N/A, 47 (53.4) |  88
<b>Medically fit for discharge (pathogen resolved) but remains in hospital for other reason (e.g. ...</b> (*),  88 (52.4) |  168,N/A,N/A, 88 (52.4) | 168
