Variable,All,Discharged,Death,Censored
<b>Pleural effusion</b> (*), 275 (36.9) |  745, 52 (33.3) | 156,115 (37.7) | 305,108 (38.0) | 284
<b>Cryptogenic organising pneumonia (COP)</b> (*), 377 (45.8) |  824, 74 (44.0) | 168,153 (46.5) | 329,150 (45.9) | 327
<b>Bronchiolitis</b> (*), 458 (53.1) |  863, 88 (47.3) | 186,174 (50.6) | 344,196 (58.9) | 333
<b>Acute Respiratory Distress Syndrome (ARDS)</b> (*), 464 (52.5) |  883, 97 (50.3) | 193,180 (50.8) | 354,187 (55.7) | 336
<b>Pancreatitis</b> (*), 579 (67.4) |  859,127 (67.6) | 188,229 (68.2) | 336,223 (66.6) | 335
<b>Severe liver disease (new onset)</b> (*), 100 (11.8) |  849, 26 (13.7) | 190, 35 (10.7) | 327, 39 (11.7) | 332
<b> Jaundice</b> (*),  70 (85.4) |   82, 17 (85.0) |  20, 24 (82.8) |  29, 29 (87.9) |  33
<b>Liver dysfunction</b> (*), 617 (67.3) |  917,123 (63.7) | 193,243 (65.9) | 369,251 (70.7) | 355
<b>Thromboembolism</b> (*), 753 (84.1) |  895,150 (79.4) | 189,300 (84.3) | 356,303 (86.6) | 350
<b>Anaemia</b> (*), 225 (24.9) |  902, 50 (24.9) | 201, 89 (24.3) | 367, 86 (25.7) | 334
<b>Coagulation disorder / DIC</b> (*), 551 (57.8) |  954,109 (53.4) | 204,230 (59.6) | 386,212 (58.2) | 364
<b>Acute renal injury / acute renal failure</b> (*), 732 (87.6) |  836,145 (85.3) | 170,308 (89.3) | 345,279 (86.9) | 321
<b>Rhabdomyolysis</b> (*), 823 (95.7) |  860,176 (95.7) | 184,336 (96.3) | 349,311 (95.1) | 327
<b>Myositis</b> (*), 734 (88.8) |  827,166 (92.2) | 180,286 (86.4) | 331,282 (89.2) | 316
<b>Bacteraemia</b> (*), 599 (69.2) |  865,127 (67.2) | 189,241 (69.9) | 345,231 (69.8) | 331
<b>Other complication(s)</b> (*), 303 (39.5) |  768, 67 (38.3) | 175,114 (37.9) | 301,122 (41.8) | 292
<b>Select other complication(s)</b> (*),,,,
   ↳ Acute Respiratory Distress Syndrome (ARDS),   2 ( 0.7) |  286,  0 ( 0.0) |  65,  2 ( 1.9) | 106,  0 ( 0.0) | 115
   ↳ Bacteremia,   1 ( 0.3) |  286,  1 ( 1.5) |  65,  0 ( 0.0) | 106,  0 ( 0.0) | 115
   ↳ Myocardial Infarction,   7 ( 2.4) |  286,  3 ( 4.6) |  65,  1 ( 0.9) | 106,  3 ( 2.6) | 115
   ↳ Neurological finding,  11 ( 3.8) |  286,  3 ( 4.6) |  65,  3 ( 2.8) | 106,  5 ( 4.3) | 115
   ↳ Pneumonia,  19 ( 6.6) |  286,  3 ( 4.6) |  65,  9 ( 8.5) | 106,  7 ( 6.1) | 115
   ↳ Pulmonary Embolism,   3 ( 1.0) |  286,  1 ( 1.5) |  65,  1 ( 0.9) | 106,  1 ( 0.9) | 115
   ↳ Septic Shock,  11 ( 3.8) |  286,  3 ( 4.6) |  65,  5 ( 4.7) | 106,  3 ( 2.6) | 115
   ↳ Acquired coagulation disorder,  11 ( 3.8) |  286,  3 ( 4.6) |  65,  5 ( 4.7) | 106,  3 ( 2.6) | 115
   ↳ Bleeding,   8 ( 2.8) |  286,  2 ( 3.1) |  65,  1 ( 0.9) | 106,  5 ( 4.3) | 115
   ↳ Cardiac Arrest,  10 ( 3.5) |  286,  4 ( 6.2) |  65,  4 ( 3.8) | 106,  2 ( 1.7) | 115
   ↳ Cardioembolic stroke,   9 ( 3.1) |  286,  1 ( 1.5) |  65,  5 ( 4.7) | 106,  3 ( 2.6) | 115
   ↳ Cardiogenic Shock,   3 ( 1.0) |  286,  1 ( 1.5) |  65,  0 ( 0.0) | 106,  2 ( 1.7) | 115
   ↳ Cerebellar stroke,   8 ( 2.8) |  286,  1 ( 1.5) |  65,  3 ( 2.8) | 106,  4 ( 3.5) | 115
   ↳ Decompensation,  12 ( 4.2) |  286,  2 ( 3.1) |  65,  8 ( 7.5) | 106,  2 ( 1.7) | 115
   ↳ Deep venous thrombosis,   1 ( 0.3) |  286,  0 ( 0.0) |  65,  0 ( 0.0) | 106,  1 ( 0.9) | 115
   ↳ Empyema,   3 ( 1.0) |  286,  1 ( 1.5) |  65,  0 ( 0.0) | 106,  2 ( 1.7) | 115
   ↳ Encephalitis,  11 ( 3.8) |  286,  4 ( 6.2) |  65,  4 ( 3.8) | 106,  3 ( 2.6) | 115
   ↳ Haemorrhagic stroke,   7 ( 2.4) |  286,  1 ( 1.5) |  65,  4 ( 3.8) | 106,  2 ( 1.7) | 115
   ↳ Hospital acquired pneumonia,   7 ( 2.4) |  286,  1 ( 1.5) |  65,  3 ( 2.8) | 106,  3 ( 2.6) | 115
   ↳ Ischemic encephalopathy,   7 ( 2.4) |  286,  2 ( 3.1) |  65,  2 ( 1.9) | 106,  3 ( 2.6) | 115
   ↳ Ischemic stroke,  14 ( 4.9) |  286,  4 ( 6.2) |  65,  4 ( 3.8) | 106,  6 ( 5.2) | 115
   ↳ Large liver,  11 ( 3.8) |  286,  1 ( 1.5) |  65,  3 ( 2.8) | 106,  7 ( 6.1) | 115
   ↳ Meningitis,   6 ( 2.1) |  286,  1 ( 1.5) |  65,  3 ( 2.8) | 106,  2 ( 1.7) | 115
   ↳ Multisystem inflammatory syndrome in adults,   6 ( 2.1) |  286,  1 ( 1.5) |  65,  3 ( 2.8) | 106,  2 ( 1.7) | 115
   ↳ Multisystem inflammatory syndrome in children,   1 ( 0.3) |  286,  1 ( 1.5) |  65,  0 ( 0.0) | 106,  0 ( 0.0) | 115
   ↳ Pneumothorax,  14 ( 4.9) |  286,  3 ( 4.6) |  65,  6 ( 5.7) | 106,  5 ( 4.3) | 115
   ↳ Recurrent gastrointestinal bleeding,   7 ( 2.4) |  286,  2 ( 3.1) |  65,  3 ( 2.8) | 106,  2 ( 1.7) | 115
   ↳ Recurrent urinary tract infection,  19 ( 6.6) |  286,  3 ( 4.6) |  65,  7 ( 6.6) | 106,  9 ( 7.8) | 115
   ↳ Sepsis,  10 ( 3.5) |  286,  1 ( 1.5) |  65,  5 ( 4.7) | 106,  4 ( 3.5) | 115
   ↳ Thrombotic stroke,   7 ( 2.4) |  286,  1 ( 1.5) |  65,  2 ( 1.9) | 106,  4 ( 3.5) | 115
   ↳ Transient cerebral ischemia,   7 ( 2.4) |  286,  2 ( 3.1) |  65,  2 ( 1.9) | 106,  3 ( 2.6) | 115
   ↳ Transient hypotension,  17 ( 5.9) |  286,  6 ( 9.2) |  65,  3 ( 2.8) | 106,  8 ( 7.0) | 115
   ↳ Ventilator-Associated Pneumonia,   8 ( 2.8) |  286,  1 ( 1.5) |  65,  3 ( 2.8) | 106,  4 ( 3.5) | 115
   ↳ Other,   8 ( 2.8) |  286,  1 ( 1.5) |  65,  2 ( 1.9) | 106,  5 ( 4.3) | 115
<b>Any additional other complication(s) ?</b> (*), 209 (76.3) |  274, 48 (81.4) |  59, 71 (71.7) |  99, 90 (77.6) | 116
<b>>Select additional other complication(s) 2</b> (*),,,,
   ↳ Acute Respiratory Distress Syndrome (ARDS),  10 ( 5.2) |  193,  2 ( 4.3) |  47,  3 ( 4.7) |  64,  5 ( 6.1) |  82
   ↳ Bacteremia,   5 ( 2.6) |  193,  0 ( 0.0) |  47,  3 ( 4.7) |  64,  2 ( 2.4) |  82
   ↳ Myocardial Infarction,   2 ( 1.0) |  193,  0 ( 0.0) |  47,  1 ( 1.6) |  64,  1 ( 1.2) |  82
   ↳ Neurological finding,   7 ( 3.6) |  193,  2 ( 4.3) |  47,  2 ( 3.1) |  64,  3 ( 3.7) |  82
   ↳ Pneumonia,   5 ( 2.6) |  193,  3 ( 6.4) |  47,  0 ( 0.0) |  64,  2 ( 2.4) |  82
   ↳ Pulmonary Embolism,   3 ( 1.6) |  193,  0 ( 0.0) |  47,  1 ( 1.6) |  64,  2 ( 2.4) |  82
   ↳ Septic Shock,   3 ( 1.6) |  193,  0 ( 0.0) |  47,  1 ( 1.6) |  64,  2 ( 2.4) |  82
   ↳ Acquired coagulation disorder,   3 ( 1.6) |  193,  1 ( 2.1) |  47,  2 ( 3.1) |  64,  0 ( 0.0) |  82
   ↳ Acute renal failure syndrome,   5 ( 2.6) |  193,  1 ( 2.1) |  47,  2 ( 3.1) |  64,  2 ( 2.4) |  82
   ↳ Bleeding,  12 ( 6.2) |  193,  3 ( 6.4) |  47,  0 ( 0.0) |  64,  9 (11.0) |  82
   ↳ Cardiac Arrest,  14 ( 7.3) |  193,  8 (17.0) |  47,  3 ( 4.7) |  64,  3 ( 3.7) |  82
   ↳ Cardioembolic stroke,   3 ( 1.6) |  193,  1 ( 2.1) |  47,  0 ( 0.0) |  64,  2 ( 2.4) |  82
   ↳ Cardiogenic Shock,  10 ( 5.2) |  193,  5 (10.6) |  47,  2 ( 3.1) |  64,  3 ( 3.7) |  82
   ↳ Cerebellar stroke,   1 ( 0.5) |  193,  0 ( 0.0) |  47,  0 ( 0.0) |  64,  1 ( 1.2) |  82
   ↳ Deep venous thrombosis,   8 ( 4.1) |  193,  1 ( 2.1) |  47,  3 ( 4.7) |  64,  4 ( 4.9) |  82
   ↳ Disseminated Intravascular Coagulation (DIC),   8 ( 4.1) |  193,  2 ( 4.3) |  47,  4 ( 6.2) |  64,  2 ( 2.4) |  82
   ↳ Empyema,   4 ( 2.1) |  193,  0 ( 0.0) |  47,  2 ( 3.1) |  64,  2 ( 2.4) |  82
   ↳ Encephalitis,   6 ( 3.1) |  193,  1 ( 2.1) |  47,  2 ( 3.1) |  64,  3 ( 3.7) |  82
   ↳ Haemorrhagic stroke,  12 ( 6.2) |  193,  2 ( 4.3) |  47,  4 ( 6.2) |  64,  6 ( 7.3) |  82
   ↳ Hospital acquired pneumonia,   9 ( 4.7) |  193,  0 ( 0.0) |  47,  6 ( 9.4) |  64,  3 ( 3.7) |  82
   ↳ Ischemic encephalopathy,   6 ( 3.1) |  193,  4 ( 8.5) |  47,  1 ( 1.6) |  64,  1 ( 1.2) |  82
   ↳ Ischemic stroke,   6 ( 3.1) |  193,  1 ( 2.1) |  47,  2 ( 3.1) |  64,  3 ( 3.7) |  82
   ↳ Large liver,   6 ( 3.1) |  193,  1 ( 2.1) |  47,  4 ( 6.2) |  64,  1 ( 1.2) |  82
   ↳ Multisystem inflammatory syndrome in adults,  10 ( 5.2) |  193,  2 ( 4.3) |  47,  4 ( 6.2) |  64,  4 ( 4.9) |  82
   ↳ Multisystem inflammatory syndrome in children,   2 ( 1.0) |  193,  0 ( 0.0) |  47,  0 ( 0.0) |  64,  2 ( 2.4) |  82
   ↳ Pneumothorax,   2 ( 1.0) |  193,  0 ( 0.0) |  47,  0 ( 0.0) |  64,  2 ( 2.4) |  82
   ↳ Recurrent gastrointestinal bleeding,   5 ( 2.6) |  193,  2 ( 4.3) |  47,  1 ( 1.6) |  64,  2 ( 2.4) |  82
   ↳ Sepsis,   2 ( 1.0) |  193,  1 ( 2.1) |  47,  0 ( 0.0) |  64,  1 ( 1.2) |  82
   ↳ Thrombotic stroke,   1 ( 0.5) |  193,  0 ( 0.0) |  47,  1 ( 1.6) |  64,  0 ( 0.0) |  82
   ↳ Transient cerebral ischemia,   2 ( 1.0) |  193,  0 ( 0.0) |  47,  1 ( 1.6) |  64,  1 ( 1.2) |  82
   ↳ Transient hypotension,  11 ( 5.7) |  193,  1 ( 2.1) |  47,  4 ( 6.2) |  64,  6 ( 7.3) |  82
   ↳ Ventilator-Associated Pneumonia,   6 ( 3.1) |  193,  1 ( 2.1) |  47,  3 ( 4.7) |  64,  2 ( 2.4) |  82
   ↳ Other,   4 ( 2.1) |  193,  2 ( 4.3) |  47,  2 ( 3.1) |  64,  0 ( 0.0) |  82
<b>>Any additional other complication(s) ?</b> (*),   7 ( 3.6) |  192,  2 ( 4.4) |  45,  1 ( 1.6) |  63,  4 ( 4.8) |  84
<b>->Select additional other complication(s) 3</b> (*),,,,
   ↳ Pulmonary Embolism,   1 (14.3) |    7,  1 (50.0) |   2,  0 ( 0.0) |   1,  0 ( 0.0) |   4
   ↳ Septic Shock,   1 (14.3) |    7,  0 ( 0.0) |   2,  0 ( 0.0) |   1,  1 (25.0) |   4
   ↳ Cerebellar stroke,   1 (14.3) |    7,  0 ( 0.0) |   2,  0 ( 0.0) |   1,  1 (25.0) |   4
   ↳ Empyema,   2 (28.6) |    7,  1 (50.0) |   2,  0 ( 0.0) |   1,  1 (25.0) |   4
   ↳ Pneumothorax,   1 (14.3) |    7,  0 ( 0.0) |   2,  0 ( 0.0) |   1,  1 (25.0) |   4
   ↳ Other,   1 (14.3) |    7,  0 ( 0.0) |   2,  1 (100.) |   1,  0 ( 0.0) |   4
<b>->Any additional other complication(s) ?</b> (*),   7 (100.) |    7,  2 (100.) |   2,  1 (100.) |   1,  4 (100.) |   4
<b>>->Select additional other complication(s) 4</b> (*),,,,
   ↳ Pulmonary Embolism,   1 (14.3) |    7,  1 (50.0) |   2,  0 ( 0.0) |   1,  0 ( 0.0) |   4
   ↳ Septic Shock,   1 (14.3) |    7,  0 ( 0.0) |   2,  0 ( 0.0) |   1,  1 (25.0) |   4
   ↳ Large liver,   1 (14.3) |    7,  0 ( 0.0) |   2,  0 ( 0.0) |   1,  1 (25.0) |   4
   ↳ Meningitis,   1 (14.3) |    7,  1 (50.0) |   2,  0 ( 0.0) |   1,  0 ( 0.0) |   4
   ↳ Sepsis,   1 (14.3) |    7,  0 ( 0.0) |   2,  0 ( 0.0) |   1,  1 (25.0) |   4
   ↳ Transient cerebral ischemia,   1 (14.3) |    7,  0 ( 0.0) |   2,  1 (100.) |   1,  0 ( 0.0) |   4
   ↳ Transient hypotension,   1 (14.3) |    7,  0 ( 0.0) |   2,  0 ( 0.0) |   1,  1 (25.0) |   4
<b><i>OUTCOME</i></b>,,,,
<b>Outcome</b> (*),,,,
   ↳ Discharged alive, 123 (12.9) |  956,123 (57.2) | 215,  0 ( 0.0) | 402,  0 ( 0.0) | 339
   ↳ Still hospitalised,  44 ( 4.6) |  956,  0 ( 0.0) | 215,  0 ( 0.0) | 402, 44 (13.0) | 339
   ↳ Transfer to other facility, 191 (20.0) |  956,  0 ( 0.0) | 215,  0 ( 0.0) | 402,191 (56.3) | 339
   ↳ Death, 204 (21.3) |  956,  0 ( 0.0) | 215,204 (50.7) | 402,  0 ( 0.0) | 339
   ↳ Palliative care, 198 (20.7) |  956,  0 ( 0.0) | 215,198 (49.3) | 402,  0 ( 0.0) | 339
   ↳ Discharged against medical advice,  92 ( 9.6) |  956, 92 (42.8) | 215,  0 ( 0.0) | 402,  0 ( 0.0) | 339
"   ↳ Alive, not admitted", 104 (10.9) |  956,  0 ( 0.0) | 215,  0 ( 0.0) | 402,104 (30.7) | 339
<b>Oxygen therapy post-discharge treatment</b> (*),  62 (46.6) |  133, 49 (50.0) |  98,N/A, 13 (37.1) |  35
<b>Ongoing health care needs relating to this admission for pathogen of interest</b> (*),  33 (25.4) |  130, 26 (27.7) |  94,N/A,  7 (19.4) |  36
<b>Ongoing health care needs NOT related to pathogen episode</b> (*),   9 ( 6.2) |  144,  6 ( 5.8) | 104,N/A,  3 ( 7.5) |  40
<b>Medically fit for discharge (pathogen resolved) but remains in hospital for other reason (e.g. ...</b> (*), 163 (74.1) |  220,N/A,N/A,163 (74.1) | 220
