Variable,All,Discharged,Death,Censored
<b>Pancreatitis</b> (*), 334 (52.5) |  636, 95 (54.9) | 173, 98 (54.4) | 180,141 (49.8) | 283
<b>Acute hepatitis</b> (*), 311 (48.6) |  640, 81 (49.7) | 163, 80 (45.7) | 175,150 (49.7) | 302
<b>Severe liver disease (new onset)</b> (*), 322 (52.9) |  609, 84 (52.8) | 159, 74 (46.0) | 161,164 (56.7) | 289
<b>Hepatic encephalopathy (any grade)</b> (*),  91 (46.2) |  197, 24 (48.0) |  50, 20 (48.8) |  41, 47 (44.3) | 106
<b>Jaundice</b> (*), 108 (53.7) |  201, 28 (56.0) |  50, 24 (53.3) |  45, 56 (52.8) | 106
<b>Thromboembolism</b> (*), 333 (52.8) |  631, 80 (47.9) | 167, 91 (53.5) | 170,162 (55.1) | 294
<b>Anaemia</b> (*), 302 (48.3) |  625, 76 (45.8) | 166, 86 (49.4) | 174,140 (49.1) | 285
<b>Severe bleeding (requiring intervention)</b> (*), 348 (54.5) |  638, 83 (52.5) | 158, 87 (49.7) | 175,178 (58.4) | 305
<b>Coagulation disorder / DIC</b> (*), 299 (47.5) |  629, 86 (55.1) | 156, 78 (45.6) | 171,135 (44.7) | 302
<b>Acute renal injury / acute renal failure</b> (*), 310 (48.6) |  638, 83 (48.0) | 173, 84 (51.2) | 164,143 (47.5) | 301
<b>Rhabdomyolysis</b> (*), 303 (47.9) |  633, 68 (40.0) | 170, 83 (47.7) | 174,152 (52.6) | 289
<b>Myositis</b> (*), 323 (50.6) |  638, 75 (43.9) | 171, 96 (56.5) | 170,152 (51.2) | 297
<b>Cellulitis</b> (*), 320 (52.9) |  605, 84 (57.1) | 147, 87 (55.8) | 156,149 (49.3) | 302
<b>Site(s) of cellulitis</b>,,,,
   ↳ Skin, 157 (26.5) |  593, 44 (30.1) | 146, 45 (29.8) | 151, 68 (23.0) | 296
   ↳ Nose, 156 (26.3) |  593, 37 (25.3) | 146, 39 (25.8) | 151, 80 (27.0) | 296
   ↳ Gums, 147 (24.8) |  593, 37 (25.3) | 146, 42 (27.8) | 151, 68 (23.0) | 296
   ↳ GI tract, 146 (24.6) |  593, 41 (28.1) | 146, 37 (24.5) | 151, 68 (23.0) | 296
   ↳ Urinary tract, 147 (24.8) |  593, 36 (24.7) | 146, 37 (24.5) | 151, 74 (25.0) | 296
   ↳ Vagina, 155 (26.1) |  593, 35 (24.0) | 146, 39 (25.8) | 151, 81 (27.4) | 296
   ↳ Other, 159 (26.8) |  593, 53 (36.3) | 146, 46 (30.5) | 151, 60 (20.3) | 296
   ↳ Unknown, 156 (26.3) |  593, 38 (26.0) | 146, 38 (25.2) | 151, 80 (27.0) | 296
<b>Skin tissue loss or eschar</b> (*), 292 (47.0) |  621, 76 (48.4) | 157, 86 (47.8) | 180,130 (45.8) | 284
<b>Bacteraemia</b> (*), 300 (48.9) |  614, 78 (48.8) | 160, 81 (47.4) | 171,141 (49.8) | 283
<b>Hypoglycaemia</b> (*), 345 (54.3) |  635, 98 (59.4) | 165, 87 (49.2) | 177,160 (54.6) | 293
<b>Sepsis</b> (*), 322 (51.1) |  630, 83 (52.5) | 158, 95 (54.6) | 174,144 (48.3) | 298
<b>Other complication(s)</b> (*), 337 (51.3) |  657,100 (56.5) | 177, 83 (45.1) | 184,154 (52.0) | 296
<b>Select other complication(s)</b> (*),,,,
   ↳ Acute Respiratory Distress Syndrome (ARDS),   5 ( 1.5) |  323,  3 ( 3.2) |  95,  0 ( 0.0) |  79,  2 ( 1.3) | 149
   ↳ Bacteremia,   9 ( 2.8) |  323,  2 ( 2.1) |  95,  3 ( 3.8) |  79,  4 ( 2.7) | 149
   ↳ Myocardial Infarction,   9 ( 2.8) |  323,  5 ( 5.3) |  95,  0 ( 0.0) |  79,  4 ( 2.7) | 149
   ↳ Neurological finding,   8 ( 2.5) |  323,  3 ( 3.2) |  95,  2 ( 2.5) |  79,  3 ( 2.0) | 149
   ↳ Pneumonia,   7 ( 2.2) |  323,  1 ( 1.1) |  95,  1 ( 1.3) |  79,  5 ( 3.4) | 149
   ↳ Pulmonary Embolism,   7 ( 2.2) |  323,  2 ( 2.1) |  95,  1 ( 1.3) |  79,  4 ( 2.7) | 149
   ↳ Septic Shock,  12 ( 3.7) |  323,  4 ( 4.2) |  95,  1 ( 1.3) |  79,  7 ( 4.7) | 149
   ↳ Acquired coagulation disorder,   6 ( 1.9) |  323,  2 ( 2.1) |  95,  0 ( 0.0) |  79,  4 ( 2.7) | 149
   ↳ Acute renal failure syndrome,   9 ( 2.8) |  323,  2 ( 2.1) |  95,  3 ( 3.8) |  79,  4 ( 2.7) | 149
   ↳ Bleeding,  12 ( 3.7) |  323,  5 ( 5.3) |  95,  4 ( 5.1) |  79,  3 ( 2.0) | 149
   ↳ Cardiac Arrest,   7 ( 2.2) |  323,  0 ( 0.0) |  95,  3 ( 3.8) |  79,  4 ( 2.7) | 149
   ↳ Cardioembolic stroke,  10 ( 3.1) |  323,  2 ( 2.1) |  95,  3 ( 3.8) |  79,  5 ( 3.4) | 149
   ↳ Cardiogenic Shock,  12 ( 3.7) |  323,  4 ( 4.2) |  95,  3 ( 3.8) |  79,  5 ( 3.4) | 149
   ↳ Cerebellar stroke,   4 ( 1.2) |  323,  0 ( 0.0) |  95,  1 ( 1.3) |  79,  3 ( 2.0) | 149
   ↳ Decompensation,  13 ( 4.0) |  323,  4 ( 4.2) |  95,  5 ( 6.3) |  79,  4 ( 2.7) | 149
   ↳ Deep venous thrombosis,   6 ( 1.9) |  323,  0 ( 0.0) |  95,  3 ( 3.8) |  79,  3 ( 2.0) | 149
   ↳ Disseminated Intravascular Coagulation (DIC),   4 ( 1.2) |  323,  1 ( 1.1) |  95,  2 ( 2.5) |  79,  1 ( 0.7) | 149
   ↳ Empyema,  10 ( 3.1) |  323,  3 ( 3.2) |  95,  4 ( 5.1) |  79,  3 ( 2.0) | 149
   ↳ Encephalitis,   9 ( 2.8) |  323,  6 ( 6.3) |  95,  1 ( 1.3) |  79,  2 ( 1.3) | 149
   ↳ Haemorrhagic stroke,  12 ( 3.7) |  323,  5 ( 5.3) |  95,  2 ( 2.5) |  79,  5 ( 3.4) | 149
   ↳ Hospital acquired pneumonia,  11 ( 3.4) |  323,  5 ( 5.3) |  95,  3 ( 3.8) |  79,  3 ( 2.0) | 149
   ↳ Ischemic encephalopathy,  16 ( 5.0) |  323,  3 ( 3.2) |  95,  2 ( 2.5) |  79, 11 ( 7.4) | 149
   ↳ Ischemic stroke,   8 ( 2.5) |  323,  0 ( 0.0) |  95,  3 ( 3.8) |  79,  5 ( 3.4) | 149
   ↳ Large liver,   8 ( 2.5) |  323,  2 ( 2.1) |  95,  0 ( 0.0) |  79,  6 ( 4.0) | 149
   ↳ Meningitis,  12 ( 3.7) |  323,  5 ( 5.3) |  95,  4 ( 5.1) |  79,  3 ( 2.0) | 149
   ↳ Multisystem inflammatory syndrome in adults,   6 ( 1.9) |  323,  4 ( 4.2) |  95,  0 ( 0.0) |  79,  2 ( 1.3) | 149
   ↳ Multisystem inflammatory syndrome in children,  15 ( 4.6) |  323,  0 ( 0.0) |  95,  9 (11.4) |  79,  6 ( 4.0) | 149
   ↳ Pneumothorax,  12 ( 3.7) |  323,  7 ( 7.4) |  95,  2 ( 2.5) |  79,  3 ( 2.0) | 149
   ↳ Recurrent gastrointestinal bleeding,  10 ( 3.1) |  323,  2 ( 2.1) |  95,  3 ( 3.8) |  79,  5 ( 3.4) | 149
   ↳ Recurrent urinary tract infection,   9 ( 2.8) |  323,  1 ( 1.1) |  95,  1 ( 1.3) |  79,  7 ( 4.7) | 149
   ↳ Sepsis,   7 ( 2.2) |  323,  2 ( 2.1) |  95,  1 ( 1.3) |  79,  4 ( 2.7) | 149
   ↳ Thrombotic stroke,  10 ( 3.1) |  323,  3 ( 3.2) |  95,  2 ( 2.5) |  79,  5 ( 3.4) | 149
   ↳ Transient cerebral ischemia,   6 ( 1.9) |  323,  2 ( 2.1) |  95,  1 ( 1.3) |  79,  3 ( 2.0) | 149
   ↳ Transient hypotension,   7 ( 2.2) |  323,  4 ( 4.2) |  95,  1 ( 1.3) |  79,  2 ( 1.3) | 149
   ↳ Ventilator-Associated Pneumonia,   7 ( 2.2) |  323,  0 ( 0.0) |  95,  3 ( 3.8) |  79,  4 ( 2.7) | 149
   ↳ Other,   8 ( 2.5) |  323,  1 ( 1.1) |  95,  2 ( 2.5) |  79,  5 ( 3.4) | 149
<b>Any additional other complication(s) ?</b> (*), 108 (50.0) |  216, 26 (39.4) |  66, 31 (57.4) |  54, 51 (53.1) |  96
<b>>Select additional other complication(s) 2</b> (*),,,,
   ↳ Acute Respiratory Distress Syndrome (ARDS),   4 ( 3.9) |  103,  0 ( 0.0) |  24,  2 ( 6.7) |  30,  2 ( 4.1) |  49
   ↳ Bacteremia,   1 ( 1.0) |  103,  0 ( 0.0) |  24,  1 ( 3.3) |  30,  0 ( 0.0) |  49
   ↳ Myocardial Infarction,   5 ( 4.9) |  103,  1 ( 4.2) |  24,  1 ( 3.3) |  30,  3 ( 6.1) |  49
   ↳ Neurological finding,   2 ( 1.9) |  103,  2 ( 8.3) |  24,  0 ( 0.0) |  30,  0 ( 0.0) |  49
   ↳ Pneumonia,   2 ( 1.9) |  103,  0 ( 0.0) |  24,  2 ( 6.7) |  30,  0 ( 0.0) |  49
   ↳ Pulmonary Embolism,   3 ( 2.9) |  103,  0 ( 0.0) |  24,  0 ( 0.0) |  30,  3 ( 6.1) |  49
   ↳ Septic Shock,   4 ( 3.9) |  103,  0 ( 0.0) |  24,  2 ( 6.7) |  30,  2 ( 4.1) |  49
   ↳ Acquired coagulation disorder,   3 ( 2.9) |  103,  0 ( 0.0) |  24,  1 ( 3.3) |  30,  2 ( 4.1) |  49
   ↳ Acute renal failure syndrome,   6 ( 5.8) |  103,  2 ( 8.3) |  24,  3 (10.0) |  30,  1 ( 2.0) |  49
   ↳ Bleeding,   4 ( 3.9) |  103,  1 ( 4.2) |  24,  1 ( 3.3) |  30,  2 ( 4.1) |  49
   ↳ Cardiac Arrest,   3 ( 2.9) |  103,  1 ( 4.2) |  24,  0 ( 0.0) |  30,  2 ( 4.1) |  49
   ↳ Cardioembolic stroke,   2 ( 1.9) |  103,  0 ( 0.0) |  24,  0 ( 0.0) |  30,  2 ( 4.1) |  49
   ↳ Cardiogenic Shock,   1 ( 1.0) |  103,  0 ( 0.0) |  24,  1 ( 3.3) |  30,  0 ( 0.0) |  49
   ↳ Cerebellar stroke,   1 ( 1.0) |  103,  0 ( 0.0) |  24,  1 ( 3.3) |  30,  0 ( 0.0) |  49
   ↳ Decompensation,   1 ( 1.0) |  103,  0 ( 0.0) |  24,  0 ( 0.0) |  30,  1 ( 2.0) |  49
   ↳ Deep venous thrombosis,   3 ( 2.9) |  103,  1 ( 4.2) |  24,  2 ( 6.7) |  30,  0 ( 0.0) |  49
   ↳ Disseminated Intravascular Coagulation (DIC),   5 ( 4.9) |  103,  0 ( 0.0) |  24,  2 ( 6.7) |  30,  3 ( 6.1) |  49
   ↳ Empyema,   3 ( 2.9) |  103,  2 ( 8.3) |  24,  0 ( 0.0) |  30,  1 ( 2.0) |  49
   ↳ Encephalitis,   4 ( 3.9) |  103,  1 ( 4.2) |  24,  1 ( 3.3) |  30,  2 ( 4.1) |  49
   ↳ Haemorrhagic stroke,   3 ( 2.9) |  103,  0 ( 0.0) |  24,  1 ( 3.3) |  30,  2 ( 4.1) |  49
   ↳ Hospital acquired pneumonia,   4 ( 3.9) |  103,  2 ( 8.3) |  24,  0 ( 0.0) |  30,  2 ( 4.1) |  49
   ↳ Ischemic encephalopathy,   1 ( 1.0) |  103,  0 ( 0.0) |  24,  0 ( 0.0) |  30,  1 ( 2.0) |  49
   ↳ Ischemic stroke,   3 ( 2.9) |  103,  0 ( 0.0) |  24,  0 ( 0.0) |  30,  3 ( 6.1) |  49
   ↳ Large liver,   4 ( 3.9) |  103,  2 ( 8.3) |  24,  2 ( 6.7) |  30,  0 ( 0.0) |  49
   ↳ Meningitis,   4 ( 3.9) |  103,  3 (12.5) |  24,  0 ( 0.0) |  30,  1 ( 2.0) |  49
   ↳ Multisystem inflammatory syndrome in adults,   1 ( 1.0) |  103,  0 ( 0.0) |  24,  0 ( 0.0) |  30,  1 ( 2.0) |  49
   ↳ Multisystem inflammatory syndrome in children,   3 ( 2.9) |  103,  1 ( 4.2) |  24,  0 ( 0.0) |  30,  2 ( 4.1) |  49
   ↳ Pneumothorax,   1 ( 1.0) |  103,  0 ( 0.0) |  24,  1 ( 3.3) |  30,  0 ( 0.0) |  49
   ↳ Recurrent gastrointestinal bleeding,   7 ( 6.8) |  103,  3 (12.5) |  24,  0 ( 0.0) |  30,  4 ( 8.2) |  49
   ↳ Recurrent urinary tract infection,   3 ( 2.9) |  103,  0 ( 0.0) |  24,  3 (10.0) |  30,  0 ( 0.0) |  49
   ↳ Thrombotic stroke,   4 ( 3.9) |  103,  1 ( 4.2) |  24,  1 ( 3.3) |  30,  2 ( 4.1) |  49
   ↳ Transient hypotension,   1 ( 1.0) |  103,  0 ( 0.0) |  24,  0 ( 0.0) |  30,  1 ( 2.0) |  49
   ↳ Ventilator-Associated Pneumonia,   5 ( 4.9) |  103,  1 ( 4.2) |  24,  2 ( 6.7) |  30,  2 ( 4.1) |  49
   ↳ Other,   2 ( 1.9) |  103,  0 ( 0.0) |  24,  0 ( 0.0) |  30,  2 ( 4.1) |  49
<b>>Any additional other complication(s) ?</b> (*),  39 (51.3) |   76, 10 (58.8) |  17, 10 (40.0) |  25, 19 (55.9) |  34
<b>->Select additional other complication(s) 3</b> (*),,,,
   ↳ Acute Respiratory Distress Syndrome (ARDS),   1 ( 2.6) |   38,  0 ( 0.0) |   9,  0 ( 0.0) |  10,  1 ( 5.3) |  19
   ↳ Bacteremia,   1 ( 2.6) |   38,  0 ( 0.0) |   9,  1 (10.0) |  10,  0 ( 0.0) |  19
   ↳ Myocardial Infarction,   1 ( 2.6) |   38,  1 (11.1) |   9,  0 ( 0.0) |  10,  0 ( 0.0) |  19
   ↳ Pneumonia,   1 ( 2.6) |   38,  1 (11.1) |   9,  0 ( 0.0) |  10,  0 ( 0.0) |  19
   ↳ Pulmonary Embolism,   2 ( 5.3) |   38,  0 ( 0.0) |   9,  0 ( 0.0) |  10,  2 (10.5) |  19
   ↳ Acquired coagulation disorder,   4 (10.5) |   38,  0 ( 0.0) |   9,  2 (20.0) |  10,  2 (10.5) |  19
   ↳ Bleeding,   3 ( 7.9) |   38,  1 (11.1) |   9,  1 (10.0) |  10,  1 ( 5.3) |  19
   ↳ Cardiogenic Shock,   2 ( 5.3) |   38,  0 ( 0.0) |   9,  1 (10.0) |  10,  1 ( 5.3) |  19
   ↳ Cerebellar stroke,   1 ( 2.6) |   38,  1 (11.1) |   9,  0 ( 0.0) |  10,  0 ( 0.0) |  19
   ↳ Decompensation,   3 ( 7.9) |   38,  0 ( 0.0) |   9,  1 (10.0) |  10,  2 (10.5) |  19
   ↳ Deep venous thrombosis,   1 ( 2.6) |   38,  1 (11.1) |   9,  0 ( 0.0) |  10,  0 ( 0.0) |  19
   ↳ Disseminated Intravascular Coagulation (DIC),   1 ( 2.6) |   38,  0 ( 0.0) |   9,  0 ( 0.0) |  10,  1 ( 5.3) |  19
   ↳ Haemorrhagic stroke,   2 ( 5.3) |   38,  1 (11.1) |   9,  0 ( 0.0) |  10,  1 ( 5.3) |  19
   ↳ Hospital acquired pneumonia,   2 ( 5.3) |   38,  0 ( 0.0) |   9,  1 (10.0) |  10,  1 ( 5.3) |  19
   ↳ Ischemic stroke,   2 ( 5.3) |   38,  1 (11.1) |   9,  0 ( 0.0) |  10,  1 ( 5.3) |  19
   ↳ Large liver,   1 ( 2.6) |   38,  0 ( 0.0) |   9,  1 (10.0) |  10,  0 ( 0.0) |  19
   ↳ Meningitis,   1 ( 2.6) |   38,  0 ( 0.0) |   9,  0 ( 0.0) |  10,  1 ( 5.3) |  19
   ↳ Multisystem inflammatory syndrome in children,   2 ( 5.3) |   38,  0 ( 0.0) |   9,  1 (10.0) |  10,  1 ( 5.3) |  19
   ↳ Recurrent urinary tract infection,   1 ( 2.6) |   38,  0 ( 0.0) |   9,  1 (10.0) |  10,  0 ( 0.0) |  19
   ↳ Thrombotic stroke,   2 ( 5.3) |   38,  1 (11.1) |   9,  0 ( 0.0) |  10,  1 ( 5.3) |  19
   ↳ Transient cerebral ischemia,   3 ( 7.9) |   38,  1 (11.1) |   9,  0 ( 0.0) |  10,  2 (10.5) |  19
   ↳ Other,   1 ( 2.6) |   38,  0 ( 0.0) |   9,  0 ( 0.0) |  10,  1 ( 5.3) |  19
<b>->Any additional other complication(s) ?</b> (*),  13 (52.0) |   25,  6 (75.0) |   8,  2 (33.3) |   6,  5 (45.5) |  11
<b>>->Select additional other complication(s) 4</b> (*),,,,
   ↳ Myocardial Infarction,   1 ( 7.7) |   13,  0 ( 0.0) |   6,  1 (50.0) |   2,  0 ( 0.0) |   5
   ↳ Neurological finding,   1 ( 7.7) |   13,  1 (16.7) |   6,  0 ( 0.0) |   2,  0 ( 0.0) |   5
   ↳ Pulmonary Embolism,   1 ( 7.7) |   13,  0 ( 0.0) |   6,  0 ( 0.0) |   2,  1 (20.0) |   5
   ↳ Bleeding,   1 ( 7.7) |   13,  1 (16.7) |   6,  0 ( 0.0) |   2,  0 ( 0.0) |   5
   ↳ Cerebellar stroke,   1 ( 7.7) |   13,  0 ( 0.0) |   6,  0 ( 0.0) |   2,  1 (20.0) |   5
   ↳ Deep venous thrombosis,   1 ( 7.7) |   13,  0 ( 0.0) |   6,  1 (50.0) |   2,  0 ( 0.0) |   5
   ↳ Disseminated Intravascular Coagulation (DIC),   1 ( 7.7) |   13,  1 (16.7) |   6,  0 ( 0.0) |   2,  0 ( 0.0) |   5
   ↳ Encephalitis,   1 ( 7.7) |   13,  1 (16.7) |   6,  0 ( 0.0) |   2,  0 ( 0.0) |   5
   ↳ Hospital acquired pneumonia,   1 ( 7.7) |   13,  0 ( 0.0) |   6,  0 ( 0.0) |   2,  1 (20.0) |   5
   ↳ Ischemic encephalopathy,   1 ( 7.7) |   13,  0 ( 0.0) |   6,  0 ( 0.0) |   2,  1 (20.0) |   5
   ↳ Large liver,   1 ( 7.7) |   13,  1 (16.7) |   6,  0 ( 0.0) |   2,  0 ( 0.0) |   5
   ↳ Thrombotic stroke,   1 ( 7.7) |   13,  0 ( 0.0) |   6,  0 ( 0.0) |   2,  1 (20.0) |   5
   ↳ Other,   1 ( 7.7) |   13,  1 (16.7) |   6,  0 ( 0.0) |   2,  0 ( 0.0) |   5
<b>>->Any additional other complication(s) ?</b> (*),   3 (50.0) |    6,  0 ( 0.0) |   3,  2 (100.) |   2,  1 (100.) |   1
<b>->->Select additional other complication(s) 5</b> (*),,,,
   ↳ Septic Shock,   1 (50.0) |    2,N/A,  1 (100.) |   1,  0 ( 0.0) |   1
   ↳ Acquired coagulation disorder,   1 (50.0) |    2,N/A,  0 ( 0.0) |   1,  1 (100.) |   1
<b><i>OUTCOME</i></b>,,,,
<b>Outcome</b> (*),,,,
   ↳ Discharged alive, 136 (14.2) |  957,136 (51.5) | 264,  0 ( 0.0) | 272,  0 ( 0.0) | 421
   ↳ Still hospitalised, 138 (14.4) |  957,  0 ( 0.0) | 264,  0 ( 0.0) | 272,138 (32.8) | 421
   ↳ Transfer to other facility, 156 (16.3) |  957,  0 ( 0.0) | 264,  0 ( 0.0) | 272,156 (37.1) | 421
   ↳ Death, 124 (13.0) |  957,  0 ( 0.0) | 264,124 (45.6) | 272,  0 ( 0.0) | 421
   ↳ Palliative care, 148 (15.5) |  957,  0 ( 0.0) | 264,148 (54.4) | 272,  0 ( 0.0) | 421
   ↳ Discharged against medical advice, 128 (13.4) |  957,128 (48.5) | 264,  0 ( 0.0) | 272,  0 ( 0.0) | 421
"   ↳ Alive, not admitted", 127 (13.3) |  957,  0 ( 0.0) | 264,  0 ( 0.0) | 272,127 (30.2) | 421
<b>Ability to self-care at discharge versus before illness</b> (*),,,,
   ↳ Same as before illness,  40 (44.4) |   90, 40 (44.4) |  90,N/A,N/A
   ↳ Worse,  21 (23.3) |   90, 21 (23.3) |  90,N/A,N/A
   ↳ Better,  29 (32.2) |   90, 29 (32.2) |  90,N/A,N/A
<b>Ongoing health care needs relating to this admission for pathogen of interest</b> (*),  81 (51.6) |  157, 48 (58.5) |  82,N/A, 33 (44.0) |  75
<b>Medically fit for discharge (pathogen resolved) but remains in hospital for other reason (e.g. ...</b> (*),  92 (51.4) |  179,N/A,N/A, 92 (51.4) | 179
