Variable,All,Female,Male,Other / Unknown
   ↳ Stage 4,2 (1.5) | 133,1 (3.2) | 31,0 (0.0) | 28,1 (1.4) | 74
   ↳ Stage 5,17 (12.8) | 133,5 (16.1) | 31,3 (10.7) | 28,9 (12.2) | 74
<b>HIV</b> (*),740 (79.0) | 937,204 (76.7) | 266,129 (74.6) | 173,407 (81.7) | 498
<b>Is the patient on anti-retroviral therapy (ART)?</b> (*),229 (33.1) | 692,51 (27.1) | 188,54 (43.5) | 124,124 (32.6) | 380
<b> Most recent CD4 count (cells/µL)</b> (+),4625.0 (2127.3-7028.5) | 716,5298.4 (2554.9-7624.9) | 196,4265.2 (2510.1-7157.8) | 123,4384.2 (1709.9-6810.4) | 397
<b> Is HIV viral load detectable</b> (*),540 (88.1) | 613,151 (89.9) | 168,91 (85.0) | 107,298 (88.2) | 338
<b>Most recent HIV viral load (copies/mL)</b> (+),2340965.5 (1204373.8-3676567.0) | 516,2284379.0 (1089315.6-3773606.5) | 144,2771302.8 (1684112.4-3796361.1) | 90,2256184.6 (1196808.2-3580293.2) | 282
<b>Tuberculosis</b> (*),149 (16.5) | 902,42 (16.7) | 252,33 (19.8) | 167,74 (15.3) | 483
<b>Specify tuberculosis type</b> (*),,,,
   ↳ Active pulmonary,2 (2.4) | 85,0 (0.0) | 22,0 (0.0) | 14,2 (4.1) | 49
   ↳ Active extra-pulmonary,44 (51.8) | 85,14 (63.6) | 22,7 (50.0) | 14,23 (46.9) | 49
   ↳ Latent,39 (45.9) | 85,8 (36.4) | 22,7 (50.0) | 14,24 (49.0) | 49
<b>Chronic haematologic disease</b> (*),147 (17.6) | 834,41 (17.0) | 241,29 (20.1) | 144,77 (17.1) | 449
<b>Rheumatologic disorder</b> (*),415 (48.6) | 854,100 (41.8) | 239,73 (50.3) | 145,242 (51.5) | 470
<b>Asplenia</b> (*),761 (91.1) | 835,210 (89.0) | 236,146 (93.0) | 157,405 (91.6) | 442
<b>Obesity</b> (*),733 (85.1) | 861,210 (86.8) | 242,132 (82.5) | 160,391 (85.2) | 459
<b>Malnutrition</b> (*),466 (53.7) | 868,118 (49.8) | 237,80 (51.0) | 157,268 (56.5) | 474
<b>Diabetes mellitus</b> (*),518 (61.2) | 847,130 (55.6) | 234,93 (60.0) | 155,295 (64.4) | 458
<b>Diabetes mellitus type</b> (*),,,,
   ↳ Type 1,131 (38.5) | 340,32 (38.6) | 83,23 (38.3) | 60,76 (38.6) | 197
   ↳ Type 2,2 (0.6) | 340,2 (2.4) | 83,0 (0.0) | 60,0 (0.0) | 197
   ↳ Gestational diabetes,207 (60.9) | 340,49 (59.0) | 83,37 (61.7) | 60,121 (61.4) | 197
<b>Ever smoked</b> (*),725 (78.5) | 923,193 (75.7) | 255,140 (82.4) | 170,392 (78.7) | 498
<b>Smoking status</b> (*),,,,
   ↳ Current smoker,354 (51.5) | 688,87 (47.5) | 183,76 (57.1) | 133,191 (51.3) | 372
   ↳ Former Smoker,334 (48.5) | 688,96 (52.5) | 183,57 (42.9) | 133,181 (48.7) | 372
<b>Other relevant comorbidity(s)</b> (*),,,,
   ↳ Chronic Infection,14 (100.0) | 14,6 (100.0) | 6,2 (100.0) | 2,6 (100.0) | 6
   ↳ Neurodegenerative Disorders,26 (100.0) | 26,7 (100.0) | 7,9 (100.0) | 9,10 (100.0) | 10
   ↳ Leukemia,29 (100.0) | 29,11 (100.0) | 11,3 (100.0) | 3,15 (100.0) | 15
   ↳ Diabetes Mellitus (all types),15 (100.0) | 15,4 (100.0) | 4,4 (100.0) | 4,7 (100.0) | 7
   ↳ Moderate or Severe Renal Disease,31 (100.0) | 31,8 (100.0) | 8,5 (100.0) | 5,18 (100.0) | 18
   ↳ Neurological disorder confirmed,15 (100.0) | 15,6 (100.0) | 6,3 (100.0) | 3,6 (100.0) | 6
   ↳ Disease of liver,27 (100.0) | 27,4 (100.0) | 4,6 (100.0) | 6,17 (100.0) | 17
   ↳ Hemiplegia,22 (100.0) | 22,4 (100.0) | 4,6 (100.0) | 6,12 (100.0) | 12
   ↳ Stroke,16 (100.0) | 16,4 (100.0) | 4,4 (100.0) | 4,8 (100.0) | 8
   ↳ Cerebrovascular Disease,9 (100.0) | 9,2 (100.0) | 2,3 (100.0) | 3,4 (100.0) | 4
   ↳ Ischaemic Heart Disease,21 (100.0) | 21,6 (100.0) | 6,5 (100.0) | 5,10 (100.0) | 10
   ↳ Chronic heart disease,16 (100.0) | 16,8 (100.0) | 8,N/A,8 (100.0) | 8
   ↳ Rheumatoid Disorders,15 (100.0) | 15,3 (100.0) | 3,1 (100.0) | 1,11 (100.0) | 11
   ↳ Congenital Heart Disease,21 (100.0) | 21,5 (100.0) | 5,3 (100.0) | 3,13 (100.0) | 13
   ↳ Undifferentiated connective tissue disease,18 (100.0) | 18,1 (100.0) | 1,5 (100.0) | 5,12 (100.0) | 12
   ↳ Hyperthyroidism,9 (100.0) | 9,4 (100.0) | 4,1 (100.0) | 1,4 (100.0) | 4
   ↳ Primary malignant neoplasm,24 (100.0) | 24,3 (100.0) | 3,7 (100.0) | 7,14 (100.0) | 14
   ↳ Essential hypertension,25 (100.0) | 25,6 (100.0) | 6,8 (100.0) | 8,11 (100.0) | 11
   ↳ Chronic lung disease,15 (100.0) | 15,2 (100.0) | 2,2 (100.0) | 2,11 (100.0) | 11
   ↳ Human immunodeficiency virus [HIV] disease,10 (100.0) | 10,6 (100.0) | 6,N/A,4 (100.0) | 4
   ↳ Immunosuppression,18 (100.0) | 18,8 (100.0) | 8,1 (100.0) | 1,9 (100.0) | 9
   ↳ Tuberculosis,16 (100.0) | 16,3 (100.0) | 3,5 (100.0) | 5,8 (100.0) | 8
   ↳ Transplant present,14 (100.0) | 14,5 (100.0) | 5,3 (100.0) | 3,6 (100.0) | 6
   ↳ Malignant lymphoma,36 (100.0) | 36,11 (100.0) | 11,5 (100.0) | 5,20 (100.0) | 20
   ↳ Chronic inflammatory disorder,28 (100.0) | 28,11 (100.0) | 11,2 (100.0) | 2,15 (100.0) | 15
   ↳ Chronic Kidney Disease,12 (100.0) | 12,1 (100.0) | 1,N/A,11 (100.0) | 11
   ↳ Autoimmune Disease,18 (100.0) | 18,6 (100.0) | 6,2 (100.0) | 2,10 (100.0) | 10
   ↳ Rare Diseases and Inborn Errors of Metabolism,8 (100.0) | 8,1 (100.0) | 1,2 (100.0) | 2,5 (100.0) | 5
   ↳ Chronic metabolic disorder,9 (100.0) | 9,4 (100.0) | 4,2 (100.0) | 2,3 (100.0) | 3
   ↳ Reactive psychoses,21 (100.0) | 21,2 (100.0) | 2,5 (100.0) | 5,14 (100.0) | 14
   ↳ Cardiomyopathy,19 (100.0) | 19,5 (100.0) | 5,5 (100.0) | 5,9 (100.0) | 9
   ↳ Peripheral Vascular Disease,25 (100.0) | 25,9 (100.0) | 9,3 (100.0) | 3,13 (100.0) | 13
   ↳ Congestive Heart Failure,13 (100.0) | 13,5 (100.0) | 5,1 (100.0) | 1,7 (100.0) | 7
   ↳ Disorder of pulmonary circulation,23 (100.0) | 23,4 (100.0) | 4,7 (100.0) | 7,12 (100.0) | 12
   ↳ Solid tumor configuration,21 (100.0) | 21,7 (100.0) | 7,2 (100.0) | 2,12 (100.0) | 12
   ↳ Recurrent deep vein thrombosis,20 (100.0) | 20,7 (100.0) | 7,4 (100.0) | 4,9 (100.0) | 9
   ↳ Atrial Fibrillation,16 (100.0) | 16,5 (100.0) | 5,3 (100.0) | 3,8 (100.0) | 8
   ↳ Multiple Myeloma,14 (100.0) | 14,1 (100.0) | 1,4 (100.0) | 4,9 (100.0) | 9
   ↳ Acute-on-chronic renal failure,9 (100.0) | 9,1 (100.0) | 1,1 (100.0) | 1,7 (100.0) | 7
   ↳ Chronic Haematological Disease,10 (100.0) | 10,1 (100.0) | 1,1 (100.0) | 1,8 (100.0) | 8
   ↳ Blood coagulation disorder,28 (100.0) | 28,7 (100.0) | 7,4 (100.0) | 4,17 (100.0) | 17
   ↳ Obesity,8 (100.0) | 8,1 (100.0) | 1,1 (100.0) | 1,6 (100.0) | 6
   ↳ Smoking,5 (100.0) | 5,N/A,3 (100.0) | 3,2 (100.0) | 2
   ↳ Myocardial Infarction,8 (100.0) | 8,2 (100.0) | 2,4 (100.0) | 4,2 (100.0) | 2
   ↳ Heart valve disorder,7 (100.0) | 7,2 (100.0) | 2,N/A,5 (100.0) | 5
   ↳ Metastatic carcinoid tumor Cancer,9 (100.0) | 9,4 (100.0) | 4,2 (100.0) | 2,3 (100.0) | 3
   ↳ Psychoactive substance use disorder,8 (100.0) | 8,2 (100.0) | 2,N/A,6 (100.0) | 6
   ↳ Paraplegia,10 (100.0) | 10,3 (100.0) | 3,2 (100.0) | 2,5 (100.0) | 5
   ↳ Chronic Viral Hepatitis,14 (100.0) | 14,5 (100.0) | 5,3 (100.0) | 3,6 (100.0) | 6
   ↳ Disorder of lipid metabolism,10 (100.0) | 10,4 (100.0) | 4,1 (100.0) | 1,5 (100.0) | 5
   ↳ Moderate or Severe Liver Disease,6 (100.0) | 6,2 (100.0) | 2,1 (100.0) | 1,3 (100.0) | 3
   ↳ Hypothyroidism,9 (100.0) | 9,2 (100.0) | 2,N/A,7 (100.0) | 7
   ↳ Asplenia,17 (100.0) | 17,6 (100.0) | 6,2 (100.0) | 2,9 (100.0) | 9
   ↳ Dementia,5 (100.0) | 5,1 (100.0) | 1,N/A,4 (100.0) | 4
