Variable,All,Discharged,Death,Censored
"   ↳ Azithromycin (Sumamed, Zithromax, Zmax)",  98 (34.9) |  281, 26 (37.1) |  70, 28 (36.4) |  77, 44 (32.8) | 134
"   ↳ Doxycycline (Vibramycin, Oracea, Monodox)",  86 (30.6) |  281, 20 (28.6) |  70, 23 (29.9) |  77, 43 (32.1) | 134
   ↳ Other,  97 (34.5) |  281, 24 (34.3) |  70, 26 (33.8) |  77, 47 (35.1) | 134
<b>Herbal or traditional treatment</b> (*), 322 (50.8) |  634, 85 (52.1) | 163, 75 (48.4) | 155,162 (51.3) | 316
<b>HIV PrEP / PEP</b> (*), 321 (50.1) |  641, 88 (53.3) | 165, 88 (48.9) | 180,145 (49.0) | 296
<b>Other pathogen-targeted medications</b> (*),,,,
   ↳ Other, 296 (100.) |  296, 78 (100.) |  78, 80 (100.) |  80,138 (100.) | 138
<b><i>SIGNS AND SYMPTOMS ON ADMISSION</i></b>,,,,
<b>Fever / chills / rigors</b> (*), 316 (50.2) |  630, 83 (50.6) | 164, 85 (49.7) | 171,148 (50.2) | 295
<b>Fatigue / malaise / lethargy</b> (*), 299 (49.6) |  603, 77 (47.5) | 162, 75 (45.7) | 164,147 (53.1) | 277
<b>Weight loss</b> (*), 308 (47.5) |  648, 83 (49.4) | 168, 94 (51.9) | 181,131 (43.8) | 299
<b>Muscle aches / myalgia</b> (*), 317 (50.2) |  631, 74 (44.8) | 165, 88 (52.1) | 169,155 (52.2) | 297
<b>Joint pain / arthralgia</b> (*), 327 (50.8) |  644, 84 (49.4) | 170, 86 (51.2) | 168,157 (51.3) | 306
<b>Itch / pruritus</b> (*), 306 (47.5) |  644, 84 (49.1) | 171, 79 (47.3) | 167,143 (46.7) | 306
<b>Change in mobility from baseline</b> (*), 326 (49.0) |  665,101 (58.4) | 173, 84 (46.2) | 182,141 (45.5) | 310
<b>Mobility status</b> (*),,,,
   ↳ Fully ambulant, 114 (37.0) |  308, 35 (36.1) |  97, 29 (37.2) |  78, 50 (37.6) | 133
"   ↳ Ambulant, but with some assistance",  90 (29.2) |  308, 28 (28.9) |  97, 21 (26.9) |  78, 41 (30.8) | 133
   ↳ Bedridden, 104 (33.8) |  308, 34 (35.1) |  97, 28 (35.9) |  78, 42 (31.6) | 133
<b>Cough</b> (*), 297 (47.7) |  622, 73 (45.9) | 159, 75 (46.0) | 163,149 (49.7) | 300
<b>Non-productive </b> (*), 102 (54.3) |  188, 25 (54.3) |  46, 21 (52.5) |  40, 56 (54.9) | 102
<b>Productive</b> (*),  85 (50.3) |  169, 25 (55.6) |  45, 20 (42.6) |  47, 40 (51.9) |  77
<b>Hemoptysis</b> (*), 103 (55.4) |  186, 32 (62.7) |  51, 28 (58.3) |  48, 43 (49.4) |  87
<b>Sore throat</b> (*), 311 (50.4) |  617, 89 (52.7) | 169, 88 (53.0) | 166,134 (47.5) | 282
<b>Shortness of breath </b> (*), 303 (48.3) |  627, 81 (50.6) | 160, 90 (51.4) | 175,132 (45.2) | 292
<b>Chest pain</b> (*), 348 (54.9) |  634, 82 (50.6) | 162, 91 (52.3) | 174,175 (58.7) | 298
<b>Abdominal pain</b> (*), 311 (51.1) |  609, 85 (50.0) | 170, 77 (50.3) | 153,149 (52.1) | 286
<b>Diarrhoea</b> (*), 318 (50.6) |  629, 84 (51.9) | 162, 86 (50.0) | 172,148 (50.2) | 295
<b>Constipation</b> (*), 326 (50.7) |  643, 86 (52.1) | 165, 87 (48.6) | 179,153 (51.2) | 299
<b>Vomiting</b> (*), 322 (51.4) |  626, 91 (54.2) | 168, 89 (53.6) | 166,142 (48.6) | 292
<b>Persistent vomiting? (>=2/day)</b> (*), 105 (52.5) |  200, 25 (43.9) |  57, 32 (62.7) |  51, 48 (52.2) |  92
<b>Nausea</b> (*), 312 (51.1) |  610, 87 (54.7) | 159, 69 (43.1) | 160,156 (53.6) | 291
<b>Excessive salivation</b> (*), 308 (49.3) |  625, 76 (48.1) | 158, 91 (49.2) | 185,141 (50.0) | 282
<b>Difficulty swallowing / dysphagia</b> (*), 311 (50.2) |  619, 83 (48.8) | 170, 82 (48.8) | 168,146 (52.0) | 281
<b>Urinary retention</b> (*), 327 (49.8) |  657, 93 (50.5) | 184, 85 (50.0) | 170,149 (49.2) | 303
<b>Dyspareunia</b> (*), 299 (48.0) |  623, 84 (49.1) | 171, 82 (48.2) | 170,133 (47.2) | 282
<b>Bleeding / haemorrhage</b> (*), 300 (48.1) |  624, 80 (49.4) | 162, 78 (45.1) | 173,142 (49.1) | 289
<b>Severe bleeding / haemorrhage (requires intervention)</b> (*), 102 (51.0) |  200, 29 (51.8) |  56, 33 (55.0) |  60, 40 (47.6) |  84
<b>Specify bleeding / haemorrhage site(s)</b>,,,,
   ↳ Skin, 139 (23.1) |  603, 43 (26.9) | 160, 37 (21.8) | 170, 59 (21.6) | 273
   ↳ Petechiae, 136 (22.6) |  603, 38 (23.8) | 160, 38 (22.4) | 170, 60 (22.0) | 273
   ↳ Nose, 148 (24.5) |  603, 42 (26.2) | 160, 37 (21.8) | 170, 69 (25.3) | 273
   ↳ Gums, 148 (24.5) |  603, 43 (26.9) | 160, 32 (18.8) | 170, 73 (26.7) | 273
   ↳ GI tract, 133 (22.1) |  603, 39 (24.4) | 160, 39 (22.9) | 170, 55 (20.1) | 273
   ↳ Urinary tract, 140 (23.2) |  603, 37 (23.1) | 160, 37 (21.8) | 170, 66 (24.2) | 273
   ↳ Vagina, 125 (20.7) |  603, 31 (19.4) | 160, 42 (24.7) | 170, 52 (19.0) | 273
   ↳ Other(s), 150 (24.9) |  603, 54 (33.8) | 160, 37 (21.8) | 170, 59 (21.6) | 273
   ↳ Unknown, 141 (23.4) |  603, 41 (25.6) | 160, 41 (24.1) | 170, 59 (21.6) | 273
<b>Jaundice</b> (*), 320 (50.2) |  637, 83 (49.1) | 169, 81 (49.1) | 165,156 (51.5) | 303
<b>Headache</b> (*), 305 (48.5) |  629, 90 (52.3) | 172, 85 (51.8) | 164,130 (44.4) | 293
<b>Seizures / convulsions</b> (*), 339 (53.3) |  636, 86 (51.2) | 168, 86 (51.5) | 167,167 (55.5) | 301
<b>Altered consciousness / confusion</b> (*), 316 (49.1) |  643, 77 (48.1) | 160, 92 (51.4) | 179,147 (48.4) | 304
<b>Psychological disturbance</b> (*), 307 (49.6) |  619, 96 (56.5) | 170, 82 (48.5) | 169,129 (46.1) | 280
<b>Ocular complaints</b> (*), 300 (48.9) |  614, 82 (51.2) | 160, 79 (47.6) | 166,139 (48.3) | 288
<b>Specify ocular complaints</b>,,,,
   ↳ Red eye(s), 147 (24.5) |  600, 36 (23.2) | 155, 43 (26.7) | 161, 68 (23.9) | 284
   ↳ Itchy eye(s), 142 (23.7) |  600, 41 (26.5) | 155, 37 (23.0) | 161, 64 (22.5) | 284
   ↳ Eye pain, 134 (22.3) |  600, 32 (20.6) | 155, 35 (21.7) | 161, 67 (23.6) | 284
   ↳ Visual disturbance, 139 (23.2) |  600, 31 (20.0) | 155, 35 (21.7) | 161, 73 (25.7) | 284
   ↳ Other, 142 (23.7) |  600, 41 (26.5) | 155, 37 (23.0) | 161, 64 (22.5) | 284
<b><i>SIGNS AND SYMPTOMS</i></b>,,,,
<b>Fever / chills / rigors</b> (*), 170 (56.5) |  301, 43 (51.2) |  84, 45 (59.2) |  76, 82 (58.2) | 141
<b>Fatigue / malaise / lethargy</b> (*), 160 (53.0) |  302, 50 (58.1) |  86, 42 (53.8) |  78, 68 (49.3) | 138
<b>Weight loss</b> (*), 145 (48.7) |  298, 40 (50.0) |  80, 36 (49.3) |  73, 69 (47.6) | 145
<b>Muscle aches / myalgia</b> (*), 145 (49.7) |  292, 38 (45.2) |  84, 37 (53.6) |  69, 70 (50.4) | 139
<b>Joint pain / arthralgia</b> (*), 147 (50.5) |  291, 34 (44.7) |  76, 38 (55.1) |  69, 75 (51.4) | 146
<b>Itch / pruritus</b> (*), 166 (51.2) |  324, 48 (55.2) |  87, 36 (48.0) |  75, 82 (50.6) | 162
<b>Change in mobility from baseline</b> (*), 156 (52.2) |  299, 41 (50.6) |  81, 35 (46.7) |  75, 80 (55.9) | 143
<b>Mobility status</b> (*),,,,
   ↳ Fully ambulant,  58 (40.3) |  144, 12 (33.3) |  36, 14 (42.4) |  33, 32 (42.7) |  75
"   ↳ Ambulant, but with some assistance",  39 (27.1) |  144,  9 (25.0) |  36, 10 (30.3) |  33, 20 (26.7) |  75
   ↳ Bedridden,  47 (32.6) |  144, 15 (41.7) |  36,  9 (27.3) |  33, 23 (30.7) |  75
<b>Cough</b> (*), 150 (51.7) |  290, 44 (51.8) |  85, 37 (50.7) |  73, 69 (52.3) | 132
<b>Non-productive </b> (*),  50 (50.5) |   99, 12 (41.4) |  29, 16 (66.7) |  24, 22 (47.8) |  46
<b>Productive</b> (*),  51 (53.7) |   95, 19 (70.4) |  27, 10 (41.7) |  24, 22 (50.0) |  44
<b>Hemoptysis</b> (*),  47 (48.5) |   97, 20 (69.0) |  29,  9 (34.6) |  26, 18 (42.9) |  42
<b>Sore throat</b> (*), 157 (52.0) |  302, 43 (47.3) |  91, 33 (50.0) |  66, 81 (55.9) | 145
<b>Shortness of breath </b> (*), 148 (47.9) |  309, 47 (52.8) |  89, 33 (40.2) |  82, 68 (49.3) | 138
<b>Chest pain</b> (*), 163 (55.3) |  295, 45 (57.0) |  79, 38 (53.5) |  71, 80 (55.2) | 145
<b>Abdominal pain</b> (*), 145 (46.8) |  310, 38 (46.3) |  82, 37 (50.0) |  74, 70 (45.5) | 154
<b>Diarrhoea</b> (*), 152 (52.1) |  292, 47 (52.8) |  89, 34 (50.7) |  67, 71 (52.2) | 136
<b>Constipation</b> (*), 153 (49.8) |  307, 43 (55.1) |  78, 47 (59.5) |  79, 63 (42.0) | 150
<b>Vomiting</b> (*), 143 (48.1) |  297, 37 (49.3) |  75, 43 (53.8) |  80, 63 (44.4) | 142
<b>Persistent vomiting? (>=2/day)</b> (*),  47 (52.8) |   89, 10 (52.6) |  19, 14 (48.3) |  29, 23 (56.1) |  41
<b>Nausea</b> (*), 143 (47.8) |  299, 35 (43.8) |  80, 40 (50.6) |  79, 68 (48.6) | 140
<b>Excessive salivation</b> (*), 138 (47.1) |  293, 45 (55.6) |  81, 32 (46.4) |  69, 61 (42.7) | 143
<b>Difficulty swallowing / dysphagia</b> (*), 153 (49.8) |  307, 47 (55.3) |  85, 38 (48.7) |  78, 68 (47.2) | 144
<b>Urinary retention</b> (*), 153 (53.1) |  288, 45 (54.2) |  83, 31 (44.3) |  70, 77 (57.0) | 135
<b>Dyspareunia</b> (*), 147 (47.9) |  307, 43 (47.8) |  90, 36 (53.7) |  67, 68 (45.3) | 150
<b>Bleeding / haemorrhage</b> (*), 147 (47.4) |  310, 39 (44.8) |  87, 34 (46.6) |  73, 74 (49.3) | 150
<b>Severe bleeding / haemorrhage (requires intervention)</b> (*),  47 (49.0) |   96,  9 (39.1) |  23, 16 (61.5) |  26, 22 (46.8) |  47
<b>Specify bleeding / haemorrhage site(s)</b>,,,,
   ↳ Skin,  75 (24.5) |  306, 20 (23.0) |  87, 20 (27.4) |  73, 35 (24.0) | 146
   ↳ Petechiae,  60 (19.6) |  306, 18 (20.7) |  87, 13 (17.8) |  73, 29 (19.9) | 146
   ↳ Nose,  76 (24.8) |  306, 21 (24.1) |  87, 20 (27.4) |  73, 35 (24.0) | 146
   ↳ Gums,  61 (19.9) |  306, 19 (21.8) |  87, 13 (17.8) |  73, 29 (19.9) | 146
   ↳ GI tract,  71 (23.2) |  306, 19 (21.8) |  87, 19 (26.0) |  73, 33 (22.6) | 146
   ↳ Urinary tract,  70 (22.9) |  306, 20 (23.0) |  87, 13 (17.8) |  73, 37 (25.3) | 146
   ↳ Vagina,  72 (23.5) |  306, 23 (26.4) |  87, 13 (17.8) |  73, 36 (24.7) | 146
   ↳ Other(s),  77 (25.2) |  306, 21 (24.1) |  87, 19 (26.0) |  73, 37 (25.3) | 146
   ↳ Unknown,  71 (23.2) |  306, 18 (20.7) |  87, 16 (21.9) |  73, 37 (25.3) | 146
<b>Jaundice</b> (*), 140 (48.3) |  290, 45 (50.0) |  90, 30 (46.9) |  64, 65 (47.8) | 136
<b>Headache</b> (*), 148 (49.3) |  300, 43 (52.4) |  82, 39 (53.4) |  73, 66 (45.5) | 145
<b>Seizures / convulsions</b> (*), 162 (50.3) |  322, 42 (47.7) |  88, 39 (52.0) |  75, 81 (50.9) | 159
<b>Altered consciousness / confusion</b> (*), 176 (54.3) |  324, 44 (48.4) |  91, 38 (50.7) |  75, 94 (59.5) | 158
<b>Psychological disturbance</b> (*), 172 (54.4) |  316, 42 (53.2) |  79, 40 (48.8) |  82, 90 (58.1) | 155
<b>Ocular complaints</b> (*), 149 (49.3) |  302, 39 (50.0) |  78, 34 (43.6) |  78, 76 (52.1) | 146
<b>Specify ocular complaints</b>,,,,
   ↳ Red eye(s),  65 (22.2) |  293, 15 (20.0) |  75, 12 (15.6) |  77, 38 (27.0) | 141
   ↳ Itchy eye(s),  70 (23.9) |  293, 19 (25.3) |  75, 16 (20.8) |  77, 35 (24.8) | 141
   ↳ Eye pain,  74 (25.3) |  293, 22 (29.3) |  75, 19 (24.7) |  77, 33 (23.4) | 141
   ↳ Visual disturbance,  71 (24.2) |  293, 19 (25.3) |  75, 17 (22.1) |  77, 35 (24.8) | 141
   ↳ Other,  82 (28.0) |  293, 17 (22.7) |  75, 20 (26.0) |  77, 45 (31.9) | 141
