Variable,All,Female,Male,Other / Unknown
   ↳ Unknown, 163 (26.8) |  609, 30 (19.2) | 156, 42 (29.6) | 142, 91 (29.3) | 311
<b>Obesity</b> (*), 333 (50.4) |  661, 84 (48.8) | 172, 83 (58.0) | 143,166 (48.0) | 346
<b>Asplenia</b> (*), 312 (48.2) |  647, 83 (51.2) | 162, 75 (48.7) | 154,154 (46.5) | 331
<b>Chronic hematologic disease</b> (*), 318 (49.8) |  638, 85 (51.8) | 164, 71 (51.1) | 139,162 (48.4) | 335
<b>Rheumatologic disorder</b> (*), 313 (48.6) |  644, 84 (54.9) | 153, 62 (42.8) | 145,167 (48.3) | 346
<b>Diabetes mellitus</b> (*), 318 (50.8) |  626, 82 (54.7) | 150, 67 (44.7) | 150,169 (51.8) | 326
<b>Type 1 diabetes mellitus</b> (*), 110 (52.9) |  208, 29 (51.8) |  56, 28 (60.9) |  46, 53 (50.0) | 106
<b>Type 2 diabetes mellitus</b> (*),  96 (51.1) |  188, 22 (52.4) |  42, 20 (48.8) |  41, 54 (51.4) | 105
<b>Gestational diabetes mellitus</b> (*), 104 (51.0) |  204, 28 (51.9) |  54, 18 (42.9) |  42, 58 (53.7) | 108
<b>Malnutrition</b> (*), 308 (47.2) |  653, 68 (43.9) | 155, 73 (48.3) | 151,167 (48.1) | 347
<b>Ever smoked</b> (*), 348 (54.2) |  642, 82 (50.6) | 162, 88 (57.1) | 154,178 (54.6) | 326
<b>Current smoker</b> (*),  97 (45.8) |  212, 24 (51.1) |  47, 26 (46.4) |  56, 47 (43.1) | 109
<b>Former smoker</b> (*), 113 (49.3) |  229, 26 (42.6) |  61, 32 (55.2) |  58, 55 (50.0) | 110
<b>Other relevant comorbidity(s)</b> (*), 284 (45.2) |  629, 71 (46.4) | 153, 66 (42.6) | 155,147 (45.8) | 321
<b>Select other relevant comorbidity(s)</b> (*),,,,
   ↳ Acute-on-chronic renal failure,   5 ( 1.9) |  265,  1 ( 1.5) |  67,  1 ( 1.6) |  63,  3 ( 2.2) | 135
   ↳ Asplenia,   4 ( 1.5) |  265,  2 ( 3.0) |  67,  0 ( 0.0) |  63,  2 ( 1.5) | 135
   ↳ Atrial Fibrillation,   5 ( 1.9) |  265,  0 ( 0.0) |  67,  0 ( 0.0) |  63,  5 ( 3.7) | 135
   ↳ Autoimmune Disease,   3 ( 1.1) |  265,  2 ( 3.0) |  67,  1 ( 1.6) |  63,  0 ( 0.0) | 135
   ↳ Blood coagulation disorder,   1 ( 0.4) |  265,  0 ( 0.0) |  67,  0 ( 0.0) |  63,  1 ( 0.7) | 135
   ↳ Cardiomyopathy,   7 ( 2.6) |  265,  3 ( 4.5) |  67,  3 ( 4.8) |  63,  1 ( 0.7) | 135
   ↳ Cerebrovascular Disease,   3 ( 1.1) |  265,  0 ( 0.0) |  67,  0 ( 0.0) |  63,  3 ( 2.2) | 135
   ↳ Chronic Haematological Disease,   3 ( 1.1) |  265,  0 ( 0.0) |  67,  1 ( 1.6) |  63,  2 ( 1.5) | 135
   ↳ Chronic Infection,   5 ( 1.9) |  265,  0 ( 0.0) |  67,  1 ( 1.6) |  63,  4 ( 3.0) | 135
   ↳ Chronic Kidney Disease,  10 ( 3.8) |  265,  2 ( 3.0) |  67,  2 ( 3.2) |  63,  6 ( 4.4) | 135
   ↳ Chronic Viral Hepatitis,   3 ( 1.1) |  265,  1 ( 1.5) |  67,  0 ( 0.0) |  63,  2 ( 1.5) | 135
   ↳ Chronic heart disease,   2 ( 0.8) |  265,  1 ( 1.5) |  67,  1 ( 1.6) |  63,  0 ( 0.0) | 135
   ↳ Chronic inflammatory disorder,   2 ( 0.8) |  265,  2 ( 3.0) |  67,  0 ( 0.0) |  63,  0 ( 0.0) | 135
   ↳ Chronic lung disease,   4 ( 1.5) |  265,  1 ( 1.5) |  67,  1 ( 1.6) |  63,  2 ( 1.5) | 135
   ↳ Chronic metabolic disorder,   6 ( 2.3) |  265,  2 ( 3.0) |  67,  1 ( 1.6) |  63,  3 ( 2.2) | 135
   ↳ Congenital Heart Disease,   7 ( 2.6) |  265,  0 ( 0.0) |  67,  4 ( 6.3) |  63,  3 ( 2.2) | 135
   ↳ Congestive Heart Failure,   7 ( 2.6) |  265,  2 ( 3.0) |  67,  3 ( 4.8) |  63,  2 ( 1.5) | 135
   ↳ Dementia,   4 ( 1.5) |  265,  2 ( 3.0) |  67,  0 ( 0.0) |  63,  2 ( 1.5) | 135
   ↳ Diabetes Mellitus (all types),   1 ( 0.4) |  265,  0 ( 0.0) |  67,  0 ( 0.0) |  63,  1 ( 0.7) | 135
   ↳ Disease of liver,   2 ( 0.8) |  265,  1 ( 1.5) |  67,  1 ( 1.6) |  63,  0 ( 0.0) | 135
   ↳ Disorder of lipid metabolism,   4 ( 1.5) |  265,  1 ( 1.5) |  67,  2 ( 3.2) |  63,  1 ( 0.7) | 135
   ↳ Disorder of pulmonary circulation,   3 ( 1.1) |  265,  0 ( 0.0) |  67,  2 ( 3.2) |  63,  1 ( 0.7) | 135
   ↳ Essential hypertension,   5 ( 1.9) |  265,  2 ( 3.0) |  67,  1 ( 1.6) |  63,  2 ( 1.5) | 135
   ↳ Heart valve disorder,   6 ( 2.3) |  265,  3 ( 4.5) |  67,  1 ( 1.6) |  63,  2 ( 1.5) | 135
   ↳ Hemiplegia,   5 ( 1.9) |  265,  0 ( 0.0) |  67,  1 ( 1.6) |  63,  4 ( 3.0) | 135
   ↳ Human immunodeficiency virus [HIV] disease,   8 ( 3.0) |  265,  1 ( 1.5) |  67,  1 ( 1.6) |  63,  6 ( 4.4) | 135
   ↳ Hyperthyroidism,   5 ( 1.9) |  265,  3 ( 4.5) |  67,  2 ( 3.2) |  63,  0 ( 0.0) | 135
   ↳ Hypothyroidism,   6 ( 2.3) |  265,  2 ( 3.0) |  67,  0 ( 0.0) |  63,  4 ( 3.0) | 135
   ↳ Immunosuppression,   7 ( 2.6) |  265,  1 ( 1.5) |  67,  1 ( 1.6) |  63,  5 ( 3.7) | 135
   ↳ Ischaemic Heart Disease,   3 ( 1.1) |  265,  2 ( 3.0) |  67,  0 ( 0.0) |  63,  1 ( 0.7) | 135
   ↳ Leukemia,   4 ( 1.5) |  265,  1 ( 1.5) |  67,  0 ( 0.0) |  63,  3 ( 2.2) | 135
   ↳ Malignant lymphoma,   4 ( 1.5) |  265,  2 ( 3.0) |  67,  0 ( 0.0) |  63,  2 ( 1.5) | 135
   ↳ Metastatic carcinoid tumor Cancer,   3 ( 1.1) |  265,  0 ( 0.0) |  67,  1 ( 1.6) |  63,  2 ( 1.5) | 135
   ↳ Moderate or Severe Liver Disease,   6 ( 2.3) |  265,  1 ( 1.5) |  67,  3 ( 4.8) |  63,  2 ( 1.5) | 135
   ↳ Moderate or Severe Renal Disease,   2 ( 0.8) |  265,  0 ( 0.0) |  67,  1 ( 1.6) |  63,  1 ( 0.7) | 135
   ↳ Multiple Myeloma,   4 ( 1.5) |  265,  1 ( 1.5) |  67,  0 ( 0.0) |  63,  3 ( 2.2) | 135
   ↳ Myocardial Infarction,   3 ( 1.1) |  265,  1 ( 1.5) |  67,  1 ( 1.6) |  63,  1 ( 0.7) | 135
   ↳ Neurodegenerative Disorders,   3 ( 1.1) |  265,  0 ( 0.0) |  67,  2 ( 3.2) |  63,  1 ( 0.7) | 135
   ↳ Neurological disorder confirmed,   7 ( 2.6) |  265,  2 ( 3.0) |  67,  4 ( 6.3) |  63,  1 ( 0.7) | 135
   ↳ Obesity,   9 ( 3.4) |  265,  2 ( 3.0) |  67,  1 ( 1.6) |  63,  6 ( 4.4) | 135
   ↳ Paraplegia,   8 ( 3.0) |  265,  2 ( 3.0) |  67,  1 ( 1.6) |  63,  5 ( 3.7) | 135
   ↳ Peripheral Vascular Disease,   4 ( 1.5) |  265,  2 ( 3.0) |  67,  2 ( 3.2) |  63,  0 ( 0.0) | 135
   ↳ Primary malignant neoplasm,   2 ( 0.8) |  265,  1 ( 1.5) |  67,  1 ( 1.6) |  63,  0 ( 0.0) | 135
   ↳ Psychoactive substance use disorder,   4 ( 1.5) |  265,  2 ( 3.0) |  67,  1 ( 1.6) |  63,  1 ( 0.7) | 135
   ↳ Rare Diseases and Inborn Errors of Metabolism,   7 ( 2.6) |  265,  2 ( 3.0) |  67,  0 ( 0.0) |  63,  5 ( 3.7) | 135
   ↳ Reactive psychoses,   7 ( 2.6) |  265,  2 ( 3.0) |  67,  0 ( 0.0) |  63,  5 ( 3.7) | 135
   ↳ Recurrent deep vein thrombosis,   9 ( 3.4) |  265,  0 ( 0.0) |  67,  4 ( 6.3) |  63,  5 ( 3.7) | 135
   ↳ Rheumatoid Disorders,   4 ( 1.5) |  265,  0 ( 0.0) |  67,  2 ( 3.2) |  63,  2 ( 1.5) | 135
   ↳ Smoking,   8 ( 3.0) |  265,  1 ( 1.5) |  67,  2 ( 3.2) |  63,  5 ( 3.7) | 135
   ↳ Solid tumor configuration,   1 ( 0.4) |  265,  1 ( 1.5) |  67,  0 ( 0.0) |  63,  0 ( 0.0) | 135
   ↳ Stroke,   3 ( 1.1) |  265,  1 ( 1.5) |  67,  1 ( 1.6) |  63,  1 ( 0.7) | 135
   ↳ Transplant present,   7 ( 2.6) |  265,  2 ( 3.0) |  67,  0 ( 0.0) |  63,  5 ( 3.7) | 135
   ↳ Tuberculosis,   4 ( 1.5) |  265,  0 ( 0.0) |  67,  2 ( 3.2) |  63,  2 ( 1.5) | 135
   ↳ Undifferentiated connective tissue disease,   8 ( 3.0) |  265,  3 ( 4.5) |  67,  1 ( 1.6) |  63,  4 ( 3.0) | 135
   ↳ Other,   8 ( 3.0) |  265,  1 ( 1.5) |  67,  2 ( 3.2) |  63,  5 ( 3.7) | 135
<b>Any additional other relevant comorbidity(s) ?</b> (*), 100 (53.2) |  188, 30 (60.0) |  50, 24 (53.3) |  45, 46 (49.5) |  93
<b>>Select additional other relevant comorbidity(s) 2</b> (*),,,,
   ↳ Acute-on-chronic renal failure,   1 ( 1.1) |   93,  0 ( 0.0) |  28,  0 ( 0.0) |  22,  1 ( 2.3) |  43
   ↳ Asplenia,   4 ( 4.3) |   93,  1 ( 3.6) |  28,  2 ( 9.1) |  22,  1 ( 2.3) |  43
   ↳ Atrial Fibrillation,   2 ( 2.2) |   93,  1 ( 3.6) |  28,  0 ( 0.0) |  22,  1 ( 2.3) |  43
   ↳ Autoimmune Disease,   3 ( 3.2) |   93,  1 ( 3.6) |  28,  1 ( 4.5) |  22,  1 ( 2.3) |  43
   ↳ Blood coagulation disorder,   2 ( 2.2) |   93,  0 ( 0.0) |  28,  1 ( 4.5) |  22,  1 ( 2.3) |  43
   ↳ Cardiomyopathy,   3 ( 3.2) |   93,  2 ( 7.1) |  28,  0 ( 0.0) |  22,  1 ( 2.3) |  43
   ↳ Chronic Haematological Disease,   2 ( 2.2) |   93,  2 ( 7.1) |  28,  0 ( 0.0) |  22,  0 ( 0.0) |  43
   ↳ Chronic Infection,   2 ( 2.2) |   93,  0 ( 0.0) |  28,  0 ( 0.0) |  22,  2 ( 4.7) |  43
   ↳ Chronic Kidney Disease,   2 ( 2.2) |   93,  0 ( 0.0) |  28,  0 ( 0.0) |  22,  2 ( 4.7) |  43
   ↳ Chronic Viral Hepatitis,   1 ( 1.1) |   93,  1 ( 3.6) |  28,  0 ( 0.0) |  22,  0 ( 0.0) |  43
   ↳ Chronic heart disease,   2 ( 2.2) |   93,  0 ( 0.0) |  28,  0 ( 0.0) |  22,  2 ( 4.7) |  43
   ↳ Chronic inflammatory disorder,   4 ( 4.3) |   93,  1 ( 3.6) |  28,  1 ( 4.5) |  22,  2 ( 4.7) |  43
   ↳ Chronic metabolic disorder,   2 ( 2.2) |   93,  1 ( 3.6) |  28,  0 ( 0.0) |  22,  1 ( 2.3) |  43
   ↳ Congenital Heart Disease,   1 ( 1.1) |   93,  0 ( 0.0) |  28,  0 ( 0.0) |  22,  1 ( 2.3) |  43
   ↳ Congestive Heart Failure,   3 ( 3.2) |   93,  2 ( 7.1) |  28,  1 ( 4.5) |  22,  0 ( 0.0) |  43
   ↳ Diabetes Mellitus (all types),   3 ( 3.2) |   93,  1 ( 3.6) |  28,  2 ( 9.1) |  22,  0 ( 0.0) |  43
   ↳ Disease of liver,   1 ( 1.1) |   93,  0 ( 0.0) |  28,  0 ( 0.0) |  22,  1 ( 2.3) |  43
   ↳ Disorder of lipid metabolism,   1 ( 1.1) |   93,  0 ( 0.0) |  28,  0 ( 0.0) |  22,  1 ( 2.3) |  43
   ↳ Disorder of pulmonary circulation,   2 ( 2.2) |   93,  0 ( 0.0) |  28,  1 ( 4.5) |  22,  1 ( 2.3) |  43
   ↳ Essential hypertension,   2 ( 2.2) |   93,  0 ( 0.0) |  28,  1 ( 4.5) |  22,  1 ( 2.3) |  43
   ↳ Heart valve disorder,   1 ( 1.1) |   93,  1 ( 3.6) |  28,  0 ( 0.0) |  22,  0 ( 0.0) |  43
   ↳ Hemiplegia,   2 ( 2.2) |   93,  0 ( 0.0) |  28,  2 ( 9.1) |  22,  0 ( 0.0) |  43
   ↳ Human immunodeficiency virus [HIV] disease,   1 ( 1.1) |   93,  0 ( 0.0) |  28,  0 ( 0.0) |  22,  1 ( 2.3) |  43
   ↳ Hyperthyroidism,   2 ( 2.2) |   93,  1 ( 3.6) |  28,  1 ( 4.5) |  22,  0 ( 0.0) |  43
   ↳ Hypothyroidism,   1 ( 1.1) |   93,  0 ( 0.0) |  28,  0 ( 0.0) |  22,  1 ( 2.3) |  43
   ↳ Immunosuppression,   2 ( 2.2) |   93,  1 ( 3.6) |  28,  1 ( 4.5) |  22,  0 ( 0.0) |  43
   ↳ Leukemia,   5 ( 5.4) |   93,  1 ( 3.6) |  28,  1 ( 4.5) |  22,  3 ( 7.0) |  43
   ↳ Malignant lymphoma,   1 ( 1.1) |   93,  0 ( 0.0) |  28,  1 ( 4.5) |  22,  0 ( 0.0) |  43
   ↳ Metastatic carcinoid tumor Cancer,   1 ( 1.1) |   93,  0 ( 0.0) |  28,  0 ( 0.0) |  22,  1 ( 2.3) |  43
   ↳ Moderate or Severe Liver Disease,   2 ( 2.2) |   93,  2 ( 7.1) |  28,  0 ( 0.0) |  22,  0 ( 0.0) |  43
   ↳ Multiple Myeloma,   3 ( 3.2) |   93,  1 ( 3.6) |  28,  0 ( 0.0) |  22,  2 ( 4.7) |  43
   ↳ Neurological disorder confirmed,   1 ( 1.1) |   93,  0 ( 0.0) |  28,  0 ( 0.0) |  22,  1 ( 2.3) |  43
   ↳ Obesity,   2 ( 2.2) |   93,  1 ( 3.6) |  28,  1 ( 4.5) |  22,  0 ( 0.0) |  43
   ↳ Paraplegia,   4 ( 4.3) |   93,  2 ( 7.1) |  28,  0 ( 0.0) |  22,  2 ( 4.7) |  43
   ↳ Peripheral Vascular Disease,   1 ( 1.1) |   93,  0 ( 0.0) |  28,  0 ( 0.0) |  22,  1 ( 2.3) |  43
   ↳ Primary malignant neoplasm,   1 ( 1.1) |   93,  0 ( 0.0) |  28,  0 ( 0.0) |  22,  1 ( 2.3) |  43
   ↳ Psychoactive substance use disorder,   1 ( 1.1) |   93,  1 ( 3.6) |  28,  0 ( 0.0) |  22,  0 ( 0.0) |  43
   ↳ Rare Diseases and Inborn Errors of Metabolism,   4 ( 4.3) |   93,  1 ( 3.6) |  28,  1 ( 4.5) |  22,  2 ( 4.7) |  43
   ↳ Reactive psychoses,   1 ( 1.1) |   93,  0 ( 0.0) |  28,  1 ( 4.5) |  22,  0 ( 0.0) |  43
   ↳ Recurrent deep vein thrombosis,   2 ( 2.2) |   93,  1 ( 3.6) |  28,  0 ( 0.0) |  22,  1 ( 2.3) |  43
   ↳ Rheumatoid Disorders,   2 ( 2.2) |   93,  1 ( 3.6) |  28,  0 ( 0.0) |  22,  1 ( 2.3) |  43
   ↳ Smoking,   2 ( 2.2) |   93,  0 ( 0.0) |  28,  0 ( 0.0) |  22,  2 ( 4.7) |  43
   ↳ Solid tumor configuration,   2 ( 2.2) |   93,  0 ( 0.0) |  28,  1 ( 4.5) |  22,  1 ( 2.3) |  43
   ↳ Transplant present,   1 ( 1.1) |   93,  0 ( 0.0) |  28,  1 ( 4.5) |  22,  0 ( 0.0) |  43
   ↳ Tuberculosis,   3 ( 3.2) |   93,  0 ( 0.0) |  28,  1 ( 4.5) |  22,  2 ( 4.7) |  43
   ↳ Other,   2 ( 2.2) |   93,  1 ( 3.6) |  28,  0 ( 0.0) |  22,  1 ( 2.3) |  43
<b>>Any additional other relevant comorbidity(s) ?</b> (*),  23 (37.1) |   62,  8 (40.0) |  20,  5 (31.2) |  16, 10 (38.5) |  26
<b>->Select additional other relevant comorbidity(s) 3</b> (*),,,,
   ↳ Asplenia,   2 ( 9.1) |   22,  1 (14.3) |   7,  0 ( 0.0) |   5,  1 (10.0) |  10
   ↳ Autoimmune Disease,   1 ( 4.5) |   22,  1 (14.3) |   7,  0 ( 0.0) |   5,  0 ( 0.0) |  10
   ↳ Blood coagulation disorder,   3 (13.6) |   22,  1 (14.3) |   7,  2 (40.0) |   5,  0 ( 0.0) |  10
   ↳ Chronic Kidney Disease,   1 ( 4.5) |   22,  1 (14.3) |   7,  0 ( 0.0) |   5,  0 ( 0.0) |  10
   ↳ Chronic metabolic disorder,   1 ( 4.5) |   22,  0 ( 0.0) |   7,  0 ( 0.0) |   5,  1 (10.0) |  10
   ↳ Congenital Heart Disease,   1 ( 4.5) |   22,  0 ( 0.0) |   7,  0 ( 0.0) |   5,  1 (10.0) |  10
   ↳ Disease of liver,   1 ( 4.5) |   22,  0 ( 0.0) |   7,  0 ( 0.0) |   5,  1 (10.0) |  10
   ↳ Heart valve disorder,   1 ( 4.5) |   22,  0 ( 0.0) |   7,  0 ( 0.0) |   5,  1 (10.0) |  10
   ↳ Hemiplegia,   1 ( 4.5) |   22,  0 ( 0.0) |   7,  0 ( 0.0) |   5,  1 (10.0) |  10
   ↳ Hyperthyroidism,   1 ( 4.5) |   22,  1 (14.3) |   7,  0 ( 0.0) |   5,  0 ( 0.0) |  10
   ↳ Ischaemic Heart Disease,   2 ( 9.1) |   22,  0 ( 0.0) |   7,  0 ( 0.0) |   5,  2 (20.0) |  10
   ↳ Metastatic carcinoid tumor Cancer,   1 ( 4.5) |   22,  0 ( 0.0) |   7,  1 (20.0) |   5,  0 ( 0.0) |  10
   ↳ Multiple Myeloma,   1 ( 4.5) |   22,  0 ( 0.0) |   7,  1 (20.0) |   5,  0 ( 0.0) |  10
   ↳ Obesity,   1 ( 4.5) |   22,  1 (14.3) |   7,  0 ( 0.0) |   5,  0 ( 0.0) |  10
   ↳ Paraplegia,   1 ( 4.5) |   22,  0 ( 0.0) |   7,  0 ( 0.0) |   5,  1 (10.0) |  10
   ↳ Psychoactive substance use disorder,   1 ( 4.5) |   22,  0 ( 0.0) |   7,  1 (20.0) |   5,  0 ( 0.0) |  10
   ↳ Reactive psychoses,   1 ( 4.5) |   22,  1 (14.3) |   7,  0 ( 0.0) |   5,  0 ( 0.0) |  10
   ↳ Stroke,   1 ( 4.5) |   22,  0 ( 0.0) |   7,  0 ( 0.0) |   5,  1 (10.0) |  10
<b>->Any additional other relevant comorbidity(s) ?</b> (*),  10 (66.7) |   15,  4 (57.1) |   7,  2 (100.) |   2,  4 (66.7) |   6
<b>>->Select additional other relevant comorbidity(s) 4</b> (*),,,,
   ↳ Chronic Viral Hepatitis,   1 (11.1) |    9,  0 ( 0.0) |   3,  0 ( 0.0) |   2,  1 (25.0) |   4
   ↳ Chronic heart disease,   1 (11.1) |    9,  0 ( 0.0) |   3,  1 (50.0) |   2,  0 ( 0.0) |   4
   ↳ Disorder of pulmonary circulation,   1 (11.1) |    9,  0 ( 0.0) |   3,  0 ( 0.0) |   2,  1 (25.0) |   4
   ↳ Malignant lymphoma,   1 (11.1) |    9,  1 (33.3) |   3,  0 ( 0.0) |   2,  0 ( 0.0) |   4
   ↳ Myocardial Infarction,   1 (11.1) |    9,  1 (33.3) |   3,  0 ( 0.0) |   2,  0 ( 0.0) |   4
   ↳ Obesity,   1 (11.1) |    9,  0 ( 0.0) |   3,  0 ( 0.0) |   2,  1 (25.0) |   4
   ↳ Paraplegia,   1 (11.1) |    9,  1 (33.3) |   3,  0 ( 0.0) |   2,  0 ( 0.0) |   4
   ↳ Primary malignant neoplasm,   1 (11.1) |    9,  0 ( 0.0) |   3,  0 ( 0.0) |   2,  1 (25.0) |   4
   ↳ Undifferentiated connective tissue disease,   1 (11.1) |    9,  0 ( 0.0) |   3,  1 (50.0) |   2,  0 ( 0.0) |   4
<b>>->Any additional other relevant comorbidity(s) ?</b> (*),   3 (50.0) |    6,  2 (100.) |   2,  0 ( 0.0) |   1,  1 (33.3) |   3
<b>->->Select additional other relevant comorbidity(s) 5</b> (*),,,,
   ↳ Asplenia,   1 (50.0) |    2,  1 (100.) |   1,N/A,  0 ( 0.0) |   1
   ↳ Smoking,   1 (50.0) |    2,  0 ( 0.0) |   1,N/A,  1 (100.) |   1
