Variable,All,Discharged,Death,Censored
   ↳ Pneumonia,57 (100.0) | 57,39 (100.0) | 39,2 (100.0) | 2,16 (100.0) | 16
   ↳ Neurological finding,47 (100.0) | 47,30 (100.0) | 30,6 (100.0) | 6,11 (100.0) | 11
   ↳ Hospital acquired pneumonia,34 (100.0) | 34,19 (100.0) | 19,4 (100.0) | 4,11 (100.0) | 11
   ↳ Meningitis,47 (100.0) | 47,28 (100.0) | 28,4 (100.0) | 4,15 (100.0) | 15
   ↳ Cardiac Arrest,48 (100.0) | 48,25 (100.0) | 25,6 (100.0) | 6,17 (100.0) | 17
   ↳ Pulmonary Embolism,25 (100.0) | 25,14 (100.0) | 14,3 (100.0) | 3,8 (100.0) | 8
   ↳ Thrombotic stroke,56 (100.0) | 56,26 (100.0) | 26,11 (100.0) | 11,19 (100.0) | 19
   ↳ Transient cerebral ischemia,34 (100.0) | 34,21 (100.0) | 21,2 (100.0) | 2,11 (100.0) | 11
   ↳ Decompensation,46 (100.0) | 46,24 (100.0) | 24,3 (100.0) | 3,19 (100.0) | 19
   ↳ Encephalitis,49 (100.0) | 49,21 (100.0) | 21,7 (100.0) | 7,21 (100.0) | 21
   ↳ Empyema,38 (100.0) | 38,20 (100.0) | 20,4 (100.0) | 4,14 (100.0) | 14
   ↳ Sepsis,40 (100.0) | 40,19 (100.0) | 19,6 (100.0) | 6,15 (100.0) | 15
   ↳ Bacteremia,32 (100.0) | 32,21 (100.0) | 21,1 (100.0) | 1,10 (100.0) | 10
   ↳ Acute Respiratory Distress Syndrome (ARDS),36 (100.0) | 36,14 (100.0) | 14,3 (100.0) | 3,19 (100.0) | 19
<b><i>OUTCOME</i></b>,,,,
<b>Outcome</b> (*),,,,
   ↳ Discharged alive,349 (36.2) | 964,349 (65.8) | 530,0 (0.0) | 114,0 (0.0) | 320
   ↳ Still hospitalised,10 (1.0) | 964,0 (0.0) | 530,0 (0.0) | 114,10 (3.1) | 320
   ↳ Transfer to other facility,29 (3.0) | 964,0 (0.0) | 530,0 (0.0) | 114,29 (9.1) | 320
   ↳ Death,39 (4.0) | 964,0 (0.0) | 530,39 (34.2) | 114,0 (0.0) | 320
   ↳ Palliative care,75 (7.8) | 964,0 (0.0) | 530,75 (65.8) | 114,0 (0.0) | 320
   ↳ Discharged against medical advice,181 (18.8) | 964,181 (34.2) | 530,0 (0.0) | 114,0 (0.0) | 320
"   ↳ Alive, not admitted",281 (29.1) | 964,0 (0.0) | 530,0 (0.0) | 114,281 (87.8) | 320
<b> Oxygen therapy post-discharge treatment</b> (*),221 (74.7) | 296,221 (74.7) | 296,N/A,N/A
<b> Ongoing health care needs relating to this admission for pathogen of interest</b> (*),60 (21.7) | 276,58 (21.6) | 268,N/A,2 (25.0) | 8
<b> Ongoing health care needs NOT related to pathogen episode</b> (*),83 (25.9) | 321,78 (25.0) | 312,N/A,5 (55.6) | 9
<b>  Medically fit for discharge (pathogen resolved) but remains in hospital for other reason (e.g. ...</b> (*),16 (47.1) | 34,N/A,N/A,16 (47.1) | 34
