Variable,All,Female,Male,Other / Unknown
<b>Asthma</b> (*),233 (28.2) | 826,60 (36.4) | 165,76 (25.8) | 295,97 (26.5) | 366
<b>Liver disease</b> (*),397 (42.4) | 937,81 (42.4) | 191,155 (46.7) | 332,161 (38.9) | 414
<b>Type of liver disease</b> (*),,,,
   ↳ Mild,180 (51.7) | 348,41 (55.4) | 74,67 (50.0) | 134,72 (51.4) | 140
   ↳ Moderate or severe,168 (48.3) | 348,33 (44.6) | 74,67 (50.0) | 134,68 (48.6) | 140
<b>Chronic kidney disease</b> (*),854 (94.1) | 908,177 (92.7) | 191,307 (95.0) | 323,370 (93.9) | 394
<b>Stage of chronic kidney disease</b> (*),,,,
   ↳ Stage 1,132 (19.4) | 682,24 (17.1) | 140,54 (22.4) | 241,54 (17.9) | 301
   ↳ Stage 2,174 (25.5) | 682,45 (32.1) | 140,55 (22.8) | 241,74 (24.6) | 301
   ↳ Stage 3a,77 (11.3) | 682,12 (8.6) | 140,27 (11.2) | 241,38 (12.6) | 301
   ↳ Stage 3b,68 (10.0) | 682,12 (8.6) | 140,22 (9.1) | 241,34 (11.3) | 301
   ↳ Stage 4,78 (11.4) | 682,14 (10.0) | 140,26 (10.8) | 241,38 (12.6) | 301
   ↳ Stage 5,153 (22.4) | 682,33 (23.6) | 140,57 (23.7) | 241,63 (20.9) | 301
<b>HIV</b> (*),839 (88.7) | 946,175 (90.7) | 193,303 (89.1) | 340,361 (87.4) | 413
<b>Is the patient on anti-retroviral therapy (ART)?</b> (*),486 (66.7) | 729,90 (57.7) | 156,173 (67.1) | 258,223 (70.8) | 315
<b> Most recent CD4 count (cells/µL)</b> (+),5244.4 (2751.7-7804.4) | 801,5886.7 (2867.2-8418.6) | 167,5127.8 (2869.7-7436.2) | 290,4996.7 (2588.3-7656.6) | 344
<b> Is HIV viral load detectable</b> (*),161 (20.4) | 788,35 (21.2) | 165,54 (19.0) | 284,72 (21.2) | 339
<b>Most recent HIV viral load (copies/mL)</b> (+),2451333.5 (1412395.6-3455547.5) | 155,2169210.9 (1233625.0-3104846.7) | 31,2833358.4 (1568572.4-3830616.8) | 52,2431260.1 (1290450.5-3129995.9) | 72
<b>Tuberculosis</b> (*),131 (14.0) | 938,30 (15.4) | 195,45 (13.8) | 327,56 (13.5) | 416
<b>Specify tuberculosis type</b> (*),,,,
   ↳ Active pulmonary,32 (35.2) | 91,5 (26.3) | 19,12 (38.7) | 31,15 (36.6) | 41
   ↳ Active extra-pulmonary,31 (34.1) | 91,6 (31.6) | 19,11 (35.5) | 31,14 (34.1) | 41
   ↳ Latent,28 (30.8) | 91,8 (42.1) | 19,8 (25.8) | 31,12 (29.3) | 41
<b>Chronic haematologic disease</b> (*),656 (71.4) | 919,131 (69.7) | 188,233 (70.8) | 329,292 (72.6) | 402
<b>Rheumatologic disorder</b> (*),785 (83.8) | 937,159 (83.7) | 190,273 (82.2) | 332,353 (85.1) | 415
<b>Asplenia</b> (*),106 (13.0) | 816,22 (12.9) | 170,38 (13.3) | 286,46 (12.8) | 360
<b>Malignant neoplasm</b> (*),527 (64.7) | 815,112 (65.1) | 172,180 (65.2) | 276,235 (64.0) | 367
<b>Obesity</b> (*),270 (29.7) | 909,50 (26.3) | 190,94 (29.9) | 314,126 (31.1) | 405
<b>Malnutrition</b> (*),134 (17.7) | 759,29 (18.7) | 155,51 (19.2) | 266,54 (16.0) | 338
<b>Diabetes mellitus</b> (*),143 (16.8) | 850,30 (16.6) | 181,48 (16.5) | 291,65 (17.2) | 378
<b>Diabetes mellitus type</b> (*),,,,
   ↳ Type 1,2 (3.1) | 64,0 (0.0) | 11,1 (4.0) | 25,1 (3.6) | 28
   ↳ Type 2,40 (62.5) | 64,5 (45.5) | 11,20 (80.0) | 25,15 (53.6) | 28
   ↳ Gestational diabetes,22 (34.4) | 64,6 (54.5) | 11,4 (16.0) | 25,12 (42.9) | 28
<b>Ever smoked</b> (*),599 (76.7) | 781,116 (71.6) | 162,213 (77.5) | 275,270 (78.5) | 344
<b>Smoking status</b> (*),,,,
   ↳ Current smoker,149 (26.0) | 572,29 (26.9) | 108,54 (26.3) | 205,66 (25.5) | 259
   ↳ Former Smoker,423 (74.0) | 572,79 (73.1) | 108,151 (73.7) | 205,193 (74.5) | 259
<b>Transplant recipient </b> (*),854 (91.6) | 932,173 (89.2) | 194,306 (92.2) | 332,375 (92.4) | 406
<b>Specify transplanted organ(s)</b>,,,,
   ↳ Lung,400 (44.9) | 890,87 (47.0) | 185,134 (42.1) | 318,179 (46.3) | 387
   ↳ Heart,412 (46.3) | 890,83 (44.9) | 185,148 (46.5) | 318,181 (46.8) | 387
   ↳ Kidney,423 (47.5) | 890,98 (53.0) | 185,156 (49.1) | 318,169 (43.7) | 387
   ↳ Liver,415 (46.6) | 890,87 (47.0) | 185,153 (48.1) | 318,175 (45.2) | 387
   ↳ Bone,432 (48.5) | 890,84 (45.4) | 185,163 (51.3) | 318,185 (47.8) | 387
   ↳ Hematopoietic stem cell,392 (44.0) | 890,72 (38.9) | 185,135 (42.5) | 318,185 (47.8) | 387
<b>Other relevant comorbidity(s)</b> (*),,,,
   ↳ Multiple Myeloma,36 (100.0) | 36,6 (100.0) | 6,12 (100.0) | 12,18 (100.0) | 18
   ↳ Ischaemic Heart Disease,26 (100.0) | 26,5 (100.0) | 5,11 (100.0) | 11,10 (100.0) | 10
   ↳ Hemiplegia,34 (100.0) | 34,6 (100.0) | 6,14 (100.0) | 14,14 (100.0) | 14
   ↳ Acute-on-chronic renal failure,50 (100.0) | 50,8 (100.0) | 8,19 (100.0) | 19,23 (100.0) | 23
   ↳ Moderate or Severe Liver Disease,30 (100.0) | 30,6 (100.0) | 6,9 (100.0) | 9,15 (100.0) | 15
   ↳ Blood coagulation disorder,35 (100.0) | 35,8 (100.0) | 8,15 (100.0) | 15,12 (100.0) | 12
   ↳ Chronic lung disease,40 (100.0) | 40,6 (100.0) | 6,16 (100.0) | 16,18 (100.0) | 18
   ↳ Congestive Heart Failure,44 (100.0) | 44,9 (100.0) | 9,14 (100.0) | 14,21 (100.0) | 21
   ↳ Essential hypertension,23 (100.0) | 23,2 (100.0) | 2,10 (100.0) | 10,11 (100.0) | 11
   ↳ Cardiomyopathy,14 (100.0) | 14,2 (100.0) | 2,3 (100.0) | 3,9 (100.0) | 9
   ↳ Disorder of pulmonary circulation,37 (100.0) | 37,6 (100.0) | 6,13 (100.0) | 13,18 (100.0) | 18
   ↳ Primary malignant neoplasm,46 (100.0) | 46,9 (100.0) | 9,17 (100.0) | 17,20 (100.0) | 20
   ↳ Diabetes Mellitus (all types),40 (100.0) | 40,5 (100.0) | 5,18 (100.0) | 18,17 (100.0) | 17
   ↳ Immunosuppression,42 (100.0) | 42,10 (100.0) | 10,14 (100.0) | 14,18 (100.0) | 18
   ↳ Chronic inflammatory disorder,52 (100.0) | 52,11 (100.0) | 11,15 (100.0) | 15,26 (100.0) | 26
   ↳ Rare Diseases and Inborn Errors of Metabolism,24 (100.0) | 24,4 (100.0) | 4,9 (100.0) | 9,11 (100.0) | 11
   ↳ Neurological disorder confirmed,35 (100.0) | 35,11 (100.0) | 11,9 (100.0) | 9,15 (100.0) | 15
   ↳ Chronic heart disease,24 (100.0) | 24,7 (100.0) | 7,9 (100.0) | 9,8 (100.0) | 8
   ↳ Malignant lymphoma,24 (100.0) | 24,7 (100.0) | 7,8 (100.0) | 8,9 (100.0) | 9
   ↳ Cerebrovascular Disease,37 (100.0) | 37,2 (100.0) | 2,16 (100.0) | 16,19 (100.0) | 19
   ↳ Undifferentiated connective tissue disease,42 (100.0) | 42,9 (100.0) | 9,10 (100.0) | 10,23 (100.0) | 23
   ↳ Paraplegia,29 (100.0) | 29,5 (100.0) | 5,12 (100.0) | 12,12 (100.0) | 12
   ↳ Leukemia,41 (100.0) | 41,6 (100.0) | 6,19 (100.0) | 19,16 (100.0) | 16
   ↳ Reactive psychoses,23 (100.0) | 23,5 (100.0) | 5,7 (100.0) | 7,11 (100.0) | 11
   ↳ Myocardial Infarction,40 (100.0) | 40,6 (100.0) | 6,15 (100.0) | 15,19 (100.0) | 19
   ↳ Chronic Kidney Disease,16 (100.0) | 16,3 (100.0) | 3,7 (100.0) | 7,6 (100.0) | 6
   ↳ Solid tumor configuration,40 (100.0) | 40,11 (100.0) | 11,12 (100.0) | 12,17 (100.0) | 17
   ↳ Neurodegenerative Disorders,17 (100.0) | 17,3 (100.0) | 3,8 (100.0) | 8,6 (100.0) | 6
   ↳ Chronic Haematological Disease,24 (100.0) | 24,2 (100.0) | 2,12 (100.0) | 12,10 (100.0) | 10
   ↳ Chronic metabolic disorder,36 (100.0) | 36,5 (100.0) | 5,13 (100.0) | 13,18 (100.0) | 18
   ↳ Rheumatoid Disorders,24 (100.0) | 24,5 (100.0) | 5,10 (100.0) | 10,9 (100.0) | 9
   ↳ Moderate or Severe Renal Disease,32 (100.0) | 32,4 (100.0) | 4,14 (100.0) | 14,14 (100.0) | 14
   ↳ Heart valve disorder,31 (100.0) | 31,4 (100.0) | 4,9 (100.0) | 9,18 (100.0) | 18
   ↳ Hyperthyroidism,36 (100.0) | 36,9 (100.0) | 9,8 (100.0) | 8,19 (100.0) | 19
   ↳ Peripheral Vascular Disease,36 (100.0) | 36,7 (100.0) | 7,19 (100.0) | 19,10 (100.0) | 10
   ↳ Atrial Fibrillation,35 (100.0) | 35,11 (100.0) | 11,8 (100.0) | 8,16 (100.0) | 16
   ↳ Obesity,53 (100.0) | 53,8 (100.0) | 8,24 (100.0) | 24,21 (100.0) | 21
   ↳ Congenital Heart Disease,26 (100.0) | 26,9 (100.0) | 9,6 (100.0) | 6,11 (100.0) | 11
   ↳ Smoking,48 (100.0) | 48,8 (100.0) | 8,18 (100.0) | 18,22 (100.0) | 22
   ↳ Chronic Viral Hepatitis,16 (100.0) | 16,4 (100.0) | 4,5 (100.0) | 5,7 (100.0) | 7
   ↳ Dementia,23 (100.0) | 23,6 (100.0) | 6,10 (100.0) | 10,7 (100.0) | 7
   ↳ Hypothyroidism,15 (100.0) | 15,6 (100.0) | 6,5 (100.0) | 5,4 (100.0) | 4
   ↳ Metastatic carcinoid tumor Cancer,39 (100.0) | 39,6 (100.0) | 6,14 (100.0) | 14,19 (100.0) | 19
   ↳ Psychoactive substance use disorder,17 (100.0) | 17,4 (100.0) | 4,5 (100.0) | 5,8 (100.0) | 8
   ↳ Recurrent deep vein thrombosis,22 (100.0) | 22,5 (100.0) | 5,9 (100.0) | 9,8 (100.0) | 8
   ↳ Asplenia,28 (100.0) | 28,5 (100.0) | 5,12 (100.0) | 12,11 (100.0) | 11
   ↳ Transplant present,19 (100.0) | 19,5 (100.0) | 5,6 (100.0) | 6,8 (100.0) | 8
   ↳ Disorder of lipid metabolism,29 (100.0) | 29,4 (100.0) | 4,13 (100.0) | 13,12 (100.0) | 12
   ↳ Disease of liver,44 (100.0) | 44,15 (100.0) | 15,16 (100.0) | 16,13 (100.0) | 13
   ↳ Chronic Infection,25 (100.0) | 25,7 (100.0) | 7,5 (100.0) | 5,13 (100.0) | 13
   ↳ Tuberculosis,31 (100.0) | 31,6 (100.0) | 6,15 (100.0) | 15,10 (100.0) | 10
   ↳ Stroke,26 (100.0) | 26,2 (100.0) | 2,11 (100.0) | 11,13 (100.0) | 13
   ↳ Autoimmune Disease,17 (100.0) | 17,1 (100.0) | 1,5 (100.0) | 5,11 (100.0) | 11
   ↳ Human immunodeficiency virus [HIV] disease,18 (100.0) | 18,6 (100.0) | 6,5 (100.0) | 5,7 (100.0) | 7
